Processing: C:\Users\Yong\Downloads\Learnova A Levels\AL-BIOLOGY.pdf
Subject: AL-Biology  Form: AS-A2  Pages: 10-658 of 658
  p134/658  SKIP  Page contains only exam-style questions, no concept explanation.
  p135/658  SAVED  Chapter 4: Cell membranes and transport | Water potential and cell volume changes
  p136/658  SAVED  Chapter 4: Cell membranes and transport | Active transport
  p137/658  SAVED  Chapter 5: The cell cycle, mitosis and stem cells | 
  p138/658  SAVED  Chapter 6: DNA replication | Why grow old? ? The role of telomeres in ageing
  p139/658  SAVED  Chapter 5: The mitotic cell cycle | 5.2 Chromosomes
  p140/658  SAVED  Chapter 6: Nucleic Acids and Replication | DNA packaging and chromosome structure
  p141/658  SAVED  Chapter 6: DNA replication and the mitotic cell cycle | The mitotic cell cycle
  p142/658  SAVED  Chapter 6: DNA replication and cell division | Chromosome behaviour during mitosis
  p143/658  SAVED  Chapter 6: you will learn how DNA can copy itself | The Mitotic Cell Cycle
  p144/658  SAVED  Chapter 6: you will learn how DNA can copy itself | Mitosis: Centrosomes, centrioles, and spindle formation
  p145/658  SKIP  Page content is about mitotic cell cycle and kinetochores, not about DNA replication as per chapter context.
  p146/658  SKIP  Page consists of review questions and a practical activity outline, lacking a coherent teachable concept.
  p147/658  SAVED  Chapter 6: you will learn how DNA can copy itself | 5 The mitotic cell cycle
  p148/658  SAVED  Chapter 5: Cell Division | 
  p149/658  SKIP  Page contains only figure captions and no substantive teaching content.
  p150/658  SAVED  Chapter 6: DNA Replication and Cell Cycle | Cancer as a Result of Uncontrolled Cell Division
  p151/658  SAVED  Chapter 5: The mitotic cell cycle | 
  p152/658  SKIP  Page contains only exam-style questions and no teachable content for concept explanation.
  p153/658  SKIP  Page contains only exam questions and diagrams, no explanatory content for a teaching unit.
  p154/658  SKIP  Page contains review questions only, no explanatory teaching content.
  p155/658  SKIP  The page contains only a practice question and a self-evaluation checklist, with no new conceptual content about the mitotic cell cycle.
  p156/658  SKIP  Page contains only learning intentions, no teachable content.
  p157/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | Editing Humans: Gene editing using CRISPR-Cas9
  p158/658  SAVED  Chapter 6: Nucleic Acids and Proteins | 6.1 The molecule of life ? Nucleotides
  p159/658  SAVED  Chapter 2: that macromolecules are related to the chemic | Nucleic acids and protein synthesis
  p160/658  SAVED  Chapter 6: Nucleic Acids and Protein Synthesis | DNA structure and the double helix model
  p161/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | DNA structure
  p162/658  SAVED  Chapter 2: Numbering of Carbon | DNA Structure and Base Pairing
  p163/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | 6.3 DNA replication
  p164/658  SAVED  Chapter 6: Nucleic Acids and Protein Synthesis | 6.3 DNA Replication
  p165/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | Features of the genetic code
  p166/658  SAVED  Chapter 2: for the numbering of carbon | RNA processing in eukaryotes
  p167/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | Translation
  p168/658  SAVED  Chapter 6: Nucleic Acids and Protein Synthesis | Translation
  p169/658  SAVED  Chapter 6: Nucleic acids and protein synthesis | Gene mutations
  p170/658  SAVED  Chapter 2: Nucleic Acids and Protein Synthesis | Gene mutations: frame-shift
  p171/658  SAVED  Chapter 2: Nucleic Acids and Protein Synthesis | Summary
  p172/658  SKIP  The page contains only exam-style questions and review activities with no new explanatory content to structure into a teaching unit.
  p173/658  SKIP  Page contains only examination-style questions and no explanatory content for teaching.
  p174/658  SAVED  Chapter 6: Nucleic Acids and Protein Synthesis | DNA structure and base ratios
  p175/658  SAVED  Chapter 7: Transport in Plants | Learning Intentions
  p176/658  SAVED  Chapter 7: Transport in Plants | Introduction to Transport Systems
  p177/658  SAVED  Chapter 7: Transport in plants | 7.1 The transport needs of plants
  p178/658  SAVED  Chapter 4: Transport in Plants | Xylem and Phloem
  p179/658  SAVED  Chapter 7: Transport in plants | Biological Drawing Skills
  p180/658  SAVED  Chapter 4: you considered the effect of an increase in size on the surf | Measuring cells, tissues and organs
  p181/658  SAVED  Chapter 7: Transport in plants | Supporting tissues in plant stems
  p182/658  SAVED  Chapter 4: Surface area to volume ratio | 
  p183/658  SAVED  Chapter 7: Transport in plants | Distribution of tissues in a dicot stem
  p184/658  SAVED  Chapter 7: Transport in Plants | 7.4 The transport of water
  p185/658  SAVED  Chapter 7: Transport in Plants | 
  p186/658  SAVED  Chapter 4: (Section 4.5, Movement of substances across membranes) | Leaf structure and transpiration
  p187/658  SAVED  Chapter 7: Transport in plants | Xerophytes
  p188/658  SAVED  Chapter 4: (Section 4.5, Movement of substances across Water vapou | Practical Activity 7.2: Drawing a TS of marram grass based on light microscopy
  p189/658  SAVED  Chapter 7: Transport in plants | Movement of water through xylem from root to leaf
  p190/658  SAVED  Chapter 4: Section 4.5 (Movement of substances across) | Structure of Xylem Vessels
  p191/658  SAVED  Chapter 7: Transport in plants | Movement of water across the root from root hairs to xylem
  p192/658  SAVED  Chapter 4: Movement of substances across cell membranes | Apoplast and symplast pathways for water movement in roots
  p193/658  SAVED  Chapter 7: Transport in Plants | Movement of water from the soil into root hairs
  p194/658  SAVED  Chapter 7: Transport in plants | 7.5 Transport of assimilates
  p195/658  SAVED  Chapter 7: Transport in plants | Sieve tube elements and companion cells
  p196/658  SAVED  Chapter 7: Transport in Plants | Structure of Phloem
  p197/658  SAVED  Chapter 7: Transport in plants | Phloem Transport: Composition and Mass Flow
  p198/658  SAVED  Chapter 4: Movement of Substances Across Membranes | Section 4.5: Movement of Substances Across Membranes (Water Vapour and Solutes)
  p199/658  SAVED  Chapter 7: Transport in Plants | Phloem Transport and Sieve Tube Elements
  p200/658  SKIP  Page is a reflection/review section with comparison tables and personal reflection questions, not new teachable content.
  p201/658  SAVED  Chapter 7: Transport in plants | Summary
  p202/658  SAVED  Chapter 7: Transport in Plants | Water Transport and Pressure
  p203/658  SAVED  Chapter 7: Transport in plants | Factors affecting transpiration and xylem tension
  p204/658  SAVED  Chapter 7: Transport in Plants | Transpiration and Water Uptake
  p205/658  SKIP  Page is a self-evaluation checklist, not a teaching unit.
  p206/658  SKIP  Page only contains learning intentions, no explanatory content.
  p207/658  SKIP  Page contains introductory activities and a case study about artificial hearts, but no core A-Level biology concept explanation.
  p208/658  SAVED  Chapter 8: Transport in animals | 8.1 Transport systems in animals
  p209/658  SAVED  Chapter 8: Transport in mammals | 8.3 Blood vessels
  p210/658  SAVED  Chapter 8: Transport in Mammals | Structure of arteries, capillaries, and veins
  p211/658  SAVED  Chapter 8: Transport in mammals | Blood vessels
  p212/658  SAVED  Chapter 8: Transport in Mammals | Capillaries: structure and function
  p213/658  SAVED  Chapter 8: Transport in mammals | Blood vessels and circulation
  p214/658  SAVED  Chapter 8: Transport in Mammals | 8.4 Tissue fluid
  p215/658  SAVED  Chapter 8: Transport in mammals | Tissue fluid formation and reabsorption
  p216/658  SAVED  Chapter 8: Transport in Mammals | Tissue fluid and capillary permeability
  p217/658  SAVED  Chapter 8: Transport in mammals | Red blood cells
  p218/658  SAVED  Chapter 11: Section 11.2 (Cells of the immune system) | White blood cells
  p219/658  SAVED  Chapter 8: Transport in mammals | Haemoglobin and oxygen transport
  p220/658  SAVED  Chapter 2: Biological molecules | Haemoglobin and oxygen transport
  p221/658  SAVED  Chapter 8: Transport in mammals | Bohr shift and carbon dioxide transport
  p222/658  SAVED  Chapter 2: (Section 2.6, Proteins) | 
  p223/658  SAVED  Chapter 8: Transport in mammals | Carbon dioxide transport in the blood
  p224/658  SAVED  Chapter 15: Heart Structure and Function | Key Words and Heart Chamber Overview
  p225/658  SAVED  Chapter 8: Transport in mammals | The cardiac cycle
  p226/658  SAVED  Chapter 15: The Mammalian Heart | 
  p227/658  SAVED  Chapter 15: Transport in mammals | The cardiac cycle
  p228/658  SAVED  Chapter 15: The Heart | Control of heartbeat
  p229/658  SAVED  Chapter 8: Transport in mammals | Control of heart beat
  p230/658  SAVED  Chapter 8: Transport in Mammals | 
  p231/658  SAVED  Chapter 8: Transport in mammals | 
  p232/658  SKIP  Page contains only exam-style questions, no explanatory content.
  p233/658  SAVED  Chapter 8: Transport in mammals | 
  p234/658  SAVED  Chapter 8: Transport in Mammals | The cardiac cycle and pressure changes
  p235/658  SAVED  Chapter 8: Transport in mammals | The Cardiac Cycle
  p236/658  SKIP  Page contains only a past exam question and a self-evaluation checklist, no new teachable content.
  p237/658  SAVED  Chapter 9: Gas Exchange | 
  p238/658  SAVED  Chapter 9: Gas Exchange | Examining the airways
  p239/658  SAVED  Chapter 9: Gas exchange | 9.2 Lungs
  p240/658  SAVED  Chapter 9: The respiratory system | 9.3 Trachea, bronchi and bronchioles
  p241/658  SAVED  Chapter 9: Gas exchange | Structure of the airways
  p242/658  SAVED  Chapter 9: The Mammalian Gas Exchange System | Structure of the airways
  p243/658  SAVED  Chapter 9: Gas Exchange | Structure of the trachea epithelium and gas exchange in alveoli
  p244/658  SAVED  Chapter 9: Gas exchange | Gas exchange in the alveoli
  p245/658  SKIP  Page contains only practical instructions and reflection questions, no new biological concepts or explanations.
  p246/658  SAVED  Chapter 9: Gas Exchange | The mammalian gas exchange system
  p247/658  SAVED  Chapter 9: Gas exchange | Alveoli
  p248/658  SKIP  Page contains only exam-style questions, no explanatory content.
  p249/658  SAVED  Chapter 9: Gas exchange | 
  p250/658  SKIP  Page contains only learning intentions, no explanatory content.
  p251/658  SAVED  Chapter 10: Infectious disease | Malaria
  p252/658  SAVED  Chapter 10: Infectious Diseases | 10.1 Infectious diseases
  p253/658  SAVED  Chapter 10: Infectious Disease | 10.1 Pathogens and Epidemiology
  p254/658  SAVED  Chapter 10: Infectious Disease | Cholera
  p255/658  SAVED  Chapter 10: Infectious disease | Malaria
  p256/658  SAVED  Chapter 10: Infectious Disease | Malaria
  p257/658  SAVED  Chapter 10: Infectious disease | Treating malaria
  p258/658  SAVED  Chapter 10: Infectious Diseases | Control of Malaria
  p259/658  SAVED  Chapter 10: Infectious disease | HIV/AIDS
  p260/658  SAVED  Chapter 1: (Section 1.9, Viruses) | Human Immunodeficiency Virus (HIV)
  p261/658  SAVED  Chapter 1: Cell Structure and Organisation | Section 1.9: Viruses
  p262/658  SAVED  Chapter 1: Cell Structure | Section 1.9: Viruses
  p263/658  SAVED  Chapter 10: Infectious Disease | Mother-to-child transmission of HIV
  p264/658  SAVED  Chapter 10: Infectious Diseases | Bacterial diseases: Tuberculosis
  p265/658  SAVED  Chapter 10: Infectious disease | Transmission of TB
  p266/658  SAVED  Chapter 1: Viruses | Section 1.9: Viruses
  p267/658  SAVED  Chapter 10: Infectious disease | 10.2 Antibiotics
  p268/658  SAVED  Chapter 17: (Section 17.2) | Antibiotic Resistance Mechanisms
  p269/658  SAVED  Chapter 17: Infectious disease | Section 17.2: Antibiotic resistance
  p270/658  SAVED  Chapter 10: Antibiotic Resistance and Sensitivity Testing | Antibiotic sensitivity testing
  p271/658  SAVED  Chapter 10: Infectious disease | Summary
  p272/658  SAVED  Chapter 10: Infectious Diseases | Antibiotic resistance
  p273/658  SAVED  Chapter 10: Infectious disease | HIV/AIDS epidemiology and data analysis
  p274/658  SKIP  Page contains only exam questions, no explanatory content.
  p275/658  SAVED  Chapter 10: Infectious disease | Epidemiology of Cholera and Tuberculosis
  p276/658  SAVED  Chapter 10: Infectious Disease | Antibiotic resistance
  p277/658  SAVED  Chapter 10: Infectious Disease | Antibiotic Susceptibility Testing
  p278/658  SKIP  Page contains only a self-evaluation checklist, no teachable content.
  p279/658  SKIP  Page contains only learning intentions, no teachable content.
  p280/658  SKIP  The page is a 'Before you start' section listing prerequisite topics and a brief historical context about polio vaccination, but contains no direct teaching content on immunity.
  p281/658  SAVED  Chapter 11: Immunity | Internal defence system
  p282/658  SAVED  Chapter 10: Humans can defend themselves against infection | 11.2 Cells of the immune system
  p283/658  SAVED  Chapter 10: Humans can defend themselves against infection | Phagocytosis
  p284/658  SAVED  Chapter 10: Humans can defend themselves against infection by pathogens | Phagocytosis and the immune response
  p285/658  SAVED  Chapter 10: humans can defend themselves against infection | Immunity
  p286/658  SAVED  Chapter 10: Humans can defend themselves against infection | B-lymphocytes and the immune response
  p287/658  SAVED  Chapter 11: Immunity | B cells and antibodies
  p288/658  SKIP  Page consists of review questions only, no explanatory content suitable for teaching.
  p289/658  SAVED  Chapter 10: humans can defend themselves against infection | 11 Immunity
  p290/658  SAVED  Chapter 10: humans can defend themselves against infection | 
  p291/658  SAVED  Chapter 11: Immunity | 11.3 Active and passive immunity
  p292/658  SAVED  Chapter 11: Immunity | Natural passive immunity
  p293/658  SAVED  Chapter 11: Immunity | Vaccines
  p294/658  SAVED  Chapter 11: Immunity | Vaccination and Herd Immunity
  p295/658  SAVED  Chapter 11: Immunity | Using monoclonal antibodies in diagnosis
  p296/658  SAVED  Chapter 4: Cell | Monoclonal antibodies in diagnosis and treatment
  p297/658  SAVED  Chapter 11: Immunity | Monoclonal antibodies (Mabs) in therapy and diagnosis
  p298/658  SAVED  Chapter 11: Immunity | Summary
  p299/658  SKIP  Page contains only exam-style questions, no explanatory content for a teaching unit.
  p300/658  SAVED  Chapter 11: Immunity | Monoclonal antibodies
  p301/658  SAVED  Chapter 11: Immunity | Phagocytosis
  p302/658  SKIP  The extracted text contains only exam-style questions, not explanatory content suitable for structuring into a teaching unit.
  p303/658  SAVED  Chapter 11: Immunity | Antibodies and Monoclonal Antibodies
  p304/658  SKIP  Page contains only a self-evaluation checklist with learning objectives, not explanatory content for a teaching unit.
  p305/658  SAVED  Chapter 11: Practical Skills for AS Level | 
  p306/658  SAVED  Chapter 11: Practical skills | P1.1 Practical skills
  p307/658  SAVED  Chapter 11: Practical Skills in Biology | Variables in Enzyme Experiments
  p308/658  SAVED  Chapter 11: Enzymes | Measuring the dependent variable
  p309/658  SAVED  Chapter 11: Practical Skills for AS Level | Using a colorimeter
  p310/658  SAVED  Chapter 11: Practical Skills | Controlling Temperature in Experiments
  p311/658  SAVED  Chapter 11: Practical Skills for AS Level | Measurement and Accuracy
  p312/658  SAVED  Chapter 11: Practical Skills | P1.4 Recording quantitative results
  p313/658  SAVED  Chapter 11: Practical skills for AS Level | P1.5 Displaying data
  p314/658  SAVED  Chapter 11: Data Presentation and Analysis | Constructing Bar Charts and Histograms
  p315/658  SAVED  Chapter 11: Practical Skills for AS Level | P1.6 Making conclusions
  p316/658  SAVED  Chapter 11: Biodiversity, Classification, and Conservation | Describing data
  p317/658  SAVED  Chapter 11: Practical Skills | Identifying sources of error and suggesting improvements
  p318/658  SAVED  Chapter 11: Practical Skills and Techniques | 
  p319/658  SAVED  Chapter P1: Practical skills for AS Level | Experimental design and variables
  p320/658  SAVED  Chapter 11: Practical Skills | Experimental Techniques and Data Analysis
  p321/658  SAVED  Chapter 11: Transport in Plants | Practical Skills: Drawing Low-Power Plans of Plant Sections
  p322/658  SAVED  Chapter 11: Transport in Plants | Practical: Estimating Lignified Tissue in Roots and Stems
  p323/658  SKIP  The page contains only an exam-style question and a self-evaluation checklist, with no explanatory teaching content or conceptual summary to structure.
  p324/658  SAVED  Chapter 12: Energy and respiration | 
  p325/658  SAVED  Chapter 12: Energy and respiration | 
  p326/658  SAVED  Chapter 12: Energy and Respiration | 12.1 The need for energy in living organisms
  p327/658  SAVED  Chapter 12: Energy and respiration | 12.2 Aerobic respiration
  p328/658  SAVED  Chapter 6: Respiration | Glycolysis
  p329/658  SAVED  Chapter 12: Energy and respiration | The Krebs cycle (citric acid cycle)
  p330/658  SAVED  Chapter 6: Respiration | The link reaction and the Krebs cycle
  p331/658  SAVED  Chapter 12: Energy and respiration | The electron transport chain
  p332/658  SAVED  Chapter 6: you learnt about the structure of ATP | Oxidative phosphorylation and chemiosmosis
  p333/658  SAVED  Chapter 12: Energy and respiration | Mitochondrial structure and function
  p334/658  SAVED  Chapter 6: ATP and Respiration | Structure of the mitochondrion
  p335/658  SAVED  Chapter 12: Energy and respiration | Anaerobic respiration
  p336/658  SAVED  Chapter 12: Respiration | 12.5 Respiratory substrates
  p337/658  SAVED  Chapter 12: Energy and respiration | Respiratory quotients
  p338/658  SAVED  Chapter 12: Respiration (Practical Activity 12.1) | Practical Activity 12.1: Measuring oxygen uptake and calculating RQs
  p339/658  SAVED  Chapter 12: Energy and respiration | Measuring respiratory quotient and rate of respiration
  p340/658  SKIP  Page is a chapter summary and review, not a new teaching subtopic.
  p341/658  SAVED  Chapter 12: Energy and respiration | Respiratory Quotient
  p342/658  SAVED  Chapter 12: Respiration | Krebs Cycle
  p343/658  SKIP  Page contains only a self-evaluation checklist, no teachable content.
  p344/658  SKIP  Page contains only learning intentions for Chapter 13: Photosynthesis, not specific teachable content.
  p345/658  SKIP  Page contains introductory activity and discussion questions, not a core teaching unit on photosynthesis.
  p346/658  SAVED  Chapter 13: Photosynthesis | 13.1 An energy transfer process
  p347/658  SAVED  Chapter 13: Photosynthesis | 13.2 Structure and function of chloroplasts
  p348/658  SAVED  Chapter 12: you learnt how all organisms use ATP Review | 
  p349/658  SAVED  Chapter 13: Photosynthesis | Absorption spectra and chloroplast pigments
  p350/658  SAVED  Chapter 12: you learnt how all organisms use ATP | Action spectra
  p351/658  SAVED  Chapter 13: Photosynthesis | Cyclic photophosphorylation
  p352/658  SAVED  Chapter 13: Photosynthesis | Non-cyclic Photophosphorylation
  p353/658  SAVED  Chapter 13: Photosynthesis | 13.4 The light-independent stage of photosynthesis
  p354/658  SAVED  Chapter 13: Photosynthesis | 13.5 Limiting factors in photosynthesis
  p355/658  SAVED  Chapter 13: Photosynthesis | 
  p356/658  SAVED  Chapter 13: Photosynthesis | Limiting factors of photosynthesis
  p357/658  SAVED  Chapter 13: Photosynthesis | Practical Activity 13.3: Using a redox indicator to determine effect of light intensity and light wavelength on the rate of photosynthesis
  p358/658  SAVED  Chapter 13: Photosynthesis | Summary
  p359/658  SKIP  Page contains only exam-style questions and a partial table; no explanatory teaching content.
  p360/658  SKIP  Page contains only a self-evaluation checklist, not teachable content.
  p361/658  SAVED  Chapter 14: Homeostasis | 
  p362/658  SKIP  Page contains only learning objectives and introductory discussion prompts, no detailed biological explanation or worked example.
  p363/658  SAVED  Chapter 14: Homeostasis | 14.1 Homeostasis
  p364/658  SAVED  Chapter 8: to remind | 
