Processing: C:\Users\Yong\Downloads\biology form 5.pdf
Subject: MY-Biology  Form: 5  Pages: 11-291 of 291
  p 46/291  SAVED  Bab 1: Fotosintesis | Faktor-faktor Persekitaran yang Mempengaruhi Kadar Fotosintesis
  p 47/291  SAVED  Bab 2: Nutrisi | 2.3 Kesan Faktor Persekitaran terhadap Kadar Fotosintesis
  p 48/291  SAVED  Bab 1 | Kesan Suhu terhadap Kadar Fotosintesis
  p 49/291  SAVED  Bab 1 | C Kepekatan karbon dioksida
  p 50/291  SAVED  Bab 1: Fotosintesis | Kesan Perubahan Keamatan Cahaya dan Warna Cahaya terhadap Kadar Fotosintesis
  p 51/291  SAVED  Bab 2: Nutrisi | Struktur dan Fungsi Daun
  p 52/291  SAVED  Bab 2: Nutrisi | 2.5 Keamatan Cahaya dan Pencapaian Titik Pampasan
  p 53/291  SAVED  Bab 1: Transport in Plants | Struktur dan Fungsi Daun 2
  p 54/291  SAVED  Bab 1: Nutrisi dan Fotosintesis | Struktur dan Fungsi Daun
  p 55/291  SKIP  Halaman ini adalah refleksi kendiri yang menyenaraikan konsep-konsep penting, bukan kandungan pengajaran baharu.
  p 56/291  SAVED  Bab 1: Transport in Plants | Stomata Distribution and Transpiration
  p 57/291  SKIP  The page contains only review questions and no explanatory biological content to teach.
  p 58/291  SKIP  (only 8 words)
  p 59/291  SKIP  (only 8 words)
  p 60/291  SKIP  (only 8 words)
  p 61/291  SKIP  (only 8 words)
  p 62/291  SKIP  (only 8 words)
  p 63/291  SKIP  (only 8 words)
  p 64/291  SKIP  (only 8 words)
  p 65/291  SKIP  (only 8 words)
  p 66/291  SKIP  (only 8 words)
  p 67/291  SKIP  (only 8 words)
  p 68/291  SKIP  (only 8 words)
  p 69/291  SKIP  (only 8 words)
  p 70/291  SKIP  (only 8 words)
  p 71/291  SKIP  (only 8 words)
  p 72/291  SKIP  (only 8 words)
  p 73/291  SKIP  (only 8 words)
  p 74/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | Eksplorasi Bab
  p 75/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Keajaiban Pengangkutan dalam Tumbuhan
  p 76/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | 4.1 Keperluan Pengangkutan dalam Tumbuhan
  p 77/291  SAVED  Bab 1: Pengangkutan | Penyesuaian Struktur Salur Xilem dan Trakeid dengan Pengangkutan Air dan Garam Mineral
  p 78/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | 4.1
  p 79/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | Pengangkutan Air dan Garam Mineral 4.2
  p 80/291  SAVED  Bab 1: <chapter title> | Bagaimanakah Air Bergerak dari dalam Tanah ke Salur Xilem?
  p 81/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Bagaimanakah Pergerakan Air di dalam Salur Xilem?
  p 82/291  SAVED  Bab 4: Mekanisme Pengangkutan dalam Organisma | 4.1 Kesan Tekanan Akar terhadap Pengangkutan Air
  p 83/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | 4.2 Kesan Tarikan Transpirasi terhadap Pengangkutan Air
  p 84/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Gutasi dalam Tumbuhan
  p 85/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | 4.2.3 Perbandingan antara Gutasi dengan Transpirasi
  p 86/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Translokasi
  p 87/291  SAVED  Bab 1: Pengangkutan | Keperluan Translokasi dalam Tumbuhan
  p 88/291  SAVED  Bab 1: Transport in Plants | 4.3 Peranan Tisu Floem dalam Pengangkutan Bahan Organik
  p 89/291  SAVED  Bab 4: Pengangkutan dalam Tumbuhan | Fitoremediasi
  p 90/291  SAVED  Bab 4: Bioteknologi | Penggunaan Fitoremediasi dalam Kehidupan
  p 91/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | 4.4 Keberkesanan Tumbuhan Fitoremediasi dalam Pengawalan Pencemaran Air
  p 92/291  SAVED  Bab 1: Fitoremediasi | 4.5 Keberkesanan Tumbuhan Fitoremediasi dalam Pengawalan Pencemaran Tanih
  p 93/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | 4.4 Fitoremediasi
  p 94/291  SKIP  Page contains self-reflection and practice questions, not new teaching content.
  p 95/291  SAVED  Bab 1: Pengangkutan dalam Tumbuhan | Translokasi dan Fitoremediasi
  p 96/291  SKIP  Page contains only chapter headings and guiding questions, no teachable biology content.
  p 97/291  SAVED  Bab 1: Pertumbuhan dan Perkembangan Tumbuhan | Teknologi Effective Microorganisms (EM)
  p 98/291  SAVED  Bab 5: Gerak Balas Tumbuhan | Jenis Gerak Balas Tumbuhan
  p 99/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | 5.1.1
  p100/291  SAVED  Bab 1: Organisasi Tumbuhan dan Pertumbuhan | 
  p101/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | Gerak Balas Nasti
  p102/291  SAVED  Bab 1 | Gerak Balas Nasti dalam Tumbuhan
  p103/291  SAVED  Bab 5: Gerak Balas dalam Tumbuhan | Fitohormon
  p104/291  SAVED  Bab 1: Organisma dan Persekitaran | Kesan Auksin terhadap Gerak Balas Pertumbuhan
  p105/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | Peranan Auksin dalam Gerak Balas Tumbuhan
  p106/291  SAVED  Bab 5: Gerak Balas dalam Tumbuhan | 5.1 Gerak Balas Radikal dan Pucuk Anak Benih terhadap Tarikan Graviti
  p107/291  SAVED  Bab 5: Gerak Balas dalam Tumbuhan | 5.3 Aplikasi Fitohormon dalam Pertanian
  p108/291  SAVED  Bab 5: Tumbesaran dan Perkembangan Tumbuhan | 5.2 Kesan Pemasakan Buah dengan Kehadiran Fitohormon
  p109/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | Gerak Balas dalam Tumbuhan
  p110/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | Refleksi Kendiri dan Praktis Sumatif 5
  p111/291  SAVED  Bab 1: Gerak Balas dalam Tumbuhan | 
  p112/291  SKIP  This page is an introduction to the chapter with learning standards and questions, not teachable content.
  p113/291  SAVED  Bab 1: Biodiversiti | Kepelbagaian Organisma
  p114/291  SAVED  Bab 6: Pembiakan Tumbuhan | 6.1 Struktur Bunga
  p115/291  SAVED  Bab 6: Pembiakan Seks dalam Tumbuhan Berbunga | 6.1 Struktur Bunga dan Fungsinya
  p116/291  SAVED  Bab 1: Pembiakan Tumbuhan Berbunga | Pembentukan Debunga dalam Anter
  p117/291  SAVED  Bab 1 | Pembiakan Seks dalam Tumbuhan Berbunga
  p118/291  SAVED  Bab 1: <chapter title> | 6.2
  p119/291  SAVED  Bab 1: Pembiakan Seks dalam Tumbuhan Berbunga | Pembentukan Pundi Embrio dalam Ovul
  p120/291  SAVED  Bab 1: (not specified, but context suggests Bab 1) | 6.3 Pendebungaan dan Persenyawaan
  p121/291  SAVED  Bab 1: Pembiakan Seks dalam Tumbuhan Berbunga | Pembentukan Tiub Debunga dan Gamet Jantan
  p122/291  SAVED  Bab 6: Reproduksi dan Pertumbuhan | 6.4: Percambahan Debunga dan Pembentukan Tiub Debunga
  p123/291  SAVED  Bab 6: Pembiakan Seks dalam Tumbuhan Berbunga | Persenyawaan Ganda Dua
  p124/291  SAVED  Bab 6: Tumbuhan Berbunga | Kepentingan Persenyawaan Ganda Dua dalam Kemandirian Tumbuhan Berbunga
  p125/291  SAVED  Bab 1: Pembiakan Seks dalam Tumbuhan Berbunga | Perkembangan Biji Benih dan Buah
  p126/291  SAVED  Bab 1: Pembiakan Tumbuhan | Struktur dan Jenis Buah
  p127/291  SAVED  Bab 1: Pembiakan Seks dalam Tumbuhan Berbunga | Kepentingan Biji Benih untuk Kemandirian
  p128/291  SAVED  Bab 1: Pertumbuhan dan Perkembangan Tumbuhan | Kepentingan Biji Benih untuk Kemandirian Tumbuhan
  p129/291  SAVED  Bab 1: Pembiakan Seks dalam Tumbuhan Berbunga | Gambaran Keseluruhan Proses Pembiakan Seks
  p130/291  SKIP  Halaman ini mengandungi refleksi kendiri dan soalan praktis sumatif, bukan kandungan pengajaran baharu. Tiada konsep atau subtopik baharu untuk diajar.
  p131/291  SKIP  Page contains only practice questions, no new biology content to teach.
  p132/291  SKIP  page is an introductory overview with exploration questions, no specific concept or explanation to teach
  p133/291  SAVED  Bab 7: Ekosistem dan Adaptasi | Ekosistem Mini Terarium
  p134/291  SAVED  Bab 7: Adaptasi Tumbuhan | Pengelasan Tumbuhan Berdasarkan Habitat
  p135/291  SAVED  Bab 1 | Penyesuaian Tumbuhan pada Habitat
  p136/291  SAVED  Bab 1 | Ciri Penyesuaian Tumbuhan Halofit
  p137/291  SAVED  Bab 1: Penyesuaian Tumbuhan terhadap Habitat | Penyesuaian Tumbuhan pada Habitat
  p138/291  SAVED  Bab 7: Ekosistem dan Dinamik Populasi | 7.1 Penyesuaian Tumbuhan terhadap Habitat
  p139/291  SAVED  Bab 1: Penyesuaian Tumbuhan pada Habitat | Penyesuaian Tumbuhan pada Habitat
  p140/291  SKIP  Page contains only practice questions (Praktis Sumatif 7) with no new teachable biology content.
  p141/291  SKIP  Page is a theme introduction with guiding questions, no specific teachable biology content.
  p142/291  SKIP  (only 36 words)
  p143/291  SAVED  Bab 1: Biodiversiti | Biodiversiti
  p144/291  SAVED  Bab 1: Pengelasan dan Penamaan Organisma | 8.1 Sistem Pengelasan dan Penamaan Organisma
  p145/291  SAVED  Bab 1: Biodiversiti | Pengelasan Organisma
  p146/291  SAVED  Bab 1: Klasifikasi Organisma | Ciri Utama Archaebacteria dan Eubacteria
  p147/291  SAVED  Bab 8: Biodiversiti | 
  p148/291  SAVED  Bab 1: Pengenalan kepada Biologi | 8.1 Hierarki Taksonomi
  p149/291  SAVED  Bab 1: Biodiversiti | Sistem Tatanama Binomial
  p150/291  SAVED  Bab 8: Biodiversiti | Penamaan Saintifik Organisma
  p151/291  SAVED  Bab 1: Biodiversiti | 8.1.5
  p152/291  SAVED  Bab 8: Biodiversiti | 8.2 Konsep Biodiversiti
  p153/291  SAVED  Bab 8: Biodiversiti | 8.2
  p154/291  SAVED  Bab 8: Biodiversiti | 
  p155/291  SAVED  Bab 8: Biodiversiti | Mikroorganisma dan Virus
  p156/291  SAVED  Bab 8: Mikroorganisma | 8.3 Protozoa
  p157/291  SAVED  Bab 8: Biodiversiti | Alga dan Kulat
  p158/291  SAVED  Bab 1: Virus | Ciri-ciri utama virus
  p159/291  SAVED  Bab 8: Biodiversiti | Peranan Mikroorganisma dalam Kitar Nitrogen
  p160/291  SAVED  Bab 8: Mikroorganisma | Peranan Mikroorganisma
  p161/291  SAVED  Bab 8: Biodiversiti | Mikroorganisma sebagai parasit dan simbion
  p162/291  SAVED  Bab 8: Penyakit dan Imunisasi | Definisi Patogen dan Vektor
  p163/291  SAVED  Bab 1: Biodiversiti | Vektor
  p164/291  SAVED  Bab 1: Biodiversiti | Simptom-simptom penyakit yang disebabkan oleh patogen
  p165/291  SKIP  Halaman ini mengandungi senarai semak refleksi kendiri yang menyenaraikan konsep-konsep penting tanpa penerangan, contoh kerja, atau data saintifik. Ia tidak sesuai untuk dijadikan unit pengajaran yang mengandungi penjelasan konsep dan contoh.
  p166/291  SKIP  Page contains only practice questions (Praktis Sumatif 8) with no explanatory teaching content.
  p167/291  SKIP  Halaman ini mengandungi soalan latihan sahaja, tiada penerangan konsep baru.
  p168/291  SKIP  Page contains only introductory questions and learning standards, no actual biological content or explanation.
  p169/291  SAVED  Bab 1: Ekosistem | Rizab Biosfera
  p170/291  SAVED  Bab 1: Ekologi | Komuniti dan Ekosistem
  p171/291  SAVED  Bab 9: Ekosistem | 
  p172/291  SAVED  Bab 1: Ekosistem | Komponen Biosis dan Abiosis dalam Ekosistem
  p173/291  SAVED  Bab 1: Ekosistem | Faktor Abiotik
  p174/291  SAVED  Bab 9: Ekosistem | Faktor Abiotik
  p175/291  SAVED  Bab 3: Ekosistem | Kelembapan Udara
  p176/291  SAVED  Bab 3: Nutrisi | Pengelasan organisma berdasarkan tabiat nutrisinya
  p177/291  SAVED  Bab 3: Ekosistem | 9.1.4
  p178/291  SAVED  Bab 3: Ekologi | Pengaliran Tenaga dalam Rantai Makanan
  p179/291  SAVED  Bab 3: Ekosistem | 9.1.5 Siratan Makanan
  p180/291  SAVED  Bab 3: Ekologi | Piramid Ekologi
  p181/291  SAVED  Bab 3: Ekosistem | Piramid Tenaga
  p182/291  SAVED  Bab 3: Interaksi antara Organisma dan Alam Sekitar | Jenis Interaksi antara Komponen Biosis
  p183/291  SAVED  Bab 3: Ekosistem | Interaksi antara Komponen Biosis
  p184/291  SAVED  Bab 3: Ekosistem dan Mampan | 9.1 Kesan Persaingan Intraspesies dan Persaingan Interspesies terhadap Organisma
  p185/291  SAVED  Bab 9: Ekosistem | Ekosistem Paya Bakau
  p186/291  SAVED  Bab 3: Ekosistem Paya Bakau | 9.1.8 Komponen Biosis
  p187/291  SAVED  Bab 3: Ekosistem | Ciri Penyesuaian Pokok Bakau
  p188/291  SAVED  Bab 9: Ekosistem | Pengkolonian dan Sesaran
  p189/291  SAVED  Bab 3: Ekologi | Kepentingan Ekosistem Paya Bakau
  p190/291  SAVED  Bab 9: Ekologi dan Interaksi antara Organisma | Ekologi Populasi
  p191/291  SAVED  Bab 3: Ekosistem | 9.2.1
  p192/291  SAVED  Bab 3: Ekologi | Anggaran Saiz Populasi Organisma
  p193/291  SAVED  Bab 3: Ekosistem | Teknik Persampelan Kuadrat
  p194/291  SAVED  Bab 3: Populasi | Kaedah Tangkap-Tanda-Lepas-Tangkap Semula
  p195/291  SAVED  Bab 3: Ekosistem | 9.4 Kajian Lapangan Anggaran Saiz Populasi Haiwan
  p196/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | Persampelan Kuadrat
  p197/291  SAVED  Bab 3: Ekosistem | Persampelan Tangkap-tanda-lepas-tangkap
  p198/291  SAVED  Bab 3: Ekologi | Ekosistem Paya Bakau dan Sesaran
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Biology, 5, Bab 3: Ekosistem, Kaedah Tangkap-Tanda-Tangkap Semula) already exists.","hint":null,"message":"duplicate key value 
  p199/291  DB-ERR  Bab 3: Ekosistem | 
  p200/291  SKIP  This page is the opening of Bab 10 (Kelestarian Alam Sekitar) with chapter exploration topics and learning standards questions only. No specific biology content or explanation to structure into a teaching unit.
  p201/291  SAVED  Bab 3: Kelestarian Alam Sekitar | Agen Kawalan Biologi
  p202/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 10.1 Kelestarian Alam Sekitar
  p203/291  SAVED  Bab 10: Kelestarian Alam Sekitar | Perubahan Iklim dan Pemanasan Global
  p204/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | Kesan Rumah Hijau dan Penyahhutanan
  p205/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | Eutrofikasi
  p206/291  SAVED  Bab 3: Ekosistem dan Alam Sekitar | 10.1.2 Eutrofikasi dan Keperluan Oksigen Biokimia (BOD)
  p207/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 10.1 Tahap Keperluan Oksigen Biokimia (BOD) dalam Sampel Air yang Berbeza
  p208/291  SAVED  Bab 10: Pencemaran Alam Sekitar | Pencemaran Udara
  p209/291  SAVED  Bab 3: Kelestarian Alam Sekitar | 10.1.2 Pencemaran Udara dan Pencemaran Terma
  p210/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | 
  p211/291  SKIP  Page contains only an activity and introductory questions without explanation of the core concepts (pemeliharaan, pemuliharaan, pemulihan ekosistem). No teachable biology content.
  p212/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | Keperluan Pemeliharaan, Pemuliharaan dan Pemulihan Ekosistem
  p213/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 10.3 Amalan dalam Melestarikan Alam Sekitar
  p214/291  SAVED  Bab 3 | Amalan yang Menyumbang kepada Kelestarian Alam
  p215/291  SAVED  Bab 3: Kelestarian Alam Sekitar | Pengurusan Sisa Domestik dan Toksik
  p216/291  SAVED  Bab 3: Kelestarian Alam Sekitar | Inisiatif Kelestarian Alam
  p217/291  SAVED  Bab 3: Kelestarian Alam Sekitar | Status Sekuriti Makanan di Malaysia
  p218/291  SAVED  Bab 3 | Teknologi Hijau
  p219/291  SAVED  Bab 10: Kelestarian Alam Sekitar | Penggunaan Teknologi Hijau dalam Melestarikan Alam
  p220/291  SAVED  Bab 10: Teknologi Hijau | Green Building
  p221/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 10.8 Menghasilkan Baja Semula Jadi
  p222/291  SAVED  Bab 10: Teknologi Hijau dan Kelestarian Alam Sekitar | Penghasilan Ekoenzim
  p223/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 10.4 Komunikasi dan Pendidikan Alam Sekitar
  p224/291  SAVED  Bab 3: Kestarian Alam Sekitar | 
  p225/291  SAVED  Bab 10: Kelestarian Alam Sekitar | 
  p226/291  SAVED  Bab 3: Keseimbangan Alam Sekitar | Sekuriti Makanan
  p227/291  SKIP  (only 8 words)
  p228/291  SKIP  (only 8 words)
  p229/291  SKIP  (only 8 words)
  p230/291  SKIP  (only 8 words)
  p231/291  SKIP  (only 8 words)
  p232/291  SKIP  (only 8 words)
  p233/291  SKIP  (only 8 words)
  p234/291  SKIP  (only 8 words)
  p235/291  SKIP  (only 8 words)
  p236/291  SKIP  (only 8 words)
  p237/291  SKIP  (only 8 words)
  p238/291  SKIP  (only 8 words)
  p239/291  SKIP  (only 8 words)
  p240/291  SKIP  (only 8 words)
  p241/291  SKIP  (only 8 words)
  p242/291  SKIP  (only 8 words)
  p243/291  SKIP  (only 8 words)
  p244/291  SKIP  (only 8 words)
  p245/291  SKIP  (only 8 words)
  p246/291  SKIP  (only 8 words)
  p247/291  SKIP  (only 8 words)
  p248/291  SKIP  (only 8 words)
  p249/291  SKIP  (only 8 words)
  p250/291  SKIP  (only 8 words)
  p251/291  SKIP  (only 8 words)
  p252/291  SKIP  (only 8 words)
  p253/291  SKIP  (only 8 words)
  p254/291  SKIP  (only 8 words)
  p255/291  SKIP  (only 8 words)
  p256/291  SKIP  (only 8 words)
  p257/291  SKIP  (only 8 words)
  p258/291  SKIP  (only 8 words)
  p259/291  SKIP  (only 8 words)
  p260/291  SKIP  (only 8 words)
  p261/291  SKIP  (only 8 words)
  p262/291  SKIP  (only 8 words)
  p263/291  SKIP  (only 8 words)
  p264/291  SKIP  (only 8 words)
  p265/291  SKIP  (only 8 words)
  p266/291  SKIP  (only 8 words)
  p267/291  SKIP  (only 8 words)
  p268/291  SKIP  (only 8 words)
  p269/291  SKIP  (only 8 words)
  p270/291  SKIP  (only 8 words)
  p271/291  SKIP  (only 8 words)
  p272/291  SKIP  (only 8 words)
  p273/291  SKIP  (only 8 words)
  p274/291  SKIP  (only 8 words)
  p275/291  SKIP  (only 8 words)
  p276/291  SKIP  (only 8 words)
  p277/291  SKIP  (only 8 words)
  p278/291  SKIP  (only 8 words)
  p279/291  SKIP  (only 8 words)
  p280/291  SKIP  (only 8 words)
  p281/291  SKIP  (only 8 words)
  p282/291  SKIP  (only 8 words)
  p283/291  SKIP  (only 8 words)
  p284/291  SKIP  (only 8 words)
  p285/291  SKIP  (only 8 words)
  p286/291  SKIP  (only 8 words)
  p287/291  SKIP  (only 8 words)
  p288/291  SKIP  (only 8 words)
  p289/291  SKIP  (only 8 words)
  p290/291  SKIP  (only 8 words)
  p291/291  SKIP  (only 8 words)
------------------------------------------------------------
DONE: 179 saved, 100 skipped, 2 errors
Backup: C:\Learnova\MY-Biology_F5_results.json
DONE: 179 saved, 100 skipped, 2 errors
