Processing: C:\learnova_app\textbooks\F4 Chemistry.pdf
Subject: MY-Chemistry  Form: 4  Pages: 11-289 of 289
  p 38/289  SAVED  Bab 2: Jirim dan Struktur Atom | Zarah Subatom
  p 39/289  SAVED  Bab 2: Struktur Atom | Perkembangan Model Struktur Atom
  p 40/289  SAVED  Bab 2: Jirim dan Struktur Atom | 
  p 41/289  SAVED  Bab 2: Asas Kimia | 2.3 Struktur Atom ? Nombor Proton dan Nombor Nukleon
  p 42/289  SAVED  Bab 2: Jirim dan Struktur Atom | Bilangan Elektron dan Proton dalam Atom dan Ion
  p 43/289  SAVED  Bab 2: Bilangan elektron adalah sama dengan bilangan proton disebab | Perwakilan Piawai bagi Atom
  p 44/289  SAVED  Bab 2: Rajah Struktur Atom dan Susunan Elektron | Rajah Struktur Atom dan Susunan Elektron
  p 45/289  SAVED  Bab 2: Rajah Struktur Atom dan Susunan Elektron | Susunan Elektron dan Rajah Struktur Atom
  p 46/289  SAVED  Bab 2: Jirim dan Struktur Atom | 2.4 Isotop dan Penggunaannya
  p 47/289  SAVED  Bab 2: 2.4 Isotop dan Penggunaannya | Penggunaan Isotop
  p 48/289  SAVED  Bab 2: Jirim dan Struktur Atom | Isotop
  p 49/289  SKIP  Page contains self-reflection and assessment questions, no new concept teaching content.
  p 50/289  SKIP  Page contains only practice questions and exercises, no new teaching content or explanations.
  p 51/289  SKIP  This page is a chapter opener listing key terms and learning outcomes, no specific chemistry concept to explain.
  p 52/289  SAVED  Bab 2: Jirim dan Struktur Atom | 
  p 53/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | 3.1 Jisim Atom Relatif dan Jisim Molekul Relatif
  p 54/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Cabaran Minda
  p 55/289  SAVED  Bab 3: Cabaran Minda | Konsep Jisim Atom Relatif (JAR) dan Jisim Molekul Relatif (JMR) secara Analogi
  p 56/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Jisim Molekul Relatif
  p 57/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Jisim Formula Relatif, JFR
  p 58/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | 3.2 Konsep Mol
  p 59/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Bilangan Mol dan Bilangan Zarah
  p 60/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Contoh penukaran antara bilangan mol dan bilangan zarah menggunakan pemalar Avogadro
  p 61/289  SAVED  Bab 3: Contoh penukaran antara bilangan mol dan bilangan zarah | Bilangan Mol dan Jisim Bahan
  p 62/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Penukaran antara Bilangan Mol dan Jisim
  p 63/289  SAVED  Bab 3: Konsep Mol, Formula Kimia dan Persamaan Kimia | Bilangan Mol dan Isi Padu Gas
  p 64/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Isi Padu Molar Gas
  p 65/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Hubung kait antara bilangan mol dengan kuantiti jirim
  p 66/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Isi padu Molar Gas
  p 67/289  SAVED  Bab 3: Isi padu karbon dioksida, CO2 = Bilangan mol ? Isi padu mola | 
  p 68/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | 3.3 Formula Kimia
  p 69/289  SAVED  Bab 3: 3.3 Formula Kimia | Formula Empirik dan Formula Molekul
  p 70/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Penentuan Formula Empirik
  p 71/289  SAVED  Bab 3: Penentuan Formula Empirik | Aktiviti 3.12: Menentukan Formula Empirik Magnesium Oksida
  p 72/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Aktiviti 3.13: Menentukan formula empirik kuprum(II) oksida
  p 73/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Penentuan Formula Empirik
  p 74/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Penentuan Formula Molekul
  p 75/289  SAVED  Bab 3: Konsep Mol, Formula Kimia dan Persamaan Kimia | Formula Empirik dan Formula Molekul
  p 76/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Formula Kimia Sebatian Ion
  p 77/289  SAVED  Bab 3: Formula Kimia Sebatian Ion | Penamaan Sebatian Kimia
  p 78/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | 3.4 Persamaan Kimia
  p 79/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Cara Menulis Persamaan Kimia
  p 80/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Persamaan Kimia
  p 81/289  SAVED  Bab 3: Asas Kimia | Menggunakan Persamaan Kimia
  p 82/289  SAVED  Bab 3: Konsep Mol, Formula dan Persamaan Kimia | Pengiraan Stoikiometri: Menukar Bilangan Mol kepada Jisim
  p 83/289  SAVED  Bab 3: Bilangan Mol yang Telah Ditentukan Boleh Ditukar kepada Jisim | 
  p 84/289  SKIP  Halaman ini adalah ringkasan dan refleksi kendiri, bukan kandungan pengajaran baharu.
  p 85/289  SKIP  Page contains only assessment questions, no teachable concept explanation or worked example.
  p 86/289  SKIP  Page contains only practice questions without explanatory text; no teachable concept lesson.
  p 87/289  SAVED  Bab 4: Jadual Berkala Unsur | 4.1 Perkembangan Jadual Berkala Unsur
  p 88/289  SKIP  This page contains only a bulletin with general information and questions about chlorine and the periodic table, not a teachable concept with explanations or examples.
  p 89/289  SAVED  Bab 4: Jadual Berkala Unsur | 4.1 Perkembangan Jadual Berkala Unsur
  p 90/289  SAVED  Bab 4: Jadual Berkala Unsur | Sejarah Perkembangan dan Prinsip Asas Penyusunan Unsur
  p 91/289  SAVED  Bab 4: Jadual Berkala Unsur | 4.2 Susunan Unsur dalam Jadual Berkala Unsur Moden
  p 92/289  SAVED  Bab 4: Jadual Berkala Unsur | Kumpulan dan Kala
  p 93/289  SAVED  Bab 4: Jadual Berkala Unsur | 4.3 Unsur dalam Kumpulan 18
  p 94/289  SAVED  Bab 4: Jadual Berkala Unsur | Sifat Kimia Unsur Kumpulan 18
  p 95/289  SAVED  Bab 4: Jadual Berkala Unsur | Kegunaan Unsur Kumpulan 18 dalam Kehidupan Harian
  p 96/289  SAVED  Bab 4: Jadual Berkala Unsur | 4.4 Unsur dalam Kumpulan 1
  p 97/289  SAVED  Bab 4: Kendiri | Perubahan Sifat Fizik Unsur Menuruni Kumpulan 1
  p 98/289  SAVED  Bab 4: Jadual Berkala Unsur | Tindak Balas Unsur Kumpulan 1
  p 99/289  SAVED  Bab 4: Logam Alkali | Tindak Balas Unsur Kumpulan 1 dengan Air, Gas Oksigen dan Klorin
  p100/289  SAVED  Bab 4: Perubahan Kereaktifan Unsur Menuruni Kumpulan 1 | Perubahan Kereaktifan Unsur Menuruni Kumpulan 1
  p101/289  SAVED  Bab 4: Perubahan Kereaktifan Unsur Menuruni Kumpulan 1 | 4.5 Unsur dalam Kumpulan 17
  p102/289  SAVED  Bab 4: PELUNTUR | Perubahan Sifat Fizik Unsur Menuruni Kumpulan 17
  p103/289  SAVED  Bab 4: PELUNTUR | Tindak Balas Unsur Kumpulan 17 dengan Air, Logam dan Alkali
  p104/289  SAVED  Bab 4: Perubahan Kereaktifan Unsur Menuruni Kumpulan 17 | Perubahan Kereaktifan Unsur Menuruni Kumpulan 17
  p105/289  SAVED  Bab 4: Perubahan Kereaktifan Unsur Menuruni Kumpulan 17 | Unsur dalam Kala 3
  p106/289  SAVED  Bab 4: Trend Perubahan Sifat Fizik Unsur Merentasi Kala 3 | Trend Perubahan Sifat Fizik Unsur Merentasi Kala 3
  p107/289  SAVED  Bab 4: Trend Perubahan Sifat Fizik Unsur Merentasi Kala 3 | Sifat Kimia Oksida Unsur Kala 3
  p108/289  SAVED  Bab 4: Jadual Berkala Unsur | Sifat Oksida Unsur Merentasi Kala 3
  p109/289  SAVED  Bab 4: Apabila merentasi Kala 3, sifat oksida berubah daripada oksida bes kepada oksida asid | Kala 3
  p110/289  SAVED  Bab 4: 4.7 Unsur Peralihan | Kedudukan Unsur Peralihan
  p111/289  SAVED  Bab 4: Unsur Peralihan | 
  p112/289  SAVED  Bab 4: Jadual Berkala Unsur | Ciri Istimewa Unsur Peralihan
  p113/289  SAVED  Bab 4: Jadual Berkala Unsur | Kegunaan Unsur Peralihan
  p114/289  SKIP  The extracted text is a fragmented mind map or summary page with no coherent explanation or teachable concept suitable for a structured lesson.
  p115/289  SKIP  Page contains only self-reflection questions and assessment exercises, not new teachable content.
  p116/289  SKIP  Page contains only practice questions (SPM-style exercises), no conceptual explanation or teaching content.
  p117/289  SKIP  Page is a chapter introduction with only key terms and subtopic list; no substantive chemistry content.
  p118/289  SKIP  Page is a bulletin with trivia about spacesuit materials and rhetorical questions; no structured chemistry explanation or teaching content.
  p119/289  SAVED  Bab 5: Ikatan Kimia | 5.1 Asas Pembentukan Sebatian
  p120/289  SAVED  Bab 5: Ikatan Kimia | 5.2 Ikatan Ion
  p121/289  SAVED  Bab 5: Ikatan Kimia | Pembentukan Ion
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Chemistry, 4, Bab 5: Ikatan Kimia, Pembentukan Ikatan Ion) already exists.","hint":null,"message":"duplicate key value violates
  p122/289  DB-ERR  Bab 5: Ikatan Kimia | Pembentukan Ikatan Ion
  p123/289  SAVED  Bab 5: Pembentukan Ikatan Ion | 5.3 Ikatan Kovalen
  p124/289  SAVED  Bab 5: Ikatan Kimia | Pembentukan Ikatan Kovalen Menggunakan Struktur Lewis
  p125/289  SAVED  Bab 5: Pembentukan Ikatan Kovalen | Membandingkan Ikatan Ion dengan Ikatan Kovalen
  p126/289  SAVED  Bab 5: Ikatan Kimia | 5.4 Ikatan Hidrogen
  p127/289  SAVED  Bab 5: Ikatan Kimia | Peranan Ikatan Hidrogen dalam Kehidupan Harian
  p128/289  SAVED  Bab 5: Kesan Ikatan Hidrogen ke atas Sifat Fizik Bahan | Kesan Ikatan Hidrogen ke atas Sifat Fizik Bahan
  p129/289  SAVED  Bab 5: Kesan Ikatan Hidrogen ke atas Sifat Fizik Bahan | Ikatan Datif
  p130/289  SAVED  Bab 5: Ikatan Kimia | 5.6 Ikatan Logam
  p131/289  SAVED  Bab 5: Ikatan Kimia | 5.7 Sebatian Ion dan Sebatian Kovalen
  p132/289  SAVED  Bab 5: Ikatan Kimia | 5.1 Eksperimen
  p133/289  SAVED  Bab 5: Ikatan Kimia | 5.1 Eksperimen
  p134/289  SAVED  Bab 5: Kekonduksian Elektrik | Kekonduksian Elektrik Sebatian Ion dan Kovalen
  p135/289  SAVED  Bab 5: Kekonduksian Elektrik | Keterlarutan di dalam Air dan Pelarut Organik
  p136/289  SAVED  Bab 5: Ikatan Kimia | Takat Lebur dan Takat Didih Sebatian Ion dan Kovalen
  p137/289  SAVED  Bab 5: Sebatian Ion dan Sebatian Kovalen | Struktur Sebatian Kovalen
  p138/289  SKIP  Page is a summary diagram without detailed explanation or chemical equations; no teachable unit content.
  p139/289  SAVED  Bab 5: Kegunaan Sebatian Ion dan Sebatian Kovalen dalam Kehidupan Harian | Perbandingan Sifat Sebatian Ion dan Kovalen
  p140/289  SAVED  Bab 5: Ikatan Kimia | Jenis Ikatan Kovalen
  p141/289  SKIP  Page contains only end-of-chapter reflection and assessment questions, no new teaching content.
  p142/289  SKIP  Page contains only exercise questions, no new teaching content.
  p143/289  SKIP  Chapter introduction page with no specific chemistry concept to teach.
  p144/289  SAVED  Bab 5: 5.0 | 
  p145/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.1 Peranan Air dalam Menunjukkan Keasidan dan Kealkalian
  p146/289  SAVED  Bab 6: Kebesan Asid | Kebesan Asid
  p147/289  SAVED  Bab 6: Kebesan Asid | Alkali
  p148/289  SAVED  Bab 6: Asid, Bes dan Garam | Peranan Air dalam Menunjukkan Keasidan dan Kealkalian
  p149/289  SAVED  Bab 6: Asid, Bes dan Garam | Kesan Air terhadap Sifat Keasidan Asid
  p150/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.2 Eksperimen
  p151/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.2 Eksperimen
  p152/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.2 Nilai pH
  p153/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.2 Nilai pH
  p154/289  SAVED  Bab 6: Asid, Bes dan Garam | pH dan pOH
  p155/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.3 Eksperimen: Hubungan antara Kepekatan Ion Hidrogen dengan Nilai pH
  p156/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.4 Eksperimen
  p157/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.4 Eksperimen
  p158/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.3 Kekuatan Asid dan Alkali
  p159/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.3 Kekuatan Asid dan Alkali
  p160/289  SAVED  Bab 6: Asid, Bes dan Garam | Alkali Lemah
  p161/289  SKIP  Page contains only learning standards and a brief demonstration introduction, insufficient chemical concept explanation.
  p162/289  SAVED  Bab 6: Asid, Bes dan Garam | 
  p163/289  SAVED  Bab 6: Asid, Bes dan Garam | Tindak balas antara asid dengan logam reaktif
  p164/289  SAVED  Bab 6: Asid, Bes dan Garam | Tindak balas antara asid dengan karbonat logam
  p165/289  SAVED  Bab 6: Tindak balas antara asid dengan karbonat logam | Sifat Kimia Alkali
  p166/289  SAVED  Bab 6: Asid, Bes dan Garam | Sifat Kimia Alkali
  p167/289  SAVED  Bab 6: Prosedur | 6.5 Kepekatan Larutan Akueus
  p168/289  SAVED  Bab 6: Asid, Bes dan Garam | Kepekatan dan Kemolaran
  p169/289  SAVED  Bab 6: Asid, Bes dan Garam | Kepekatan dan Kemolaran
  p170/289  SAVED  Bab 6: Asid, Bes dan Garam | Kepekatan Larutan
  p171/289  SAVED  Bab 6: Larutan dan Kepekatan | 6.6 Larutan Piawai
  p172/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Larutan Piawai daripada Pepejal
  p173/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Larutan Piawai melalui Pencairan Larutan Akueus
  p174/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan larutan piawai melalui kaedah pencairan
  p175/289  SAVED  Bab 6: Penyediaan Larutan Piawai | Penyediaan Larutan Piawai melalui Kaedah Pencairan
  p176/289  SAVED  Bab 6: Asid, Bes dan Garam | Aktiviti 6.9: Menyelesaikan Masalah Penghitungan yang Melibatkan Penyediaan Larutan Piawai melalui Pencairan
  p177/289  SAVED  Bab 6: Asid, Bes dan Garam | Maksud Peneutralan
  p178/289  SAVED  Bab 6: Aplikasi Peneutralan dalam Kehidupan Harian | Aplikasi Peneutralan dalam Kehidupan Harian
  p179/289  SAVED  Bab 6: Aplikasi Peneutralan dalam Kehidupan Harian | Kaedah Pentitratan
  p180/289  SAVED  Bab 6: Asid, Bes dan Garam | Pentitratan Asid-Bes
  p181/289  SAVED  Bab 6: Asid, Bes dan Garam | Menyelesaikan Masalah Numerikal yang Melibatkan Peneutralan
  p182/289  SAVED  Bab 6: Asid, Bes dan Garam | Pengiraan Kepekatan melalui Peneutralan
  p183/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.8 Garam, Hablur dan Kegunaan dalam Kehidupan Harian
  p184/289  SAVED  Bab 6: Asid, Bes dan Garam | Tindak balas antara asid dan alkali
  p185/289  SAVED  Bab 6: Asid, Bes dan Garam | Ciri-ciri Fizikal Hablur Garam
  p186/289  SAVED  Bab 6: Asid, Bes dan Garam | Aktiviti 6.17 dan Aktiviti 6.18
  p187/289  SAVED  Bab 6: Garam | Keterlarutan Garam di dalam Air
  p188/289  SAVED  Bab 6: Asid, Bes dan Garam | Keterlarutan Garam
  p189/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Garam Terlarutkan
  p190/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Garam Terlarutkan Jenis Ammonium, Natrium dan Kalium
  p191/289  SAVED  Bab 6: Penyediaan Garam Terlarutkan | 
  p192/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Garam: Tindak Balas Asid dengan Oksida Logam
  p193/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan dan Penulenan Garam Terlarutkan
  p194/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Garam Melalui Penghabluran Semula
  p195/289  SAVED  Bab 6: Asid, Bes dan Garam | Penyediaan Garam Tak Terlarutkan
  p196/289  SAVED  Bab 6: Asid, Bes dan Garam | 
  p197/289  SAVED  Bab 6: Asid, Bes dan Garam | Pembinaan Persamaan Ion melalui Kaedah Perubahan Berterusan
  p198/289  SAVED  Bab 6: Asid, Bes dan Garam | 
  p199/289  SAVED  Bab 6: Asid, Bes dan Garam | Kaedah Perubahan Berterusan
  p200/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian Gas
  p201/289  SAVED  Bab 6: Ujian Gas | Ujian Gas
  p202/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian gas
  p203/289  SAVED  Bab 6: Ujian gas | 6.7 Eksperimen
  p204/289  SAVED  Bab 6: Asid, Bes dan Garam | Kesan Haba ke atas Garam Nitrat (Eksperimen 6.8)
  p205/289  SAVED  Bab 6: Kesan Haba ke atas Garam | Penguraian Terma Garam Karbonat, Nitrat, dan Klorida/Sulfat
  p206/289  SAVED  Bab 6: Asid, Bes dan Garam | 6.11 Analisis Kualitatif
  p207/289  SAVED  Bab 6: Asid, Bes dan Garam | Pemerhatian terhadap Sifat Fizik Garam
  p208/289  SAVED  Bab 6: Asid, Bes dan Garam | Warna Garam dan Analisis Kualitatif
  p209/289  SAVED  Bab 6: Asid, Bes dan Garam | Tindakan Haba ke atas Garam dan Ujian Gas
  p210/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian Anion
  p211/289  SAVED  Bab 6: Garam | Ujian Anion
  p212/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian ion sulfat, SO4?? dan ujian ion nitrat, NO??
  p213/289  SAVED  Bab 6: Analisis Kualitatif | Ujian Ion Sulfat, SO4^2?
  p214/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian Kation
  p215/289  SAVED  Bab 6: Ujian Kation | Menggunakan Larutan Natrium Hidroksida dan Ammonia
  p216/289  SAVED  Bab 6: Asid, Bes dan Garam | Tindak Balas Kation dengan Larutan Alkali
  p217/289  SAVED  Bab 6: Interaksi antara Jirim | Analisis Kualitatif Kation
  p218/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian Kation Menggunakan NaOH dan NH?
  p219/289  SAVED  Bab 6: Interaksi antara Jirim | Ujian Pengesahan Kation
  p220/289  SAVED  Bab 6: Asid, Bes dan Garam | Ujian Pengesahan Ion
  p221/289  SAVED  Bab 6: Keputusan | Ujian Pengesahan Ion Al3+ dan Pb2+
  p222/289  SAVED  Bab 6: Asid, Bes dan Garam | Analisis Kualitatif
  p223/289  SAVED  Bab 7: Asid, Bes dan Garam | Analisis Kualitatif Garam (Aktiviti 6.29)
  p224/289  SAVED  Bab 6: Asid, Bes dan Garam | Kekuatan Asid dan Alkali
  p225/289  SKIP  This page contains only assessment questions (Penilaian 6) and reflection prompts, with no new explanatory teaching content.
  p226/289  SAVED  Bab 6: Asid, Bes dan Garam | Pengenalpastian Garam
  p227/289  SAVED  Bab 7: Kadar Tindak Balas | 
  p228/289  SAVED  Bab 6: Kadar Tindak Balas | Faktor-faktor yang Mempengaruhi Kadar Tindak Balas
  p229/289  SAVED  Bab 7: Kadar Tindak Balas | 7.1 Penentuan Kadar Tindak Balas
  p230/289  SAVED  Bab 7: Maksud Kadar Tindak Balas | Maksud Kadar Tindak Balas
  p231/289  SAVED  Bab 7: Maksud Kadar Tindak Balas | Pengukuran Kadar Tindak Balas
  p232/289  SAVED  Bab 7: Kadar Tindak Balas | Tindak balas antara zink, Zn dan asid sulfurik, H2SO4
  p233/289  SAVED  Bab 7: Laju Tindak Balas | Tindak balas antara asid nitrik, HNO3 dan ketulan marmar, CaCO3
  p234/289  SAVED  Bab 7: Kadar Tindak Balas | Kadar Tindak Balas Purata dan Kadar Tindak Balas pada Masa Tertentu
  p235/289  SAVED  Bab 7: Kadar Tindak Balas | Kadar Tindak Balas pada Masa Tertentu
  p236/289  SAVED  Bab 7: Kadar Tindak Balas | Menentukan Kadar Tindak Balas daripada Graf
  p237/289  SAVED  Bab 7: Kadar Tindak Balas | Kadar Tindak Balas Purata dan Kadar Tindak Balas Sebenar
  p238/289  SAVED  Bab 7: Kadar Tindak Balas | Aktiviti 7.3
  p239/289  SAVED  Bab 7: Kadar Tindak Balas | Faktor yang Mempengaruhi Kadar Tindak Balas
  p240/289  SAVED  Bab 7: Kadar Tindak Balas | Luas Permukaan
  p241/289  SAVED  Bab 7: Kadar Tindak Balas | 7.2 Eksperimen
  p242/289  SAVED  Bab 7: Kadar Tindak Balas | Eksperimen Kesan Kepekatan ke atas Kadar Tindak Balas
  p243/289  SAVED  Bab 7: Mentafsir data | 7.3 Eksperimen
  p244/289  SAVED  Bab 7: Kehadiran Mangkin | Kehadiran Mangkin
  p245/289  SAVED  Bab 7: Kehadiran Mangkin | Faktor-faktor yang Mempengaruhi Kadar Tindak Balas
  p246/289  SAVED  Bab 7: Kadar Tindak Balas | Faktor yang Mempengaruhi Kadar Tindak Balas
  p247/289  SAVED  Bab 7: Penyelesaian | Mangkin dalam Tindak Balas
  p248/289  SAVED  Bab 7: Kadar Tindak Balas | Faktor yang Mempengaruhi Kadar Tindak Balas
  p249/289  SAVED  Bab 7: Kadar Tindak Balas | 7.3 Aplikasi Faktor yang Mempengaruhi Kadar Tindak Balas dalam Kehidupan
  p250/289  SAVED  Bab 7: Kadar Tindak Balas | Pembakaran petrol di dalam enjin kereta
  p251/289  SAVED  Bab 7: Pembakaran petrol di dalam enjin kereta | Aplikasi faktor yang mempengaruhi kadar tindak balas
  p252/289  SAVED  Bab 7: Kadar Tindak Balas | 7.4 Teori Perlanggaran
  p253/289  SAVED  Bab 7: Teori Perlanggaran | 7.4 Teori Perlanggaran
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Chemistry, 4, Bab 7: Kadar Tindak Balas, Faktor yang Mempengaruhi Kadar Tindak Balas) already exists.","hint":null,"message":"d
  p254/289  DB-ERR  Bab 7: Kadar Tindak Balas | Kesan Kepekatan dan Tekanan ke atas Kadar Tindak Balas
  p255/289  SAVED  Bab 7: Kadar Tindak Balas | Kesan Suhu ke atas Kadar Tindak Balas
  p256/289  SAVED  Bab 7: Kadar Tindak Balas | Kesan Mangkin ke atas Tenaga Pengaktifan
  p257/289  SAVED  Bab 7: Tindak balas eksotermik dan endotermik | Tindak balas eksotermik dan endotermik
  p258/289  SAVED  Bab 7: Jisim bahan tindak balas | Kadar Tindak Balas dan Faktor yang Mempengaruhinya
  p259/289  SAVED  Bab 7: Kadar Tindak Balas | Penilaian 7
  p260/289  SAVED  Bab 7: Kadar Tindak Balas | Teori Perlanggaran
  p261/289  SKIP  This page is an introductory page with only key terms and learning objectives, no teachable content.
  p262/289  SKIP  Halaman ini hanya mengandungi soalan ulang kaji dan buletin tentang perkembangan industri, tanpa penerangan konsep kimia yang boleh diajar.
  p263/289  SAVED  Bab 8: Aloi dan Kepentingannya | 8.1 Aloi dan Kepentingannya
  p264/289  SAVED  Bab 8: Perbandingan Sifat Aloi dengan Logam Tulen | Perbandingan Sifat Aloi dengan Logam Tulen
  p265/289  SAVED  Bab 8: Perbandingan Sifat Aloi dengan Logam Tulen | 
  p266/289  SAVED  Bab 8: Bahan Buatan dalam Industri | 
  p267/289  SAVED  Bab 8: Aloi | Kewajaran Penggunaan Aloi berdasarkan Komposisi dan Sifat
  p268/289  SAVED  Bab 8: Bahan Buatan dalam Industri | Superkonduktor ditemui
  p269/289  SAVED  Bab 8: Superkonduktor ditemui | 8.2 Komposisi Kaca dan Kegunaannya
  p270/289  SAVED  Bab 8: Bahan Buatan dalam Industri | Kaca
  p271/289  SAVED  Bab 8: Kaca dan Seramik | 8.3 Komposisi Seramik dan Kegunaannya
  p272/289  SAVED  Bab 8: Bahan Buatan dalam Industri | Jenis Seramik
  p273/289  SAVED  Bab 8: Semua seramik mempunyai sifat asas yang sama. Adakah seramik | Seramik Termaju
  p274/289  SAVED  Bab 8: Bahan Buatan dalam Industri | 8.4 Bahan Komposit dan Kepentingannya
  p275/289  SAVED  Bab 8: Bahan Buatan dalam Industri | Bahan Komposit dan Kegunaannya
