Processing: C:\Users\Yong\Downloads\Learnova Malaysia\Form 4\KSSM_2019_DP_DLP_BIOLOGY_FORM_4_PART_2.pdf
Subject: MY-Biology  Form: 4  Pages: 8-191 of 191
  p 39/191  SKIP  Page is a summary and self-reflection, not new teaching content.
  p 40/191  SAVED  Bab 9: Nutrition and the Human Digestive System | 
  p 41/191  SKIP  Page contains only essay and enrichment questions, no teaching content.
  p 42/191  SAVED  Bab 10: Transport in Humans and Animals | 
  p 43/191  SKIP  Page contains only a table of contents for Chapter 10, not teachable content.
  p 44/191  SAVED  Bab 10: Transport | 10.1 The Necessity for Transport Systems in Complex Multicellular Organisms
  p 45/191  SAVED  Bab 10: Sistem Peredaran Darah | Jenis Sistem Peredaran dalam Organisma Multisel
  p 46/191  SAVED  Bab 10: Transport in Humans and Animals | OPEN CIRCULATORY SYSTEM
  p 47/191  SAVED  Bab 1: Introduction to Biology | Closed Circulatory System
  p 48/191  SAVED  Bab 10: Transport in Humans and Animals | 
  p 49/191  SAVED  Bab 10: Circulatory System | 10.2 Circulatory System of Humans
  p 50/191  SAVED  Bab 1: Pengenalan kepada Biologi | Struktur Jantung dan Salur Darah Utama
  p 51/191  SAVED  Bab 10: Human Blood and Circulation | Composition of Human Blood
  p 52/191  SAVED  Bab 10: Transport in Humans and Animals | 10.2.2 Blood Cells and Their Functions
  p 53/191  SAVED  Bab 10: Pengangkutan dalam Manusia dan Haiwan | 10.2.2 Leucocytes (White Blood Cells)
  p 54/191  SAVED  Bab 10: Transport in Humans and Animals | 10.2.3 Human blood vessels
  p 55/191  SAVED  Bab 10: Pengangkutan dalam Manusia | 10.2.3 Perbandingan antara arteri, kapilari dan vena
  p 56/191  SAVED  Bab 10: Pengangkutan dalam Manusia dan Haiwan | 10.3 Mekanisme Denyutan Jantung
  p 57/191  SAVED  Bab 1: Pengangkutan | Pumping of the heart
  p 58/191  SAVED  Bab 10: Transport dalam Haiwan dan Tumbuhan | 10.3 Mekanisme Pengepaman Jantung
  p 59/191  SAVED  Bab 10: Sistem Pengangkutan | Mekanisme Pembekuan Darah
  p 60/191  SAVED  Bab 10: Transport in Humans | Health Issues Related to Blood Clotting
  p 61/191  SAVED  Bab 10: Transport in Humans | Blood Groups of Humans
  p 62/191  SAVED  Bab 1 | 
  p 63/191  SAVED  Bab 10: Sistem Peredaran Manusia | Kesihatan Berkaitan dengan Sistem Peredaran Manusia
  p 64/191  SAVED  Bab 10: Sistem Kardiovaskular | Kesihatan Sistem Kardiovaskular
  p 65/191  SAVED  Bab 10: Human Lymphatic System | Formation of Tissue Fluid
  p 66/191  SAVED  Bab 10: Sistem Peredaran Darah dan Limfa | 10.7.2 dan 10.7.3: Limfa dan Kapilari Limfa
  p 67/191  SAVED  Bab 10: Sistem Limfa | Sistem Limfa dan Hubungannya dengan Sistem Peredaran Darah
  p 68/191  SAVED  Bab 10: Pengangkutan dalam Manusia dan Haiwan | Sistem Limfa
  p 69/191  SAVED  Bab 10: Sistem Limfa | Isu Kesihatan Berkaitan Sistem Limfa Manusia
  p 70/191  SAVED  Bab 1: Transport in Humans and Animals | 
  p 71/191  SAVED  Bab 10: Sistem Peredaran Darah | Self Reflection
  p 72/191  SKIP  Page contains only exercise questions, no new explanatory content.
  p 73/191  SKIP  Page contains only enrichment questions, no new teaching content.
  p 74/191  SKIP  (only 39 words)
  p 75/191  SAVED  Bab 11: Body Defence and Immunity | 11.1 Body Defence
  p 76/191  SAVED  Bab 11: Body Defence | The First Line of Defence
  p 77/191  SAVED  Bab 11: Immunity in Humans | 11.1.2 First Line of Defence
  p 78/191  SAVED  Bab 11: Pertahanan Badan | The Second Line of Defence
  p 79/191  SAVED  Bab 11: Defence and Immunity | Inflammation
  p 80/191  SAVED  Bab 11: Immunity | Actions of Antibodies
  p 81/191  SAVED  Bab 1: Immunity | Types of Immunity
  p 82/191  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Active immunity and passive immunity
  p 83/191  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | PASSIVE IMMUNITY
  p 84/191  SAVED  Bab 11: Human Immunity | Comparison between Artificial Active Immunity and Artificial Passive Immunity
  p 85/191  SAVED  Bab 11: Human Immunity | 11.4 Health Issues Related to Human Immunity: Acquired Immunodeficiency Syndrome (AIDS)
  p 86/191  SAVED  Bab 11: Sistem Imun Manusia | HIV/AIDS dan Pencegahan
  p 87/191  SAVED  Bab 1: Immunity in Humans | 
  p 88/191  SAVED  Bab 11: Immunity in Humans | 
  p 89/191  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | 
  p 90/191  SAVED  Bab 12: Coordination and Response in Humans | 12.1 Coordination and Response
  p 91/191  SKIP  The page contains only learning standards and a list of terms without any explanatory content or worked examples; it is not suitable for a teaching unit.
  p 92/191  SAVED  Bab 12: Coordination and Response | 12.1 Stimulus and Response
  p 93/191  SAVED  Bab 1: Coordination and Response | 
  p 94/191  SAVED  Bab 12: Coordination and Response | Types of Receptors
  p 95/191  SAVED  Bab 12: Coordination and Response | Necessity of response
  p 96/191  SAVED  Bab 12: Nervous System | 12.2 Nervous System
  p 97/191  SAVED  Bab 12: Koordinasi dan Gerak Balas | Otak Manusia
  p 98/191  SAVED  Bab 12: Sistem Saraf Manusia | Spinal cord
  p 99/191  SAVED  Bab 12: Koordinasi Badan | 12.3 Neurones and Synapse
  p100/191  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | 
  p101/191  SAVED  Bab 1: Cell Biology and Organisation | Transmission of impulse across a synapse
  p102/191  SAVED  Bab 12: Koordinasi dan Gerak Balas | Voluntary and Involuntary Actions
  p103/191  SAVED  Bab 12: Coordination and Response | Involuntary Actions Involving Skeletal Muscles: Reflex Action
  p104/191  SAVED  Bab 12: Sistem Saraf Manusia | Refleks dan Arka Refleks
  p105/191  SAVED  Bab 1: Pengenalan kepada Biologi dan Peraturan Makmal | Dwi-neuron Arka Refleks
  p106/191  SAVED  Bab 12: Nervous System | 12.5 Nervous system disease
  p107/191  SAVED  Bab 12: Sistem Saraf Manusia | The effects of drug and alcohol abuse on human coordination and response
  p108/191  SAVED  Bab 12: Koordinasi dan Gerak Balas | 12.5 Kesan Dadah dan Alkohol terhadap Sistem Saraf
  p109/191  SAVED  Bab 12: Coordination and Response | Endocrine System
  p110/191  SAVED  Bab 12: Sistem Endokrin | Kelenjar Pituitari dan Hormonnya
  p111/191  SAVED  Bab 1 | 
  p112/191  SAVED  Bab 12: Sistem Endokrin dan Sistem Saraf | 12.6.4
  p113/191  SAVED  Bab 12: Hormon dan Sistem Endokrin | Perbandingan antara Sistem Saraf dan Sistem Endokrin
  p114/191  SAVED  Bab 12: Sistem Endokrin | 12.7 Health Issues Related to the Human Endocrine System
  p115/191  SAVED  Bab 12: Koordinasi dan Gerak Balas | 12.7.1 Gigantism dan Dwarfism
  p116/191  SAVED  Bab 1: Coordination and Response in Humans | Summary
  p117/191  SKIP  Page contains only self-reflection prompts and practice questions, no new teachable Biology content.
  p118/191  SAVED  Bab 1: Sistem Saraf Manusia | Struktur Neuron dan Sinaps
  p119/191  SKIP  Page contains only essay and enrichment questions, no teachable content.
  p120/191  SKIP  Chapter opener page with only learning objectives, no teachable content.
  p121/191  SKIP  The page contains only learning objectives for the chapter, not teachable biology content.
  p122/191  SAVED  Bab 13: Homeostasis and the Human Urinary System | 13.1 Homeostasis
  p123/191  SAVED  Bab 1 | Regulating body temperature
  p124/191  SAVED  Bab 1 | Regulation of Body Temperature by Effectors through Physical Methods
  p125/191  SAVED  Bab 13: Endokrin dan Homeostasis | Regulation of Blood Sugar Levels
  p126/191  SAVED  Bab 1: Homeostasis and the Human Respiratory System | Regulation of partial pressure of carbon dioxide in the blood
  p127/191  SAVED  Bab 13: Sistem Peredaran Darah | Mekanisme Pengawalan Tekanan Darah
  p128/191  SAVED  Bab 13: Homeostasis and the Human Urinary System | 13.2 Urinary System
  p129/191  SAVED  Bab 13: Sistem Perkumuhan | 13.2.1
  p130/191  SAVED  Bab 13: Sistem Perkumuhan | Struktur Nefron dan Pembentukan Urin
  p131/191  SAVED  Bab 1: Proses dalam Nefron | 
  p132/191  SAVED  Bab 13: Homeostasis and Osmoregulation | Mechanism of homeostasis and osmoregulation
  p133/191  SAVED  Bab 13: Homeostasis and Excretion | 13.2 Urine Production and Osmoregulation
  p134/191  SAVED  Bab 13: Urinary System | Haemodialysis
  p135/191  SAVED  Bab 13: Sistem Urinari | Health Issues Related to the Urinary System
  p136/191  SAVED  Bab 6: Homeostasis and the Human Urinary System | 
  p137/191  SKIP  Page contains only self-reflection and summative practice, no new teachable biology concepts.
  p138/191  SAVED  Bab 1: Perkumuhan dan Pengekalan Homeostasis | 7. Struktur Nefron dan Lengkung Henle
  p139/191  SAVED  Bab 13: Homeostasis and the Human Body | 
  p140/191  SKIP  Page is an introductory chapter opener with no specific teachable concept.
  p141/191  SKIP  Page contains only learning objectives and subtopic headings, no explanatory biology content.
  p142/191  SAVED  Bab 14: Support and Movement in Humans and Animals | Types of Skeletons
  p143/191  SAVED  Bab 14: Musculoskeletal System of Humans | Skeletal system
  p144/191  SAVED  Bab 1 | 14.2.2 Human Vertebral Column
  p145/191  SAVED  Bab 14: Sokongan dan Pergerakan | Struktur Tulang Belakang
  p146/191  SAVED  Bab 14: Movement and Locomotion | Joints
  p147/191  SAVED  Bab 14: Gerakan dan Sokongan | Sendi Boleh Bergerak Bebas
  p148/191  SAVED  Bab 1: Support and Movement in Humans and Animals | Skeletal Muscle, Tendon and Ligament
  p149/191  SAVED  Bab 1: Introduction to Biology | 
  p150/191  SAVED  Bab 1: Mechanism of Locomotion in Animals | Mechanism of locomotion in animals - Fish
  p151/191  SAVED  Bab 14: Sokongan dan Pergerakan | Pergerakan Burung dan Cacing Tanah
  p152/191  SAVED  Bab 1: Support and Locomotion | Locomotion of Earthworm and Grasshopper
  p153/191  SAVED  Bab 14: Sistem Muskuloskeletal dan Pergerakan | 14.4 Health Issues Related to the Human Musculoskeletal System
  p154/191  SAVED  Bab 1 | 
  p155/191  SAVED  Bab 14: Sokongan dan Pergerakan | 14.4.2
  p156/191  SAVED  Bab 14: Sokongan dan Pergerakan | 14.4.2 Menjaga Sistem Muskuloskeletal
  p157/191  SAVED  Bab 1: Support and Movement in Humans and Animals | 
  p158/191  SKIP  Page contains only practice questions, no new teachable content.
  p159/191  SKIP  Page contains only essay and enrichment questions; no new concept explanation or worked example.
  p160/191  SKIP  This is a chapter introduction page with only learning objectives and no specific biological content to teach.
  p161/191  SKIP  Page contains only learning objectives and subtopic headings, no explanatory content.
  p162/191  SAVED  Bab 15: Reproductive System of Humans | Female Reproductive System
  p163/191  SAVED  Bab 15: Reproduction | 15.1 Male Reproductive System
  p164/191  SAVED  Bab 15: Reproduction | 15.2 Gametogenesis
  p165/191  SAVED  Bab 1 | Spermatogenesis
  p166/191  SAVED  Bab 15: Reproduction | Oogenesis
  p167/191  SAVED  Bab 15: Reproduction | 15.2.2 Oogenesis
  p168/191  SAVED  Bab 15: Reproduction | Structure of Sperm and Graafian Follicle
  p169/191  SAVED  Bab 15: Pembiakan | 15.3 Menstrual Cycle
  p170/191  SAVED  Bab 15: Pembiakan | 15.3.1 Kitar Haid
  p171/191  SAVED  Bab 15: Reproduction | Menstrual Cycle
  p172/191  SAVED  Bab 15: Reproduction and Growth | Role of Hormone in Pregnancy and Miscarriage
  p173/191  SAVED  Bab 15: Reproduksi dan Pertumbuhan | 15.4 Development of a Human Foetus
  p174/191  SAVED  Bab 15: Perkembangan Embrio dan Janin | Role of human chorionic gonadotropin (HCG) hormone
  p175/191  SAVED  Bab 15: Reproduction, Growth and Development | Placenta and Foetal-Maternal Blood Circulation
  p176/191  SAVED  Bab 15: Reproduction | Formation of Twins
  p177/191  SAVED  Bab 15: Pembiakan | Jenis-jenis Kembar
  p178/191  SAVED  Bab 15: Human Reproductive System | 15.6 Impotency
  p179/191  SAVED  Bab 15: Growth | 15.7 Growth in organisms
  p180/191  SAVED  Bab 1: Metamorphosis in Insects | Complete and Incomplete Metamorphosis
  p181/191  SAVED  Bab 15: Growth | Growth phases in sigmoid growth curves of humans and animals
  p182/191  SAVED  Bab 15: Growth | Intermittent Growth Curve of Animals with Exoskeletons
  p183/191  SKIP  Page contains only practice questions and a summary concept map; no explanatory content to teach as a unit.
  p184/191  SKIP  Page contains only self-reflection and summative practice questions; no new biology content to teach.
  p185/191  SAVED  Bab 13: Reproduction and Growth | 
  p186/191  SKIP  Page contains only essay and enrichment questions, no explanatory content to structure into a teaching unit.
  p187/191  SKIP  Page is a glossary of terms, not a teaching unit.
  p188/191  SKIP  The page contains a glossary of terms with definitions only, lacking a coherent subtopic or teachable concept.
  p189/191  SKIP  The page is a glossary of biology terms with definitions, not a coherent teaching unit or subtopic.
  p190/191  SKIP  The page contains only a list of references, with no teachable biology content.
  p191/191  SKIP  (only 13 words)
------------------------------------------------------------
DONE: 156 saved, 28 skipped, 0 errors
Backup: C:\Learnova\MY-Biology_F4_results.json
DONE: 156 saved, 28 skipped, 0 errors
