Processing: C:\Users\Yong\Downloads\Learnova Malaysia\Form 4\DLP Additional Mathematics Form 4.pdf
Subject: MY-AddMaths  Form: 4  Pages: 11-324 of 324
  p 32/324  SAVED  Bab 1 | Properties of inverse functions
  p 33/324  SAVED  Bab 1: Functions | Inverse Functions
  p 34/324  SAVED  Bab 1: Functions | Inverse Functions
  p 35/324  SAVED  Bab 1: Functions | Inverse Functions
  p 36/324  SAVED  Bab 1: Fungsi | Fungsi Songsang
  p 37/324  SAVED  Bab 1: Functions | 1.3 Inverse Functions
  p 38/324  SAVED  Bab 1: Functions | Inverse Functions
  p 39/324  SAVED  Bab 1: Functions | 1.3 Inverse Functions
  p 40/324  SAVED  Bab 1: Fungsi | Fungsi Songsang
  p 41/324  SKIP  Page contains only practice exercises and a journal activity; no new concept explanation to structure.
  p 42/324  SAVED  Bab 11: Functions | 
  p 43/324  SAVED  Bab 1: Fungsi | 
  p 44/324  SKIP  Chapter introduction page, no teachable content.
  p 45/324  SKIP  Page contains introductory context and applications of quadratic functions, but no direct teaching content or explanation.
  p 46/324  SAVED  Bab 2: Fungsi Kuadratik | 2.1 Quadratic Equations and Inequalities
  p 47/324  SAVED  Bab 2: Quadratic Functions | Completing the Square Method
  p 48/324  SAVED  Bab 2: Quadratic Functions | 2.1 Solving Quadratic Equations
  p 49/324  SAVED  Bab 11: Quadratic Functions | Forming Quadratic Equations from Given Roots
  p 50/324  SAVED  Bab 2: Fungsi Kuadratik | 2.1.2 Membentuk Persamaan Kuadratik daripada Punca-punca
  p 51/324  SAVED  Bab 2: Fungsi Kuadratik | Menyelesaikan Ketaksamaan Kuadratik
  p 52/324  SAVED  Bab 2: Quadratic Functions | 2.1.3 Solving Quadratic Inequalities
  p 53/324  SAVED  Bab 2: Fungsi Kuadratik | 2.1.3 Ketaksamaan Kuadratik
  p 54/324  SAVED  Bab 2: Quadratic Functions | Solving Quadratic Inequalities
  p 55/324  SAVED  Bab 2: Fungsi Kuadratik | 2.2 Jenis-jenis Punca Persamaan Kuadratik
  p 56/324  SAVED  Bab 2: Fungsi Kuadratik | Jenis-jenis Punca Persamaan Kuadratik
  p 57/324  SAVED  Bab 2: Fungsi Kuadratik | Jenis-jenis Punca Persamaan Kuadratik
  p 58/324  SAVED  Bab 11: f : x ? 2x atau Rajah Anak Panah | Latihan Kendiri 2.5 & Latihan Intensif 2.2
  p 59/324  SAVED  Bab 2: Quadratic Functions | 2.3 Quadratic Functions
  p 60/324  SAVED  Bab 2: Fungsi Kuadratik | Kesan Perubahan Nilai a, b dan c terhadap Graf Fungsi Kuadratik
  p 61/324  SAVED  Bab 11: Quadratic Functions | Relating the position of the graph of a quadratic function and the types of roots
  p 62/324  SAVED  Bab 11: Fungsi Kuadratik | 2.3.2 Hubungan antara Diskriminan dan Kedudukan Graf
  p 63/324  SAVED  Bab 11: Fungsi Kuadratik | Jenis-Jenis Punca Persamaan Kuadratik
  p 64/324  SAVED  Bab 2: Fungsi Kuadratik | Perhubungan antara bentuk verteks dengan bentuk-bentuk lain fungsi kuadratik
  p 65/324  SAVED  Bab 11: Quadratic Functions | 2.3.3 Relation between Vertex Form, General Form, and Intercept Form
  p 66/324  SAVED  Bab 2: Fungsi Kuadratik | Bentuk Pencegahan (Intercept Form) Fungsi Kuadratik
  p 67/324  SAVED  Bab 2: Quadratic Functions | Analysing the effect of change of a, h and k on the shape and position of graph for f(x) = a(x ? h)? + k
  p 68/324  SAVED  Bab 2: Fungsi Kuadratik | Kesan Perubahan Nilai a, h dan k terhadap Graf Fungsi Kuadratik
  p 69/324  SAVED  Bab 2: Quadratic Functions | Effects of Changing a, h and k on the Graph of f(x) = a(x - h)^2 + k
  p 70/324  SAVED  Bab 2: Fungsi Kuadratik | Mentafsir dan Melakar Graf Fungsi Kuadratik
  p 71/324  SAVED  Bab 2: Fungsi Kuadratik | Menyelesaikan masalah fungsi kuadratik
  p 72/324  SAVED  Bab 2: Fungsi Kuadratik | Aplikasi Fungsi Kuadratik
  p 73/324  SKIP  Page contains only practice problems without any new instruction or explanation.
  p 74/324  SKIP  Page contains only practice questions, no explanatory content.
  p 75/324  SKIP  This is a summary/review page of Chapter 2 (Quadratic Functions) and does not introduce new content or a specific teaching concept.
  p 76/324  SKIP  This page contains only practice problems (Mastery Practice) and no new conceptual teaching content.
  p 77/324  SAVED  Bab 1: Fungsi Kuadratik | Penyelesaian Masalah
  p 78/324  SAVED  Bab 3: Sistem Persamaan | Systems of Linear Equations in Three Variables
  p 79/324  SKIP  Chapter introduction page with motivational content, no direct teachable material.
  p 80/324  SAVED  Bab 3: Sistem Persamaan Linear dalam Tiga Pemboleh Ubah | 3.1 Sistem Persamaan Linear dalam Tiga Pemboleh Ubah
  p 81/324  SAVED  Bab 3: Systems of Equations | 3.1.1
  p 82/324  SAVED  Bab 3: Sistem Persamaan Linear | 3.1 Sistem Persamaan Linear dalam Tiga Pemboleh Ubah
  p 83/324  SAVED  Bab 3: Sistem Persamaan | Sistem Persamaan Linear dalam Tiga Pemboleh Ubah
  p 84/324  SAVED  Bab 22: (x ?  )(x ?  ) = 0 Completing the met | Solving Systems of Linear Equations in Three Variables
  p 85/324  SAVED  Bab 3: Sistem Persamaan | 3.1.2 Penyelesaian Sistem Persamaan Linear dalam Tiga Pemboleh Ubah
  p 86/324  SAVED  Bab 3: Sistem Persamaan Linear Tiga Pemboleh Ubah | 3.1.2 Menyelesaikan sistem persamaan linear dalam tiga pemboleh ubah
  p 87/324  SAVED  Bab 3: Sistem Persamaan | Systems of Equations
  p 88/324  SAVED  Bab 3: Sistem Persamaan Linear | Intensive Practice 3.1
  p 89/324  SAVED  Bab 3: Sistem Persamaan | 3.2 Simultanius Persamaan Melibatkan Satu Persamaan Linear dan Satu Persamaan Tak Linear
  p 90/324  SAVED  Bab 7: Sistem Persamaan | Penyelesaian Persamaan Serentak Linear dan Tak Linear
  p 91/324  SAVED  Bab 22: (x ?  )(x ?  ) = 0 Completing the met | Systems of Equations
  p 92/324  SAVED  Bab 3: Sistem Persamaan | Menyelesaikan Persamaan Serentak Secara Graf
  p 93/324  SAVED  Bab 3: Systems of Equations | Solving problems involving simultaneous equations
  p 94/324  SAVED  Bab 3: Sistem Persamaan | Intensive Practice 3.2
  p 95/324  SAVED  Bab 3: Sistem Persamaan | Rumusan Bab
  p 96/324  SAVED  Bab 3: Sistem Persamaan | 
  p 97/324  SAVED  Bab 3: Sistem Persamaan | Menyelesaikan Masalah yang Melibatkan Sistem Persamaan Linear Serentak
  p 98/324  SAVED  Bab 4: Indices, Surds and Logarithms | 
  p 99/324  SKIP  The page contains introductory content with motivational applications and historical notes, but no teachable Add Maths concepts, definitions, or worked examples.
  p100/324  SAVED  Bab 4: Indices | 4.1 Laws of Indices
  p101/324  SAVED  Bab 3: Indices, Surds and Logarithms | Laws of Indices
  p102/324  SAVED  Bab 4: Indeks | Menyelesaikan masalah yang melibatkan indeks
  p103/324  SAVED  Bab 4: Indices, Surds and Logarithms | 
  p104/324  SAVED  Bab 4: Indices, Surds and Logarithms | Solving Exponential Equations
  p105/324  SAVED  Bab 33: Indices, Surds and Logarithms | Solving Equations Involving Indices
  p106/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | 4.2 Laws of Surds
  p107/324  SAVED  Bab 4: Indices, Surds and Logarithms | Surds
  p108/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Surd
  p109/324  SAVED  Bab 4: Indices, Surds and Logarithms | 4.2 Surds
  p110/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | 4.2 Hukum Surd
  p111/324  SAVED  Bab 4: Indices, Surds and Logarithms | 4.2 Surds
  p112/324  SAVED  Bab 3: Indeks, Surd dan Logaritma | Operasi Asas Surd
  p113/324  SAVED  Bab 4: Indices, Surds and Logarithms | Surds
  p114/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Rationalising the denominators for expressions involving surds
  p115/324  SAVED  Bab 4: Indices, Surds and Logarithms | 
  p116/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Menyelesaikan masalah yang melibatkan surd
  p117/324  SAVED  Bab 4: Indices, Surds and Logarithms | Solving Equations Involving Surds
  p118/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Intensive Practice 4.2
  p119/324  SAVED  Bab 4: Indices, Surds and Logarithms | 4.3 Laws of Logarithms
  p120/324  SAVED  Bab 4: Indices, Surds and Logarithms | 
  p121/324  SAVED  Bab 4: Indices, Surds and Logarithms | Logarithms
  p122/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | 4.3.1
  p123/324  SAVED  Bab 4: Indices, Surds and Logarithms | 4.3 Logarithms
  p124/324  SAVED  Bab 4: Indices, Surds dan Logaritma | Hukum-hukum Logaritma
  p125/324  SAVED  Bab 4: Indices, Surds and Logarithms | Hukum Logaritma
  p126/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Hukum Logaritma
  p127/324  SAVED  Bab 33: Indices, Surds and Logarithms | Change of Base of Logarithms
  p128/324  SAVED  Bab 4: Indeks, Surd dan Logaritma | Perubahan Asas Logaritma
  p129/324  SAVED  Bab 4: Indices, Surds and Logarithms | Solving problems involving the laws of logarithms
  p130/324  SAVED  Bab 4: Indices, Surds and Logarithms | Solving Exponential Equations
  p131/324  SKIP  Page 131 contains only practice questions (Intensive Practice 4.3) and word problems; no concept explanation or worked example.
  p132/324  SAVED  Bab 4: Indices, Surds and Logarithms | 4.4 Applications of Indices, Surds and Logarithms
  p133/324  SKIP  Page contains only practice problems and chapter summary; no new concept to teach.
  p134/324  SAVED  Bab 4: Indices, Surds and Logarithms | 
  p135/324  SAVED  Bab 44: Indices, Surds and Logarithms | Menyelesaikan persamaan serentak yang melibatkan indeks dan logaritma
  p136/324  SKIP  Page is a chapter introduction (cover/overview) with no teachable Add Maths content.
  p137/324  SKIP  Page contains introductory material for Chapter 5: Progressions (Gauss story, significance, stadium example), but no specific mathematical concepts, definitions, or formulas to teach. The provided chapter context (Indices, Surds and Logarithms) does not match this page's content.
  p138/324  SAVED  Bab 5: Progressions | 5.1 Arithmetic Progressions
  p139/324  SAVED  Bab 44: INDICES, SURDS AND LOGARITHMS | Arithmetic Progression
  p140/324  SAVED  Bab 4: Indices, Surds and Logarithms | Arithmetic Progressions
  p141/324  SAVED  Bab 5: Progressions | 5.1.2 Arithmetic Progression
  p142/324  SAVED  Bab 44: Indices, Surds and Logarithms | 
  p143/324  SAVED  Bab 5: Progressions | Deriving the formula of sum of the first n terms, Sn, of the arithmetic progression
  p144/324  SAVED  Bab 5: Progressions | Sum of the First n Terms of an Arithmetic Progression
  p145/324  SAVED  Bab 1: Janjang | Hasil Tambah n Sebutan Pertama Janjang Aritmetik
  p146/324  SAVED  Bab 5: Janjang Aritmetik | 5.3 Hasil Tambah Janjang Aritmetik
  p147/324  SAVED  Bab 5: Progressions | 5.1.4 Solving problems involving arithmetic progressions
  p148/324  SAVED  Bab 5: Janjang Aritmetik | 5.1.4 Menyelesaikan Masalah yang Melibatkan Janjang Aritmetik
  p149/324  SAVED  Bab 5: Progressions | 5.2 Geometric Progressions
  p150/324  SAVED  Bab 5: Janjang | Janjang Geometri
  p151/324  SAVED  Bab 5: Progressions | Geometric Progressions
  p152/324  SAVED  Bab 5: Janjang | Janjang Geometri
  p153/324  SAVED  Bab 5: Janjang | 5.2.2 Janjang Geometri
  p154/324  SAVED  Bab 5: Janjang | Hasil Tambah n Sebutan Pertama Janjang Geometri
  p155/324  SAVED  Bab 5: Janjang | 5.2.3 Hasil Tambah n Sebutan Pertama Suatu Janjang Geometri
  p156/324  SAVED  Bab 5: Janjang | 5.2.4 Sum to infinity of geometric progressions
  p157/324  SAVED  Bab 5: Janjang | Hasil Tambah Hingga Ketakterhinggaan Janjang Geometri
  p158/324  SAVED  Bab 5: Janjang Geometri | 5.2.5 Menyelesaikan masalah yang melibatkan janjang geometri
  p159/324  SAVED  Bab 5: Janjang | Janjang Geometri
  p160/324  SAVED  Bab 5: Progressions | 
  p161/324  SAVED  Bab 5: Progressions | Geometric Progressions
  p162/324  SKIP  Chapter opener page with learning standards and keywords, no content for a teaching unit.
  p163/324  SKIP  The page contains introductory content (Fibonacci, Golden Ratio, string art) and a brief note on linear law but no concrete teachable mathematics concept, definition, or worked example.
  p164/324  SAVED  Bab 6: Hukum Linear | 6.1 Linear and Non-Linear Relations
  p165/324  SAVED  Bab 6: Linear Law | 6.1 Linear and Non-Linear Relations
  p166/324  SAVED  Bab 6: Hukum Linear | 6.1.2 Melukis Garis Lurus Penyuaian Terbaik
  p167/324  SAVED  Bab 55: nth term, PROGRESSIONS | Linear Law
  p168/324  SAVED  Bab 6: Hukum Linear | Garis Lurus Penyuaian Terbaik
  p169/324  SAVED  Bab 6: Hukum Linear | 6.1.4 Mentafsir maklumat berdasarkan garis lurus penyuaian terbaik
  p170/324  SAVED  Bab 6: Hukum Linear | Mentafsir Graf Garis Lurus
  p171/324  SKIP  Page contains only practice questions (Intensive Practice 6.1) with no concept explanation or worked example.
  p172/324  SAVED  Bab 6: Linear Law | 6.2 Linear Law and Non-Linear Relations
  p173/324  SAVED  Bab 55: nth term, PROGRESSIONS | Linear Law
  p174/324  SAVED  Bab 55: Progressions | 
  p175/324  SAVED  Bab 6: Linear Law | Linear Law
  p176/324  SAVED  Bab 6: Linear Law | 6.3 Application of Linear Law
  p177/324  SAVED  Bab 6: Linear Law | 6.3 Application of Linear Law
  p178/324  SAVED  Bab 6: Hukum Linear | Aplikasi Hukum Linear
  p179/324  SAVED  Bab 6: Linear Law | Applications of Linear Law
  p180/324  SAVED  Bab 6: Hukum Linear | 
  p181/324  SAVED  Bab 6: Hukum Linear | 
  p182/324  SKIP  Page contains only practice problems (7-10) without concept explanation or worked examples. Not suitable for a teaching unit.
  p183/324  SAVED  Bab 6: Hukum Linear | Menyelesaikan Masalah Hukum Linear
  p184/324  SKIP  Page is chapter introduction with no teachable content (list of topics and keywords only).
  p185/324  SKIP  Chapter intro page with no mathematical content.
  p186/324  SAVED  Bab 7: Geometri Koordinat | 7.1 Divisor of a Line Segment
  p187/324  SAVED  Bab 6: Coordinate Geometry | Division of Line Segments in a Given Ratio
  p188/324  SAVED  Bab 6: Geometri Koordinat | Pembahagian Tembereng Garis pada Satah Cartes
  p189/324  SAVED  Bab 6: Geometri Koordinat | Pembahagian Tembereng Garis
  p190/324  SAVED  Bab 7: Geometri Koordinat | Divisor of a Line Segment
  p191/324  SAVED  Bab 7: Geometri Koordinat | Pembahagian Tembereng Garis
  p192/324  SAVED  Bab 7: Geometri Koordinat | Pembahagian Tembereng Garis
  p193/324  SAVED  Bab 7: Coordinate Geometry | 7.1 Division of a Line Segment
  p194/324  SAVED  Bab 7: Geometri Koordinat | 7.2 Parallel Lines and Perpendicular Lines
  p195/324  SAVED  Bab 7: Coordinate Geometry | Gradient of a Straight Line
  p196/324  SAVED  Bab 6: Garis Lurus | Syarat Garis Lurus Selari dan Serenjang
  p197/324  SAVED  Bab 7: Geometri Koordinat | Garis Serenjang
  p198/324  SAVED  Bab 7: Geometri Koordinat | Solving problems involving equations of parallel and perpendicular lines
  p199/324  SAVED  Bab 7: Coordinate Geometry | 
  p200/324  SAVED  Bab 7: Geometri Koordinat | 7.2.2 Garis Serenjang dan Tangen
  p201/324  SAVED  Bab 6: Geometri Koordinat | 7. Garis Lurus dan Pembahagi Dua Serenjang
  p202/324  SAVED  Bab 7: Geometri Koordinat | 7.3 Areas of Polygons
  p203/324  SAVED  Bab 6: Coordinate Geometry | Area of Triangles
  p204/324  SAVED  Bab 6: Geometri Koordinat | 
  p205/324  SAVED  Bab 7: Koordinat Geometri | Menentukan luas segi empat menggunakan formula
  p206/324  SAVED  Bab 7: Geometri Koordinat | 7.3 Luas Poligon
  p207/324  SAVED  Bab 7: Coordinate Geometry | 
  p208/324  SAVED  Bab 7: Geometri Koordinat | 7.3 Luas Poligon
  p209/324  SAVED  Bab 7: Coordinate Geometry | Intensive Practice 7.3
  p210/324  SAVED  Bab 7: Geometri Koordinat | 7.4 Persamaan Lokus
  p211/324  SAVED  Bab 7: Geometri Koordinat | Lokus
  p212/324  SAVED  Bab 6: Geometri Koordinat | Locus of a Moving Point
  p213/324  SAVED  Bab 7: Geometri Koordinat | 7.4 Persamaan Lokus
  p214/324  SAVED  Bab 7: Geometri Koordinat | 7.3 Persamaan Lokus
  p215/324  SAVED  Bab 7: Koordinat Geometri | Intensive Practice 7.4 - Lokus
  p216/324  SAVED  Bab 7: Divisor of line segment | Summary
  p217/324  SAVED  Bab 7: Koordinat Geometri | Pembahagian Tembereng Garis
  p218/324  SKIP  Page contains only practice problems without explanatory content; not suitable for teaching unit.
  p219/324  SAVED  Bab 7: Geometri Koordinat | Pembahagi Tembereng Garis
  p220/324  SKIP  Introductory page with chapter overview and keywords, no teachable content or concept explanation.
  p221/324  SKIP  Introductory page with general discussion about vectors; no definitions, formulas, or examples.
  p222/324  SAVED  Bab 8: Vektor | 8.1 Vectors
  p223/324  SAVED  Bab 8: Vektor | 8.1.1 Kuantiti Skalar dan Vektor
  p224/324  SAVED  Bab 8: Vektor | Vector and Scalar Quantities
  p225/324  SAVED  Bab 8: Vektor | 8.1.2 Membanding dan Membezakan Vektor
  p226/324  SAVED  Bab 8: Vectors | 
  p227/324  SAVED  Bab 8: Vektor | 8.1.3 Scalar Multiplication
  p228/324  SAVED  Bab 8: Vektor | Multiplication of Vector by Scalar
  p229/324  SAVED  Bab 8: Vektor | 8.1.4 Vektor Selari dan Titik Segaris
  p230/324  SAVED  Bab 8: Vektor | 8.1.4 Vektor Selari dan Titik Tiga Segaris
  p231/324  SAVED  Bab 8: Vectors | 8.2 Addition and Subtraction of Vectors
  p232/324  SAVED  Bab 8: Vektor | Penambahan dan Penolakan Vektor Tidak Selari
  p233/324  SAVED  Bab 8: Vectors | Vector Addition and Subtraction
  p234/324  SAVED  Bab 8: Vektor | Menyelesaikan masalah yang melibatkan vektor
  p235/324  SAVED  Bab 8: Vektor | Collinear Points
  p236/324  SAVED  Bab 8: Vektor | Intensive Practice 8.2
  p237/324  SAVED  Bab 8: Vectors | 8.3 Vectors in Cartesian Plane
  p238/324  SAVED  Bab 8: Vektor | Perwakilan Vektor
  p239/324  SAVED  Bab 8: Vectors | 8.3.1 Vector Representation and Magnitude
  p240/324  SAVED  Bab 8: Vektor | Describing and determining the unit vector in a direction of a vector
  p241/324  SAVED  Bab 8: Vektor | Vektor Unit
  p242/324  SAVED  Bab 8: Vektor | Performing arithmetic operations on two or more vectors
  p243/324  SAVED  Bab 8: Vectors | Multiplication of vector with scalar and Combination of arithmetic operations on vectors
  p244/324  SAVED  Bab 8: Vektor | Menyelesaikan masalah yang melibatkan vektor
  p245/324  SAVED  Bab 8: Vektor | Vectors
  p246/324  SAVED  Bab 8: Vektor | Rumus dan Ringkasan
  p247/324  SKIP  Page contains only practice problems, no new teaching content.
  p248/324  SKIP  Page contains only practice problems with no explanatory content.
  p249/324  SAVED  Bab 8: Vektor | 8.2 Penambahan dan Penolakan Vektor
  p250/324  SKIP  Chapter opener page with list of learning standards and keywords only, no instructional content.
  p251/324  SKIP  Chapter introduction page, no specific concept or worked example.
  p252/324  SAVED  Bab 9: Solution of Triangles | Sine Rule
  p253/324  SAVED  Bab 9: Solution of Triangles | Sine Rule
  p254/324  SAVED  Bab 9: Solution of Triangles | Sine Rule
  p255/324  SAVED  Bab 9: Solution of Triangles | 
  p256/324  SAVED  Bab 9: Solution of Triangles | Determining the existence and solving triangles involving ambiguous cases
  p257/324  SAVED  Bab 9: Solution of Triangles | Ambiguous Case of the Law of Sines
  p258/324  SAVED  Bab 9: Penyelesaian Segitiga | 
  p259/324  SAVED  Bab 9: Solution of Triangles | Sine Rule and Ambiguous Case
  p260/324  SAVED  Bab 9: Solution of Triangles | Application of Sine Rule and Cosine Rule
  p261/324  SAVED  Bab 9: Solution of Triangles | 9.2 Cosine Rule
  p262/324  SAVED  Bab 9: Solution of Triangles | Cosine Rule
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-AddMaths, 4, Bab 9: Solution of Triangles, Cosine Rule) already exists.","hint":null,"message":"duplicate key value violates un
  p263/324  DB-ERR  Bab 9: Solution of Triangles | 9.2.2 Cosine Rule
  p264/324  SAVED  Bab 2: Hukum Kosinus | 9.2.3 Menyelesaikan masalah yang melibatkan hukum kosinus
  p265/324  SAVED  Bab 9: Solution of Triangles | Application of Cosine Rule
  p266/324  SAVED  Bab 9: Solution of Triangles | 9.3 Area of a Triangle
  p267/324  SAVED  Bab 9: Solution of Triangles | Area of a Triangle
  p268/324  SAVED  Bab 9: Solution of Triangles | Area of Triangle
  p269/324  SAVED  Bab 9: Solution of Triangles | Determining the area of a triangle using Heron?s formula
  p270/324  SAVED  Bab 9: Penyelesaian Segi Tiga | Luas Segi Tiga
  p271/324  SAVED  Bab 9: Solution of Triangles | Solving problems involving areas of triangles
  p272/324  SKIP  Page contains only practice problems, no new teaching content.
  p273/324  SAVED  Bab 9: Solution of Triangles | 9.4 Application of Sine Rule, Cosine Rule and Area of a Triangle
  p274/324  SAVED  Bab 5: Trigonometri | 9.4.1 Aplikasi Trigonometri dalam Tiga Matra
  p275/324  SAVED  Bab 5: Solution of Triangles | 
  p276/324  SAVED  Bab 9: Solution of Triangles | Summary of Chapter 9
  p277/324  SKIP  Page contains only exercises and journal prompts, no new concept explanation.
  p278/324  SKIP  Page contains only exercise problems; no new concepts or explanations to structure into a teaching unit.
  p279/324  SKIP  Page contains only exercise problems and an exploratory activity, but no direct concept explanation or worked example for a new topic.
  p280/324  SKIP  Chapter introduction page with learning standards and key vocabulary, no core content to teach.
  p281/324  SKIP  Page content is about Index Numbers (Chapter 10), not relevant to Chapter 9: Solution of Triangles. No teachable content for the current chapter.
  p282/324  SAVED  Bab 10: Index Numbers | 10.1.1 Defining and Describing Index Numbers
  p283/324  SAVED  Bab 99: Solution of Triangles | Index Numbers
  p284/324  SAVED  Bab 10: Index Numbers | Index Numbers
  p285/324  SAVED  Bab 10: Index Numbers | Index Numbers
  p286/324  SAVED  Bab 10: Index Numbers | Problem solving involving index numbers
  p287/324  SAVED  Bab 10: Index Numbers | Chain Base Index
  p288/324  SAVED  Bab 10: Nombor Indeks | Indeks Harga
  p289/324  SAVED  Bab 10: Index Numbers | 10.2 Composite Index
  p290/324  SAVED  Bab 10: Nombor Indeks | Indeks Gubahan
  p291/324  SAVED  Bab 10: Index Numbers | Composite Index
  p292/324  SAVED  Bab 10: Nombor Indeks | 10.2.2 Indeks Gubahan
  p293/324  SAVED  Bab 10: Nombor Indeks | Indeks Gubahan
  p294/324  SAVED  Bab 10: Index Numbers | Composite Index
  p295/324  SAVED  Bab 10: Index Numbers | Mastery Practice
  p296/324  SKIP  The page contains only exercise problems, no concept explanations or definitions.
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-AddMaths, 4, Bab 10: Index Numbers, Index Numbers and Composite Index) already exists.","hint":null,"message":"duplicate key va
  p297/324  DB-ERR  Bab 10: Index Numbers | Composite Index and Problem Solving
  p298/324  SKIP  The page contains only answer keys for exercises with no new concepts, explanations, or worked examples.
  p299/324  SKIP  Page contains only answers to exercises, no explanatory content for a teaching unit.
  p300/324  SKIP  Page contains only answers to exercises, no teachable content.
  p301/324  SKIP  Page contains only answer keys and practice solutions, no teaching content.
  p302/324  SAVED  Bab 2: Quadratic Functions | 
  p303/324  SAVED  Bab 2: QUADRATIC FUNCTIONS | Self Practice 2.10
  p304/324  SKIP  Page contains only answer keys and exercise items with no explanatory content or teachable material.
  p305/324  SKIP  Page contains exercise answers and practice problems, not a teaching unit.
  p306/324  SKIP  Page contains only exercise answers and problem numbers, no teachable content.
  p307/324  SKIP  Page contains only answer keys and practice solutions, no instructional content.
  p308/324  SKIP  Page contains only answers to exercises, no explanatory content.
  p309/324  SKIP  Page contains only answers to practice exercises, no new teaching content.
  p310/324  SKIP  Page contains only answer snippets for practice exercises, no teachable content.
  p311/324  SKIP  Page contains exercise solutions and answers, not a teaching explanation.
  p312/324  SKIP  页面仅为练习题答案和图表标识，未提供新的教学概念或解释。
  p313/324  SKIP  Page contains only exercise answers, no teaching content.
  p314/324  SKIP  Page contains only answers to exercise questions from Chapter 7 (Geometry Coordinate), no new conceptual content or explanations.
  p315/324  SKIP  Page contains answers to mastery practice and self-practice exercises, not teachable concept explanations.
  p316/324  SKIP  Page contains only answers to exercises, no teaching content.
  p317/324  SKIP  Page contains only answers to exercises, no teachable content.
  p318/324  SKIP  Page contains only answers to practice exercises, no new teaching content.
  p319/324  SKIP  Page is a glossary of multiple terms, not a focused teaching unit.
  p320/324  SKIP  Page is a glossary of terms from multiple chapters, not teachable content for Chapter 10: Index Numbers.
  p321/324  SKIP  Page contains only a bibliography/reference list, no teachable content.
  p322/324  SKIP  Page is an index/glossary of terms and page numbers, not teachable content.
  p323/324  SKIP  Page contains only a school book loan form and a lone answer number, no teachable Add Maths content.
  p324/324  SKIP  (only 4 words)
------------------------------------------------------------
DONE: 251 saved, 59 skipped, 4 errors
Backup: C:\Learnova\MY-AddMaths_F4_results.json
DONE: 251 saved, 59 skipped, 4 errors
