Processing: C:\Users\Yong\Downloads\Learnova Malaysia\Form 4\KSSM_2019_DP_DLP_BIOLOGY_FORM_4_PART_1.pdf
Subject: MY-Biology  Form: 4  Pages: 8-130 of 130
  p 31/130  SAVED  Bab 2: Cell Biology and Organisation | Cell Organelles (Lysosome, Nucleus, Ribosome, Endoplasmic Reticulum)
  p 32/130  SAVED  Bab 1: Introduction to Biology and Cell Organization | Structure and Function of Organelles in Plant Cells
  p 33/130  SAVED  Bab 2: Cell Biology and Organisation | Compare and contrast the components of animal cells and plant cells
  p 34/130  SAVED  Bab 1: Introduction to Biology | 2.2 Living Processes in Unicellular Organisms
  p 35/130  SAVED  Bab 2: Cell Biology and Organisation | Excretion and Reproduction in Amoeba sp. and Paramecium sp.
  p 36/130  SAVED  Bab 1 | Specialised Cells in Humans and Plants
  p 37/130  SAVED  Bab 2: Cell Biology and Organisation | Cell Specialisation in Plants
  p 38/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Cell organisation in humans
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Biology, 4, Bab 2: Biologi Sel dan Organisasi Sel, Tisu Otot dan Tisu Saraf) already exists.","hint":null,"message":"duplicate 
  p 39/130  DB-ERR  Bab 2: Biologi Sel dan Organisasi Sel | 2.3 Tisu Haiwan
  p 40/130  SAVED  Bab 2: Cell Biology and Organisation | Connective Tissue
  p 41/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Tissue organisation in plants
  p 42/130  SAVED  Bab 1: Cell Biology and Cell Organisation | Specialised Cell Functions and Organelle Density
  p 43/130  SAVED  Bab 1: Pengenalan kepada Biologi dan Peraturan Makmal | 2.3 Komponen Sel
  p 44/130  SAVED  Bab 1: Introduction to Biology | Organ Systems in the Human Body
  p 45/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Organisation of Cells in Multicellular Organisms
  p 46/130  SAVED  Bab 1: Cell Biology and Organisation | Plant Systems: Shoot and Root Systems
  p 47/130  SKIP  Page contains self-reflection checklist and practice questions, not new teaching content.
  p 48/130  SKIP  The page contains only review questions, not explanatory teaching content.
  p 49/130  SKIP  Page contains only practice questions and no explanatory content for a teaching unit.
  p 50/130  SKIP  Page is a chapter opener with guiding questions only, no concept explanation.
  p 51/130  SKIP  The page contains only learning objectives and subtopic headings, no actual biological content to teach.
  p 52/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | Structure of Plasma Membrane
  p 53/130  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | Struktur Membran Plasma
  p 54/130  SAVED  Bab 3: Movement of Substances Across Plasma Membrane | Permeability of a plasma membrane
  p 55/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.2 Concept of Movement of Substances Across a Plasma Membrane
  p 56/130  SAVED  Bab 1: Introduction to Biology and Laboratory Rules | Studying the movement of substances across a selectively permeable membrane
  p 57/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 
  p 58/130  SAVED  Bab 1 | 
  p 59/130  SAVED  Bab 3: Movement of Substances Across Plasma Membrane | 3.2 Passive Transport
  p 60/130  SAVED  Bab 1: Transport Across Plasma Membrane | Facilitated Diffusion and Active Transport
  p 61/130  SAVED  Bab 1: Active Transport | Sodium-Potassium Pump
  p 62/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.2
  p 63/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.3 Active and Passive Transport in Living Organisms
  p 64/130  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | Isotonic, hypotonic and hypertonic solutions
  p 65/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | Effects of Solutions on Animal Cells
  p 66/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | Effects of Hypotonic, Hypertonic, and Isotonic Solutions on Plant Cells
  p 67/130  SAVED  Bab 1: Biodiversity | 2.13.3 Studying the effects of hypotonic, hypertonic and isotonic solutions on animal cells
  p 68/130  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | Kesan Larutan Hipotonik, Hipertonik dan Isotonic terhadap Sel Tumbuhan
  p 69/130  SAVED  Bab 1: Cell Biology and Organisation | Activity 2.1 3.5: Determining Isotonic Concentration
  p 70/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.4 Osmosis
  p 71/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.4 Movement of Substances Across a Plasma Membrane and Its Application in Daily Life
  p 72/130  SAVED  Bab 1: Pengangkutan Merentas Membran Plasma | Aplikasi Konsep Pergerakan Bahan Merentas Membran Plasma dalam Kehidupan Harian
  p 73/130  SAVED  Bab 1: Movement of Substances Across a Plasma Membrane | Summary
  p 74/130  SKIP  This page contains only summative practice questions, no new teachable content.
  p 75/130  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | Essay Questions on Transport Mechanisms
  p 76/130  SAVED  Bab 4: Chemical Composition in a Cell | 
  p 77/130  SKIP  Page contains only a syllabus outline, no detailed content.
  p 78/130  SAVED  Bab 4: Chemical Composition of a Cell | 4.1 Properties of water and its importance in a cell
  p 79/130  SAVED  Bab 4: Chemical Composition of the Cell | 4.2 Carbohydrates
  p 80/130  SAVED  Bab 4: Chemical Composition of Cells | Disaccharides
  p 81/130  SAVED  Bab 4: Chemical Composition in Cells | Polysaccharides
  p 82/130  SAVED  Bab 4: Komposisi Kimia dalam Sel | 4.3 Protein
  p 83/130  SAVED  Bab 4: Komposisi Kimia Sel | 4.4 Lipids
  p 84/130  SAVED  Bab 10: Nutrisi | Lemak
  p 85/130  SAVED  Bab 4: Nucleic Acids | 4.5 Nucleic Acids
  p 86/130  SAVED  Bab 4: Komposisi Kimia dalam Sel | Ribonucleic acid (RNA)
  p 87/130  SAVED  Bab 4: Chemical Composition of a Cell | 4.5 Nucleic Acids
  p 88/130  SAVED  Bab 4: Chemical Composition of the Cell | 
  p 89/130  SAVED  Bab 4: Chemical Composition of the Cell | Lipids
  p 90/130  SKIP  Page contains only chapter title and guiding questions, no teachable biology content.
  p 91/130  SKIP  The page contains only a list of learning objectives and standards, no explanatory biology content to teach.
  p 92/130  SAVED  Bab 5: Metabolisme dan Enzim | 5.1 Metabolism
  p 93/130  SAVED  Bab 5: Metabolisme dan Enzim | Enzyme nomenclature
  p 94/130  SAVED  Bab 5: Metabolisme dan Enzim | Enzim Intrasel dan Ekstrasel
  p 95/130  SAVED  Bab 5: Metabolism and Enzymes | Mechanism of enzyme action
  p 96/130  SAVED  Bab 5: Metabolisme dan Enzim | Faktor yang Mempengaruhi Tindakan Enzim
  p 97/130  SAVED  Bab 5: Enzim | Faktor-faktor yang Mempengaruhi Aktiviti Enzim
  p 98/130  SAVED  Bab 10: Enzim | Faktor yang Mempengaruhi Aktiviti Enzim - Suhu
  p 99/130  SAVED  Bab 5: Metabolisme dan Enzim | Effect of pH on Pepsin Enzyme Activity
  p100/130  SAVED  Bab 5: Metabolisme dan Enzim | 5.2.9 Faktor pH terhadap aktiviti enzim
  p101/130  SAVED  Bab 5: Enzim | 5.3 Aplikasi Enzim dalam Kehidupan Harian
  p102/130  SKIP  This page is a summary and self-reflection section with no new teachable biology content.
  p103/130  SKIP  Page contains only summative practice questions, no new teaching content.
  p104/130  SKIP  (only 31 words)
  p105/130  SKIP  This page contains only learning objectives and subtopic headings, not actual explanatory biology content.
  p106/130  SAVED  Bab 6: Cell Division | Cell Division
  p107/130  SAVED  Bab 6: Cell Division | Cell Cycle and Mitosis
  p108/130  SAVED  Bab 6: Pembahagian Sel | Mitosis
  p109/130  SAVED  Bab 10: Cell Division | Mitosis - Metaphase, Anaphase, Telophase
  p110/130  SAVED  Bab 6: Pembahagian Sel | Sitokinesis dalam Sel Haiwan dan Tumbuhan
  p111/130  SAVED  Bab 6: Cell Division | 6.3 Meiosis
  p112/130  SAVED  Bab 10: Meiosis | 6.6 Meiosis
  p113/130  SAVED  Bab 6: Pembahagian Sel | 6.3 Meiosis
  p114/130  SAVED  Bab 6: Pembahagian Sel | 6.4 Isu Pembahagian Sel terhadap Kesihatan Manusia
  p115/130  SAVED  Bab 6: Bahagian Sel | Kesan Kegagalan Meiosis
  p116/130  SAVED  Bab 10: Cell Division | 
  p117/130  SKIP  Page contains only summative practice questions, no teachable biology content.
  p118/130  SAVED  Bab 7: Cellular Respiration | 
  p119/130  SAVED  Bab 10: Cellular Respiration | 
  p120/130  SAVED  Bab 7: Respirasi Sel | 7.1 Penghasilan Tenaga melalui Respirasi Sel
  p121/130  SAVED  Bab 7: Respirasi | Respirasi Aerob
  p122/130  SAVED  Bab 7: Respiration | 7.1 Aerobic Respiration
  p123/130  SAVED  Bab 7: Cellular Respiration | 7.2 Aerobic Respiration
  p124/130  SAVED  Bab 7: Respirasi Sel | Fermentation
  p125/130  SAVED  Bab 7: Respiration | Lactic Acid Fermentation
  p126/130  SAVED  Bab 7: Respiration | Fermentation
  p127/130  SAVED  Bab 7: Respirasi | Perbandingan antara Respirasi Aerob dan Fermentasi
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Biology, 4, Bab 10: Cellular Respiration, Cellular Respiration Overview) already exists.","hint":null,"message":"duplicate key 
  p128/130  DB-ERR  Bab 10: Cellular Respiration | Summary
  p129/130  SKIP  Page contains only practice questions, no new teaching content.
  p130/130  SAVED  Bab 10: Respirasi | Soalan Esei dan Pengayaan
------------------------------------------------------------
DONE: 100 saved, 21 skipped, 2 errors
Backup: C:\Learnova\MY-Biology_F4_results.json
DONE: 100 saved, 21 skipped, 2 errors
