Processing: C:\learnova_app\textbooks\F5 Maths.pdf
Subject: MY-Mathematics  Form: 5  Pages: 11-276 of 276
  p 76/276  SAVED  Bab 2: Matriks | 
  p 77/276  SAVED  Bab 2: Matriks | Arena Rumusan
  p 78/276  SAVED  Bab 2: Matriks | 
  p 79/276  SAVED  Bab 2: Matriks | 
  p 80/276  SAVED  Bab 14: Matriks | Penyelesaian Persamaan Linear Serentak dengan Kaedah Matriks
  p 81/276  SAVED  Bab 2: Matriks | 
  p 82/276  SKIP  Chapter opener page with no teachable mathematical content; only introduction and glossary.
  p 83/276  SKIP  The page contains only introductory text about insurance and disasters, with no mathematical content or teachable concepts.
  p 84/276  SAVED  Bab 3: Risiko dan Perlindungan Insurans | Apakah maksud risiko dan kepentingan perlindungan insurans?
  p 85/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p 86/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Insurans hayat dan insurans am
  p 87/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Insurans Motor
  p 88/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p 89/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Insurans Berkelompok
  p 90/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Mengkaji, mentafsir dan membuat pengiraan yang melibatkan kadar dan premium insurans
  p 91/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Pengiraan Premium Insurans Hayat
  p 92/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Bagaimanakah mengira premium bagi insurans motor?
  p 93/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Premium Motor
  p 94/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Pengiraan Premium Insurans Motor dan NCD
  p 95/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Menyelesaikan masalah yang melibatkan insurans termasuk deduktibel dan ko-insurans
  p 96/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p 97/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Ko-insurans dalam Insurans Harta
  p 98/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p 99/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p100/276  SAVED  Bab 3: Matematik Pengguna: Insurans | Arena Rumusan
  p101/276  SKIP  Page contains only chapter introduction, learning objectives, a mini project description, and two conceptual questions. No specific mathematical content, worked examples, or explanations to structure into a teaching unit.
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 3: Matematik Pengguna: Insurans, Pengiraan Premium Insurans Hayat) already exists.","hint":null,"message":"
  p102/276  DB-ERR  Bab 3: Matematik Pengguna: Insurans | Pengiraan Premium Insurans Hayat
  p103/276  SAVED  Bab 3: Matematik Pengguna: Insurans | 
  p104/276  SKIP  This is an introductory page for Bab 4: Percukaian, with only objectives, a historical note, and a glossary. No teachable mathematics content or worked examples.
  p105/276  SKIP  This page is an introductory overview about taxation with no mathematical concepts, formulas, or exercises.
  p106/276  SAVED  Bab 4: Percukaian | 4.1 Percukaian
  p107/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Tujuan Percukaian
  p108/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Keperluan dan Tujuan Percukaian
  p109/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Apakah jenis-jenis cukai dan kesan pengelakan cukai tersebut dari aspek perundangan dan kewangan?
  p110/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Cukai Jalan
  p111/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Cukai Pintu dan Cukai Tanah
  p112/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Cukai Jualan dan Perkhidmatan
  p113/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Kesan Pengelakan Cukai
  p114/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Mengira Cukai Pendapatan
  p115/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Pelepasan Cukai
  p116/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Rebat Cukai
  p117/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | 
  p118/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Perbandingan PCB dan Cukai Pendapatan
  p119/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Taksiran Cukai Bersama dan Taksiran Cukai Berasingan
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 4: Matematik Pengguna: Percukaian, Taksiran Cukai Bersama vs Berasingan) already exists.","hint":null,"mess
  p120/276  DB-ERR  Bab 4: Matematik Pengguna: Percukaian | Cukai Pendapatan
  p121/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Mengira Cukai Jalan
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 4: Matematik Pengguna: Percukaian, Cukai Pintu dan Cukai Tanah) already exists.","hint":null,"message":"dup
  p122/276  DB-ERR  Bab 4: Matematik Pengguna: Percukaian | Cukai Pintu dan Cukai Tanah
  p123/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Cukai Jualan dan Perkhidmatan
  p124/276  SAVED  Bab 4: Percukaian | 
  p125/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Menyelesaikan masalah yang melibatkan percukaian
  p126/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | 
  p127/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | 
  p128/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | Latih Kendiri 4.1d
  p129/276  SKIP  Page contains chapter introduction, learning objectives, a mini project description, and pre-assessment questions, but no teachable mathematical content.
  p130/276  SAVED  Bab 10: Cukai | MASTERI
  p131/276  SAVED  Bab 4: Matematik Pengguna: Percukaian | 
  p132/276  SKIP  Page is an introductory overview for Bab 5, containing only learning objectives, real-life application, historical note, and glossary terms. No teachable mathematical content (definitions, theorems, examples) is present.
  p133/276  SKIP  Page content is about congruence of a bridge, unrelated to the chapter on taxation. No coherent teaching unit for Form 5 Matematik Pengguna: Percukaian.
  p134/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 5.1 Kekongruenan
  p135/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Kekongruenan
  p136/276  SAVED  Bab 5: Kekongruenan | 5.1 Kekongruenan
  p137/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Kekongruenan Segi Tiga
  p138/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Sifat Kekongruenan Segi Tiga
  p139/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Kekongruenan Segi Tiga
  p140/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Kekongruenan Segi Tiga
  p141/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Menyelesaikan masalah yang melibatkan kekongruenan
  p142/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 
  p143/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 5.2 Pembesaran
  p144/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Keserupaan Objek Geometri
  p145/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Keserupaan
  p146/276  SAVED  Bab 5: Keserupaan | Keserupaan Objek Geometri
  p147/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Apakah hubungan antara keserupaan dengan pembesaran dan bagaimanakah memerihalkan pembesaran?
  p148/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Pembesaran
  p149/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Pembesaran
  p150/276  SAVED  Bab 4: Transformasi | Pembesaran
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi, Pembesaran dan Faktor Skala) already exists.","hint"
  p151/276  DB-ERR  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Pembesaran
  p152/276  SAVED  Bab 2: Transformasi | Pembesaran
  p153/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 
  p154/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 
  p155/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Hubungan antara Luas Imej dengan Luas Objek bagi Suatu Pembesaran
  p156/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Luas Imej bagi Pembesaran
  p157/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Pembesaran
  p158/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Pembesaran
  p159/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 5.3 Gabungan Transformasi
  p160/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p161/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p162/276  SAVED  Bab 1: Transformasi | Gabungan Transformasi
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi, Gabungan Transformasi: Imej dan Objek) already exist
  p163/276  DB-ERR  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p164/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 5.3 Gabungan Transformasi
  p165/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Sifat Kalis Tukar Tertib terhadap Gabungan Transformasi
  p166/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Sifat Kalis Tukar Tertib bagi Gabungan Transformasi
  p167/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Bagaimanakah memerihalkan gabungan transformasi?
  p168/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p169/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Menyelesaikan masalah yang melibatkan gabungan transformasi
  p170/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p171/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 5.4 Teselasi
  p172/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Teselasi
  p173/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Mereka bentuk teselasi
  p174/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Teselasi
  p175/276  SKIP  This page contains a project activity (Escher tessellation) with step-by-step instructions, not a direct lesson on a specific mathematical concept. No concept explanation, worked example, or common mistakes are provided.
  p176/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | 
  p177/276  SKIP  Page contains only learning objectives and a mini project description; no teachable mathematics content such as definitions, theorems, or examples.
  p178/276  SAVED  Bab 4: Kekongruenan, Pembesaran dan Gabungan Transformasi | Kekongruenan dan Pembesaran
  p179/276  SAVED  Bab 5: Kekongruenan, Pembesaran dan Gabungan Transformasi | Gabungan Transformasi
  p180/276  SAVED  Bab 11: Transformasi | Pembesaran
  p181/276  SKIP  Halaman ini adalah aktiviti penerokaan dan reka cipta logo, bukan penerangan konsep matematik secara langsung.
  p182/276  SKIP  Page is a chapter introduction with no teachable mathematics content.
  p183/276  SKIP  Page is an introductory chapter opener with no teachable mathematical content for the current chapter.
  p184/276  SAVED  Bab 6: Nisbah Trigonometri | 6.1 Nilai Sinus, Kosinus dan Tangen bagi Sudut q, 0? < q < 360?
  p185/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Sudut Rujukan Sepadan dan Nisbah Trigonometri dalam Sukuan
  p186/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Hubungan antara fungsi sinus, kosinus dan tangen bagi sudut dalam sukuan II, III dan IV dengan sudut rujukan sepadan
  p187/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Sudut Rujukan dan Nisbah Trigonometri dalam Empat Sukuan
  p188/276  SAVED  Bab 6: Fungsi Trigonometri | Nilai Sinus, Kosinus dan Tangen bagi Sudut dalam Sukuan
  p189/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Menentukan nilai sinus, kosinus dan tangen bagi sudut dalam sukuan II, III dan IV
  p190/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Nilai Sinus, Kosinus dan Tangen bagi Sudut dalam Sukuan II, III dan IV
  p191/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Menentukan sudut apabila nilai sinus, kosinus dan tangen sudut tersebut diberi
  p192/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Bagaimanakah menyelesaikan masalah yang melibatkan sinus, kosinus dan tangen?
  p193/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p194/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 6.2 Graf Fungsi Sinus, Kosinus dan Tangen
  p195/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p196/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Graf Kosinus dan Tangen
  p197/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Mengkaji dan membuat generalisasi tentang kesan perubahan pemalar a, b dan c bagi graf fungsi trigonometri
  p198/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Kesan Perubahan Pemalar a, b dan c pada Graf Fungsi Trigonometri
  p199/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p200/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | Menyelesaikan masalah yang melibatkan graf fungsi trigonometri
  p201/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p202/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p203/276  SKIP  Page is a chapter opener with learning objectives and project description, no teachable content.
  p204/276  SAVED  Bab 9: Fungsi Trigonometri | 
  p205/276  SAVED  Bab 6: Nisbah dan Graf Fungsi Trigonometri | 
  p206/276  SKIP  This page is a chapter opener for Bab 7: Sukatan Serakan Data Terkumpul, containing only an overview, list of topics, and glossary terms, not a specific lesson or concept to teach.
  p207/276  SKIP  Page is a contextual introduction/stimulus with no direct mathematical content to teach.
  p208/276  SAVED  Bab 7: Statistik | 7.1 Serakan
  p209/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Membina Jadual Kekerapan bagi Data Terkumpul
  p210/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Saiz Selang Kelas dan Kekerapan Longgokan
  p211/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Poligon Kekerapan
  p212/276  SAVED  Bab 7: Statistik | Poligon Kekerapan
  p213/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Membanding dan mentafsir serakan dua atau lebih set data terkumpul berdasarkan histogram dan poligon kekerapan
  p214/276  SAVED  Bab 6: Sukatan Serakan Data Terkumpul | Bentuk Taburan Data
  p215/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Menentukan Bentuk Taburan dan Membandingkan Serakan
  p216/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Histogram Data Terkumpul
  p217/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Membina Ogif bagi Suatu Set Data Terkumpul dan Seterusnya Menentukan Kuartil
  p218/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Kuartil bagi Data Terkumpul
  p219/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Persentil
  p220/276  SAVED  Bab 2: Statistik (Data Terkumpul) | Persentil dan Ogif
  p221/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 7.2 Sukatan Serakan
  p222/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Varians dan Sisihan Piawai
  p223/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Membina dan mentafsir plot kotak bagi data terkumpul
  p224/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Plot Kotak dan Ogif
  p225/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Membanding dan Mentafsir Dua atau Lebih Set Data Terkumpul Berdasarkan Sukatan Serakan yang Sesuai
  p226/276  SAVED  Bab 2: Statistik | Sisihan Piawai dan Varians
  p227/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Menyelesaikan Masalah yang Melibatkan Sukatan Serakan bagi Data Terkumpul
  p228/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Sisihan Piawai dan Min Data Terkumpul
  p229/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 
  p230/276  SAVED  Bab 14: Statistik | 
  p231/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 
  p232/276  SKIP  This page is a chapter introduction listing learning objectives and a mini project description, with the start of an exercise. It does not contain a concept explanation or worked example suitable for a teaching unit.
  p233/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 
  p234/276  SKIP  Page contains only practice exercises and no new concept explanation.
  p235/276  SKIP  Page contains only practice exercises and an activity; no new concept introduction.
  p236/276  SKIP  Chapter opener page with no specific mathematical content to teach.
  p237/276  SKIP  Page contains only motivational/application text about SMART tunnel, no teachable mathematics content.
  p238/276  SAVED  Bab 8: Pemodelan Matematik | 8.1 Pemodelan Matematik
  p239/276  SAVED  Bab 8: Pemodelan Matematik | Pengenalan kepada Pemodelan Matematik
  p240/276  SAVED  Bab 8: Pemodelan Matematik | Proses Pemodelan Matematik
  p241/276  SAVED  Bab 8: Pemodelan Matematik | Membuat andaian
  p242/276  SAVED  Bab 8: Pemodelan Matematik | Menentusahkan dan mentafsir penyelesaian dalam konteks masalah berkenaan
  p243/276  SAVED  Bab 8: Pemodelan Matematik | Memurnikan Model Matematik
  p244/276  SAVED  Bab 8: Pemodelan Matematik | 
  p245/276  SAVED  Bab 8: Pemodelan Matematik | Menyelesaikan masalah kehidupan sebenar melalui pemodelan matematik
  p246/276  SAVED  Bab 8: Pemodelan Matematik | Pemodelan Matematik
  p247/276  SAVED  Bab 8: Pemodelan Matematik | Menentusahkan dan mentafsir penyelesaian
  p248/276  SAVED  Bab 8: Pemodelan Matematik | Mengaplikasi Matematik untuk Menyelesaikan Masalah
  p249/276  SAVED  Bab 8: Pemodelan Matematik | Faedah Kompaun
  p250/276  SAVED  Bab 8: Pemodelan Matematik | Model Matematik Faedah Kompaun
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Mathematics, 5, Bab 8: Pemodelan Matematik, Proses Pemodelan Matematik) already exists.","hint":null,"message":"duplicate key v
  p251/276  DB-ERR  Bab 8: Pemodelan Matematik | Arena Rumusan
  p252/276  SAVED  Bab 8: Pemodelan Matematik | 
  p253/276  SKIP  The page contains only exercise questions and a challenge problem, with no clear concept explanation or worked example suitable for a teaching unit.
  p254/276  SKIP  The page contains only answers to practice exercises (Latih Kendiri) and no new concept explanations or worked examples. It is not a teaching unit.
  p255/276  SKIP  The page contains only answers to exercises and a graph without explanation, no teachable mathematics content for a teaching unit.
  p256/276  SKIP  Page contains only practice exercises (Latih Kendiri) with no new concept explanation or worked example.
  p257/276  SKIP  The page contains only exercise answers and fragmented matrix problems, no new teaching content or concept explanation.
  p258/276  SKIP  The page contains only answers to exercises from Chapters 2 and 3, with no new explanations, examples, or teaching content.
  p259/276  SKIP  The page contains answer keys for exercises (Latih Kendiri 4.1a and 4.1b) and miscellaneous insurance points, but does not present a new teaching concept or worked example. It is a practice answer page.
  p260/276  SKIP  The page contains answer keys for exercises and no instructional content or teachable mathematics explanation.
  p261/276  SAVED  Bab 5: Gabungan Transformasi | Pembesaran
  p262/276  SKIP  This page contains only answers to exercises, no new teaching content or explanation.
  p263/276  SAVED  Bab 6: Trigonometri | 6.1 Trigonometric Ratios of Any Angle
  p264/276  SKIP  Page contains only answer keys for exercises, no new teaching content or worked examples.
  p265/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | Jadual Kekerapan Longgokan
  p266/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 
  p267/276  SKIP  Page contains only answers to exercises (Latih Kendiri and Latih Ekstensif), no new teaching content or concept explanation.
  p268/276  SAVED  Bab 7: Sukatan Serakan Data Terkumpul | 
  p269/276  SAVED  Bab 8: Pemodelan Matematik | Model Matematik Fungsi Eksponen
  p270/276  SAVED  Bab 8: Pemodelan Matematik | Model Fungsi Salingan
  p271/276  SKIP  Glossary page with definitions; no lesson content.
  p272/276  SKIP  Page is a glossary of mathematical terms, not a teachable content page.
  p273/276  SKIP  The page is a bibliography/reference list with no teachable mathematics content.
  p274/276  SKIP  This page is an index/glossary listing terms and page numbers, with no teachable mathematics content.
  p275/276  SKIP  The page contains a book loan pledge and form, not mathematics content.
  p276/276  SKIP  (only 4 words)
------------------------------------------------------------
DONE: 215 saved, 42 skipped, 9 errors
Backup: C:\Learnova\MY-Mathematics_F5_results.json
DONE: 215 saved, 42 skipped, 9 errors
