Processing: C:\learnova_app\textbooks\F5 Sejarah 1.pdf
Subject: MY-Sejarah  Form: 5  Pages: 6-123 of 123
  p 25/123  SAVED  Bab 1: Negara | Mengukuhkan Pertahanan Negara
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Sejarah, 5, Bab 1: Kedaulatan Negara, Konsep Kedaulatan) already exists.","hint":null,"message":"duplicate key value violates u
  p 26/123  DB-ERR  Bab 1: Kedaulatan Negara | Konsep Kedaulatan
  p 27/123  SAVED  Bab 11: Cabaran Mengekalkan Kedaulatan Negara | Aktiviti Fikir-Pasang-Kongsi (Think-Pair-Share)
  p 28/123  SAVED  Bab 1: Kedaulatan Negara | Konsep Kedaulatan dan Kepentingannya
  p 29/123  SAVED  Bab 1: Warisan Negara Bangsa | Nilai, Patriotisme dan Iktibar
  p 30/123  SAVED  Bab 2: PERSEKUTUAN | Perlembagaan Persekutuan
  p 31/123  SKIP  Halaman ini hanya mengandungi senarai topik dan objektif pembelajaran, bukan kandungan pengajaran yang terperinci.
  p 32/123  SAVED  Bab 2: PERSEKUTUAN | 2.1 Latar Belakang Sejarah Perlembagaan Persekutuan
  p 33/123  SAVED  Bab 222: Undang-Undang 99 Perak | 
  p 34/123  SAVED  Bab 222: Undang-Undang 99 Perak | Piagam Keadilan di Negeri-negeri Selat
  p 35/123  SAVED  Bab 2: Perlembagaan Persekutuan | 2.2 Sejarah Penggubalan Perlembagaan Persekutuan
  p 36/123  SAVED  Bab 222: Undang-Undang 99 Perak | 
  p 37/123  SAVED  Bab 2: Perlembagaan Persekutuan | Suruhanjaya Reid dan Perlembagaan Persekutuan Tanah Melayu 1957
  p 38/123  SAVED  Bab 2: Perlembagaan Persekutuan | Ciri Utama Perlembagaan Persekutuan
  p 39/123  SAVED  Bab 22: Perlembagaan Persekutuan | 3. Bahasa Melayu
  p 40/123  SAVED  Bab 2: Perlembagaan Persekutuan | Pindaan Perlembagaan Persekutuan 1963 dan 1965
  p 41/123  SAVED  Bab 22: Pindaan Perlembagaan 1965 | 
  p 42/123  SKIP  Halaman ini hanya merupakan ringkasan bab (Imbas Kembali) tanpa kandungan terperinci untuk diajar.
  p 43/123  SAVED  Bab 1: Kedaulatan Negara | Perkembangan Perlembagaan Persekutuan
  p 44/123  SAVED  Bab 1: Kedaulatan Negara | Unsur Tradisional dalam Perlembagaan Persekutuan
  p 45/123  SKIP  Halaman mengandungi refleksi nilai dan patriotisme, bukan kandungan sejarah yang boleh diajar secara spesifik.
  p 46/123  SAVED  Bab 3: Berperlembagaan dan Demokrasi Berparlimen | 
  p 47/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | 
  p 48/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | 3.1 Latar Belakang Pemerintahan Beraja dan Demokrasi Berparlimen
  p 49/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | Sebelum Perang Dunia Kedua
  p 50/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | 
  p 51/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | Raja Berperlembagaan dan Demokrasi Berparlimen Selepas Merdeka
  p 52/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | 3.2 Sejarah dan Kedudukan Institusi Majlis Raja-Raja
  p 53/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | Majlis Sultan-Sultan dan Majlis Raja-Raja
  p 54/123  SAVED  Bab 3: Elemen Kewarganegaraan dan Nilai Sivik | Majlis Raja-Raja Selepas Merdeka dan Fungsinya
  p 55/123  SAVED  Bab 33: Mesyuarat Majlis Raja-Raja (Khas) Sempena Istiadat Melafaz Sumpah Jawatan dan Menandatangani Surat Sumpah Jawatan dan Surat Perisytiharan Seri Paduka Baginda Yang di-Pertuan Agong XVI di Istana Negara, Kuala Lumpur pada Januari 2019. | 
  p 56/123  SAVED  Bab 33: Mesyuarat Majlis Raja-Raja (Khas) Sempena Istiadat Melafaz S | 3.3 Yang di-Pertuan Agong dan Raja dalam Perlembagaan Persekutuan
  p 57/123  SAVED  Bab 1: Kedaulatan Negara | Kedudukan Yang di-Pertuan Agong
  p 58/123  SAVED  Bab 1: Kedaulatan Negara | Kuasa Yang di-Pertuan Agong
  p 59/123  SAVED  Bab 1: Kedaulatan Negara | Kuasa dan Peranan Yang di-Pertuan Agong
  p 60/123  SAVED  Bab 1: Kedaulatan Negara | 3.4 Amalan Demokrasi dan Pengasingan Kuasa
  p 61/123  SAVED  Bab 1: Perlembagaan Persekutuan | Kebebasan Asasi
  p 62/123  SAVED  Bab 1: Kedaulatan Negara | Pengasingan Kuasa dalam Pemerintahan
  p 63/123  SAVED  Bab 33: Yang di-Pertuan | Badan Perundangan
  p 64/123  SAVED  Bab 33: Yang di-Pertuan | Badan Eksekutif
  p 65/123  SAVED  Bab 33: Yang di-Pertuan | Badan Kehakiman
  p 66/123  SAVED  Bab 33: Yang di-Pertuan | Keunikan Amalan Demokrasi Berparlimen di Negara Kita
  p 67/123  SAVED  Bab 33: Yang di-Pertuan | Kuasa Budi Bicara Raja dan Kerjasama Politik
  p 68/123  SKIP  Page contains only chapter overview/table of contents, not detailed lesson content.
  p 69/123  SAVED  Bab 33: Yang di-Pertuan | Menghormati Institusi Yang di-Pertuan Agong
  p 70/123  SAVED  Bab 33: Yang di-Pertuan | Kerjasama Politik di Negara Kita
  p 71/123  SAVED  Bab 33: Yang di-Pertuan | 
  p 72/123  SAVED  Bab 33: Yang di-Pertuan | 
  p 73/123  SAVED  Bab 33: Yang di-Pertuan | Cakna dan Cerminan Sejarah
  p 74/123  SAVED  Bab 4: SISTEM PERSEKUTUAN | 
  p 75/123  SKIP  Halaman ini hanya mengandungi senarai objektif pembelajaran dan elemen sivik, tanpa penerangan atau fakta sejarah yang boleh diajar.
  p 76/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | 4.1 Latar Belakang Sistem Persekutuan di Negara Kita
  p 77/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Perkembangan Sistem Persekutuan di Tanah Melayu dan Malaysia
  p 78/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | 4.2 Kuasa Kerajaan Persekutuan dan Kerajaan Negeri
  p 79/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Kuasa Kerajaan Persekutuan
  p 80/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Kuasa Kerajaan Negeri
  p 81/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Peranan Kerajaan Tempatan
  p 82/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | 4.3 Kerjasama Kerajaan Persekutuan dan Kerajaan Negeri
  p 83/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Pembangunan Wilayah
  p 84/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Kerjasama Pemuliharaan Khazanah Negara
  p 85/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Pengurusan Taman Laut
  p 86/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Kerjasama Penyediaan Perumahan Rakyat
  p 87/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Perumahan untuk Mengatasi Masalah Kemiskinan
  p 88/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Kerjasama Menjamin Keselamatan dan Kedaulatan Negara
  p 89/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Keselamatan dan Kesejahteraan Rakyat
  p 90/123  SAVED  Bab 4: Elemen Kewarganegaraan dan Nilai Sivik | Faktor yang Mengukuhkan Sistem Persekutuan
  p 91/123  SAVED  Bab 4: Sistem Persekutuan | Majlis Permuafakatan antara Kerajaan Persekutuan dan Kerajaan Negeri
  p 92/123  SAVED  Bab 4: Sistem Persekutuan | Latar Belakang Sistem Persekutuan di Negara Kita
  p 93/123  SKIP  Halaman hanya mengandungi aktiviti pembelajaran am tentang wang kertas Malaysia tanpa kandungan sejarah yang boleh diajar.
  p 94/123  SAVED  Bab 4: CONTOH | Pembentukan Jata Negara Kita
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(MY-Sejarah, 5, Bab 4: Sistem Persekutuan, Sistem Persekutuan Malaysia) already exists.","hint":null,"message":"duplicate key value
  p 95/123  DB-ERR  Bab 4: Sistem Persekutuan | Pemahaman dan Pemikiran Kritis
  p 96/123  SAVED  Bab 2: Perlembagaan Persekutuan | 
  p 97/123  SAVED  Bab 4: Negara | Cakna dan Cerminan Sejarah
  p 98/123  SAVED  Bab 5: Malaysia | Pembentukan Malaysia
  p 99/123  SAVED  Bab 5: MALAYSIA | 
  p100/123  SAVED  Bab 5: MALAYSIA | 5.1 Konsep Gagasan Malaysia
  p101/123  SAVED  Bab 5: MALAYSIA | 5.2 Perkembangan Idea dan Usaha Pembentukan Malaysia
  p102/123  SAVED  Bab 5: MALAYSIA | Idea Penduduk Tempatan
  p103/123  SAVED  Bab 5: MALAYSIA | Rasional Idea Pembentukan Malaysia
  p104/123  SAVED  Bab 5: MALAYSIA | 5.3 Reaksi Tempatan dan Negara Jiran terhadap Pembentukan Malaysia
  p105/123  SAVED  Bab 5: MALAYSIA | Reaksi Tempatan
  p106/123  SAVED  Bab 5: MALAYSIA | Reaksi Penduduk Sabah
  p107/123  SAVED  Bab 5: MALAYSIA | Reaksi terhadap Pembentukan Malaysia
  p108/123  SAVED  Bab 5: MALAYSIA | 5.4 Langkah Pembentukan Malaysia
  p109/123  SAVED  Bab 5: MALAYSIA | Jawatankuasa Setia Kawan Malaysia
  p110/123  SAVED  Bab 5: MALAYSIA | 
  p111/123  SAVED  Bab 5: Malaysia | 
  p112/123  SAVED  Bab 5: MALAYSIA | Pembentukan Jawatankuasa Antara Kerajaan (JAK)
  p113/123  SAVED  Bab 6: Pembentukan Malaysia | Perjanjian Julai 1963 dan Peristiwa Pengisytiharan Malaysia
  p114/123  SAVED  Bab 6: Cabaran Selepas Pembentukan Malaysia | Misi PBB dan Pengisytiharan Malaysia
  p115/123  SAVED  Bab 5: Dokumen Pemasyhuran Malaysia | Pengisytiharan Malaysia di Sabah
  p116/123  SAVED  Bab 5: Dokumen Pemasyhuran Malaysia | Konfrontasi dan Usaha Menangani
  p117/123  SAVED  Bab 5: Dokumen Pemasyhuran Malaysia | 
  p118/123  SAVED  Bab 5: Malaysia dan Masyarakat Antarabangsa | Langkah Menamatkan Konfrontasi
  p119/123  SAVED  Bab 4: Pembentukan Malaysia | Penamatan Konfrontasi Indonesia-Malaysia
  p120/123  SAVED  Bab 4: Pembentukan Malaysia | 
  p121/123  SAVED  Bab 5: Pembentukan Malaysia | Peranan Jawatankuasa Setia Kawan Malaysia dan Suruhanjaya Cobbold
  p122/123  SAVED  Bab 4 | 
  p123/123  SKIP  Halaman ini mengandungi refleksi nilai dan patriotisme umum, bukan kandungan sejarah spesifik yang boleh diajar.
------------------------------------------------------------
DONE: 102 saved, 14 skipped, 2 errors
Backup: C:\Learnova\MY-Sejarah_F5_results.json
DONE: 102 saved, 14 skipped, 2 errors
