Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Chemistry\Chemistry\Cambridge International AS _ A Level Chemistry Coursebook with Digital Access (2 Years) - Cambridge University Press (2020).pdf
Subject: AL-Chemistry  Form: AS-A2  Pages: 10-886 of 886
  p176/886  SKIP  Page contains only exam-style questions, no explanatory text.
  p177/886  SKIP  Page contains only exam-style questions, no explanatory or teaching content.
  p178/886  SKIP  (only 0 words)
  p179/886  SKIP  Page contains only a self-evaluation checklist, no teachable content such as explanations, equations, or mechanisms.
  p180/886  SKIP  Page contains only learning intentions and an image placeholder, no explanatory or problem content.
  p181/886  SKIP  The page contains pre-lesson activities and a discussion on global warming, but no focused chemistry concept or calculation to teach.
  p182/886  SKIP  The page contains only discussion questions about global warming and consumer choices, without any teachable chemistry content such as definitions, equations, or mechanisms related to enthalpy changes.
  p183/886  SAVED  Chapter 6: Enthalpy changes | 6.1 What are enthalpy changes?
  p184/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy changes and enthalpy profile diagrams
  p185/886  SAVED  Chapter 6: Enthalpy changes | Endothermic and exothermic reactions
  p186/886  SAVED  Chapter 6: Enthalpy changes | 6.2 Standard enthalpy changes
  p187/886  SAVED  Chapter 6: Enthalpy changes | Standard Enthalpy Changes
  p188/886  SAVED  Chapter 6: Enthalpy changes | 6.3 Measuring enthalpy changes
  p189/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy change of neutralisation by experiment
  p190/886  SAVED  Chapter 6: Enthalpy changes | Practical Activity 6.2: Finding the enthalpy change of combustion of propan-1-ol
  p191/886  SAVED  Chapter 6: Enthalpy changes | Calorimetry and molar enthalpy of combustion
  p192/886  SAVED  Chapter 6: Enthalpy changes | 6.4 Hess?s law
  p193/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy change of reaction from enthalpy changes of formation
  p194/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy cycles
  p195/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy change of formation from enthalpy changes of combustion
  p196/886  SAVED  Chapter 6: Enthalpy changes | 
  p197/886  SAVED  Chapter 6: Enthalpy changes | 6.5 Bond energies and enthalpy changes
  p198/886  SAVED  Chapter 6: Enthalpy changes | Average bond energy
  p199/886  SAVED  Chapter 6: Enthalpy changes | 6.6 Calculating enthalpy changes using bond energies
  p200/886  SAVED  Chapter 6: Enthalpy changes | Bond energies and enthalpy changes
  p201/886  SAVED  Chapter 6: Enthalpy changes | 
  p202/886  SKIP  Page contains exam-style questions, not instructional content.
  p203/886  SAVED  Chapter 6: Enthalpy changes | Enthalpy of combustion
  p204/886  SAVED  Chapter 6: Enthalpy changes | Hess's Law and Calorimetry
  p205/886  SKIP  Self-evaluation checklist, no new teachable content.
  p206/886  SKIP  Page contains only learning intentions and pre-start activity, no teachable content.
  p207/886  SAVED  Chapter 3: Redox Reactions | Self-Darkening Lenses
  p208/886  SKIP  (only 31 words)
  p209/886  SAVED  Chapter 3: Redox Reactions | 7.1 What is a redox reaction?
  p210/886  SAVED  Chapter 3: Redox Reactions | Half-equations and balancing
  p211/886  SAVED  Chapter 3: Redox Reactions | Balancing Redox Equations
  p212/886  SAVED  Chapter 7: Redox Reactions | 7.2 Oxidation numbers
  p213/886  SAVED  Chapter 3: Redox Reactions | Oxidation Numbers
  p214/886  SAVED  Chapter 3: Oxidation Numbers | 7.3 Applying the oxidation number rules
  p215/886  SAVED  Chapter 3: Oxidation Numbers | 
  p216/886  SAVED  Chapter 7: Redox and oxidation number | 7.4 Redox and oxidation number
  p217/886  SAVED  Chapter 3: Redox Reactions | 7.5 Oxidising agents and reducing agents
  p218/886  SAVED  Chapter 3: Naming Compounds | 7.6 Naming compounds
  p219/886  SAVED  Chapter 3: in this | Systematic Naming Using Oxidation States
  p220/886  SAVED  Chapter 3: Oxidation Numbers and Chemical Formulae | 7.7 From name to formula
  p221/886  SAVED  Chapter 3: Redox Reactions | Identifying Redox Reactions through Experiments
  p222/886  SAVED  Chapter 7: Redox Reactions | 7.8 Balancing chemical equations using oxidation numbers
  p223/886  SAVED  Chapter 3: Redox Reactions | Balancing Redox Equations Using Oxidation Numbers
  p224/886  SAVED  Chapter 3: Chemical Reactions | 7.9 Disproportionation
  p225/886  SAVED  Chapter 3: Redox Reactions | Balancing Redox Equations Using the Oxidation Number Method
  p226/886  SAVED  Chapter 3: Redox Reactions | Summary
  p227/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p228/886  SKIP  Page contains only exam-style questions, no explanatory or teaching content.
  p229/886  SKIP  (only 27 words)
  p230/886  SKIP  Page contains only a self-evaluation checklist, no teachable content.
  p231/886  SKIP  Page contains only learning intentions, no core content.
  p232/886  SKIP  Page contains only learning objectives and review activities, no new concept to teach.
  p233/886  SKIP  Page contains historical context and discussion questions, not a specific chemical concept or calculation.
  p234/886  SAVED  Chapter 8: Equilibria | 8.1 Reversible reactions and equilibrium
  p235/886  SAVED  Chapter 8: Chemical Equilibria | Characteristics of Equilibrium
  p236/886  SAVED  Chapter 8: Equilibria | Equilibrium requires a closed system
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Chemistry, AS-A2, Chapter 8: Equilibria, Dynamic Equilibrium in Closed Systems) already exists.","hint":null,"message":"duplica
  p237/886  DB-ERR  Chapter 8: Equilibria | Dynamic Equilibrium
  p238/886  SAVED  Chapter 8: Equilibria | 8.2 Changing the position of equilibrium
  p239/886  SAVED  Chapter 8: Chemical Equilibria | Effect of Concentration on Equilibrium
  p240/886  SAVED  Chapter 8: Equilibria | Effect of concentration on equilibrium position
  p241/886  SAVED  Chapter 8: Chemical Equilibria | Effect of Pressure on Equilibrium
  p242/886  SAVED  Chapter 8: Equilibria | The effect of temperature on the position of equilibrium
  p243/886  SAVED  Chapter 8: Chemical Equilibria | Effect of temperature on equilibrium
  p244/886  SKIP  (only 14 words)
  p245/886  SAVED  Chapter 8: Chemical Equilibria | 8.3 Equilibrium expressions and the equilibrium constant, Kc
  p246/886  SAVED  Chapter 8: Equilibrium | Equilibrium expressions: Kc
  p247/886  SAVED  Chapter 3: Chemical Equilibria | Units of Kc and Equilibrium Calculations
  p248/886  SAVED  Chapter 3: Equilibrium Constants | Calculating Equilibrium Constants from Concentration Data
  p249/886  SAVED  Chapter 3: Mole Calculations and Equilibrium | 
  p250/886  SAVED  Chapter 3: Equilibrium Calculations | Kc and Changes in Concentration, Pressure, and Temperature
  p251/886  SAVED  Chapter 8: Equilibrium | Effect of Temperature on the Equilibrium Constant, Kc
  p252/886  SAVED  Chapter 8: Equilibria | 8.4 Equilibria in gas reactions: the equilibrium constant, Kp
  p253/886  SAVED  Chapter 3: Mole Calculations | Kp and Partial Pressures
  p254/886  SAVED  Chapter 3: Mole Calculations | Calculating Kp from Partial Pressures
  p255/886  SAVED  Chapter 3: you did mole calculations, including calculations involving | Partial pressure and mole fractions
  p256/886  SAVED  Chapter 3: Mole Calculations | Calculating Kp
  p257/886  SAVED  Chapter 8: Equilibria | Equilibria and the chemical industry
  p258/886  SAVED  Chapter 3: Mole Calculations | Temperature and Pressure in the Contact Process
  p259/886  SAVED  Chapter 8: Acid?base equilibria | pH values and neutralisation
  p260/886  SAVED  Chapter 8: Acid?base equilibria | Definitions of acids and bases
  p261/886  SAVED  Chapter 8: Acids and Bases | The Br?nsted?Lowry theory of acids and bases
  p262/886  SAVED  Chapter 8: Acids and Bases | Br?nsted?Lowry theory and amphoteric substances
  p263/886  SAVED  Chapter 3: Acid-Base Equilibria | Strong and Weak Acids and Bases
  p264/886  SAVED  Chapter 3: Mole Calculations | Acid and Base Strength
  p265/886  SAVED  Chapter 3: Mole Calculations | Distinguishing a weak acid from a strong acid
  p266/886  SAVED  Chapter 3: Acid Strength and pH | Reaction with reactive metals
  p267/886  SAVED  Chapter 8: Acid-Base Equilibria | 8.7 Indicators and acid?base titrations
  p268/886  SAVED  Chapter 8: Indicators and pH | Chemical Indicators and pH Ranges
  p269/886  SAVED  Chapter 8: Acid-base Titrations | Monitoring pH during titration
  p270/886  SAVED  Chapter 3: Acid-Base Titrations | Strong Acid?Strong Base Titrations
  p271/886  SAVED  Chapter 8: Acids and Bases | Titration curves and indicator selection
  p272/886  SAVED  Chapter 3: Acids and Bases | Weak acids with weak bases
  p273/886  SAVED  Chapter 3: Acids and Bases | Reflection on Strong and Weak Acids and Bases
  p274/886  SAVED  Chapter 3: Equilibria and Acid-Base Theory | Chapter Summary
  p275/886  SKIP  Page contains only exam-style questions, no explanatory content for teaching.
  p276/886  SKIP  Page contains only exam-style questions without explanatory content.
  p277/886  SKIP  Page contains exam-style questions, no explanatory content.
  p278/886  SAVED  Chapter 9: Chemical Equilibria | Equilibrium Constant Kp
  p279/886  SKIP  Page is a self-evaluation checklist, not teachable content.
  p280/886  SKIP  Page contains only learning intentions and an image placeholder, no teachable content.
  p281/886  SKIP  Page contains only learning objectives and pre-chapter review questions, no new teachable content.
  p282/886  SKIP  Page provides introductory context and examples but no specific concept or calculation to teach.
  p283/886  SKIP  The page contains only a discussion question and activity prompt, no chemical principles or equations.
  p284/886  SAVED  Chapter 9: Rates of reaction | 9.1 Rate of reaction
  p285/886  SAVED  Chapter 9: Rates of reaction | Monitoring reaction rates
  p286/886  SAVED  Chapter 9: Rates of reaction | Calculating rate of reaction graphically
  p287/886  SAVED  Chapter 9: Rates of reaction | Measuring reaction rates
  p288/886  SAVED  Chapter 9: Rates of reaction | Rate of reaction from concentration-time graphs
  p289/886  SAVED  Chapter 9: Rates of reaction | Determining order from concentration?rate data
  p290/886  SAVED  Chapter 9: Rates of reaction | Practical Activity 9.2: Determining rate from gas evolution
  p291/886  SAVED  Chapter 9: Rates of reaction | Collision theory
  p292/886  SAVED  Chapter 9: Rates of reaction | Catalysts and Activation Energy
  p293/886  SAVED  Chapter 9: Rates of reaction | 9.2 The effect of concentration on rate of reaction
  p294/886  SAVED  Chapter 9: Rates of reaction | 9.3 The effect of temperature on rate of reaction
  p295/886  SAVED  Chapter 9: Rates of reaction | Effect of temperature on reaction rate
  p296/886  SAVED  Chapter 9: Rates of reaction | 9.4 Catalysis
  p297/886  SAVED  Chapter 9: Rates of reaction | Catalysis
  p298/886  SAVED  Chapter 9: Rates of reaction | 
  p299/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p300/886  SAVED  Chapter 9: Rates of reaction | 
  p301/886  SKIP  Page contains only a self-evaluation checklist, no new teaching content.
  p302/886  SKIP  Page contains only learning intentions, no teachable content such as explanations, equations, or examples.
  p303/886  SKIP  Page contains only learning objectives and discussion questions, no teachable concept explanation or worked example.
  p304/886  SAVED  Chapter 10: The Periodic Table ? Historical Development | Mendeleev's Periodic Table and Predictions
  p305/886  SAVED  Chapter 10: Periodicity | 10.1 Structure of the Periodic Table
  p306/886  SKIP  (only 0 words)
  p307/886  SAVED  Chapter 10: Periodicity | 10.2 Periodicity of physical properties
  p308/886  SAVED  Chapter 10: Periodicity | Periodic patterns of ionic radii
  p309/886  SAVED  Chapter 10: Periodicity | Ionic radii trends
  p310/886  SAVED  Chapter 2: Periodicity | Bonding and structures of Period 3 elements
  p311/886  SAVED  Chapter 10: Periodicity | Periodic patterns of first ionisation energies
  p312/886  SAVED  Chapter 2: Periodicity of Physical Properties | Ionisation Energy Trends Across Period 3
  p313/886  SAVED  Chapter 10: Periodicity | 10.3 Periodicity of chemical properties
  p314/886  SAVED  Chapter 10: Period 3 Elements | Reactions of Period 3 elements with chlorine
  p315/886  SAVED  Chapter 2: Groups 1 and 2 Elements | Reactions with Water
  p316/886  SAVED  Chapter 10: Periodicity | 10.4 Oxides of Period 3 elements
  p317/886  SAVED  Chapter 10: Periodicity | Effect of water on oxides and hydroxides of Period 3 elements
  p318/886  SAVED  Chapter 2: Periodicity | The effect of bonding and electronegativity on the structure and acidic / basic nature of Period 3 oxides
  p319/886  SAVED  Chapter 10: Periodicity | Electronegativity and Bonding in Period 3 Oxides
  p320/886  SKIP  (only 30 words)
  p321/886  SAVED  Chapter 10: Periodicity | 10.6 Chlorides of Period 3 elements
  p322/886  SAVED  Chapter 10: Periodicity | 10.7 Effect of water on chlorides of Period 3 elements
  p323/886  SAVED  Chapter 2: First Ionisation Energy | Hydrolysis of Period 3 Chlorides
  p324/886  SAVED  Chapter 10: The Periodic Table | 10.8 Deducing the position of an element in the Periodic Table
  p325/886  SAVED  Chapter 2: Ionisation Energy and Periodic Trends | Group Identification from Chemical Properties
  p326/886  SAVED  Chapter 2: Periodicity | Summary of Period 3 Trends
  p327/886  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p328/886  SKIP  Page contains only exam-style questions, no explanatory or teaching content.
  p329/886  SKIP  Page contains only a self-evaluation checklist, no teachable content.
  p330/886  SKIP  The page contains only learning intentions and a pre-reading question, no substantive chemistry content.
  p331/886  SAVED  Chapter 11: Group 2 | Uses of Group 2 Compounds
  p332/886  SAVED  Chapter 11: Group 2 | Thermal decomposition of carbonates
  p333/886  SAVED  Chapter 11: Group 2 | Uses of Calcium Oxide and Calcium Hydroxide
  p334/886  SAVED  Chapter 11: Group 2 | 11.1 Physical properties of Group 2 elements
  p335/886  SKIP  Page contains only a data table and reference to figures with a question, lacking explanatory text to form a teaching unit.
  p336/886  SKIP  Page contains only questions and reflection prompts, no explanatory content for teaching.
  p337/886  SAVED  Chapter 11: Group 2 | 11.2 Reactions of Group 2 elements
  p338/886  SAVED  Chapter 11: Group 2 | 
  p339/886  SAVED  Chapter 11: Group 2 | 11.3 Reactions with oxygen
  p340/886  SAVED  Chapter 11: Group 2 | Flame tests
  p341/886  SKIP  (only 0 words)
  p342/886  SAVED  Chapter 11: Group 2 | Reactions of oxides with dilute acid
  p343/886  SAVED  Chapter 11: Group 2 | 11.4 Reactions with water
  p344/886  SAVED  Chapter 11: Group 2 | Reactions with steam
  p345/886  SAVED  Chapter 11: Group 2 | Reactions of Group 2 oxides and water
  p346/886  SAVED  Chapter 11: Group 2 | Reactions of Group 2 oxides and hydroxides
  p347/886  SAVED  Chapter 11: Group 2 | Reactions of Group 2 carbonates
  p348/886  SAVED  Chapter 11: Group 2 | Thermal decomposition of Group 2 carbonates and nitrates
  p349/886  SKIP  Page contains only end-of-chapter activities and tasks, no new teachable content.
  p350/886  SAVED  Chapter 11: Group 2 | 
  p351/886  SKIP  Page contains only exam-style questions, no explanatory content.
  p352/886  SKIP  Page contains only a self-evaluation checklist, no new chemistry content.
