Processing: C:\Users\Yong\Downloads\Learnova A Levels\text books\A Levels Physics\Physics\Cambridge International AS _ A Level Physics Coursebook with Digital Access (2 Years) - Cambridge University Press (2021).pdf
Subject: AL-Physics  Form: AS-A2  Pages: 10-907 of 907
  p124/907  SAVED  Chapter 3: Forces | Balanced or unbalanced?
  p125/907  SAVED  Chapter 3: Forces and Equilibrium | Moments
  p126/907  SAVED  Chapter 3: of two forces acting in a straight line | The principle of moments
  p127/907  SKIP  Page contains only end-of-chapter questions without explanatory content or concept teaching.
  p128/907  SAVED  Chapter 4: Turning Effects of Forces | 4.5 The torque of a couple
  p129/907  SAVED  Chapter 3: Forces and Moments | Pure Turning Effect
  p130/907  SAVED  Chapter 3: Forces | 
  p131/907  SKIP  The page contains only exam-style questions with no explanatory content or new concepts to teach.
  p132/907  SKIP  Page contains only exercise questions without explanatory content or worked examples; no single teachable concept can be extracted.
  p133/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p134/907  SKIP  Page contains only exercise questions with no explanatory content; no teachable concept to extract.
  p135/907  SKIP  Page contains only an exam-style question, no explanatory content.
  p136/907  SKIP  Page contains only a self-evaluation checklist, no instructional content.
  p137/907  SAVED  Chapter 5: Work, energy and power | The idea of energy
  p138/907  SAVED  Chapter 5: Work, energy and power | Energy efficiency
  p139/907  SAVED  Chapter 5: Work, energy and power | 5.1 Doing work, transferring energy
  p140/907  SAVED  Chapter 5: Work, energy and power | Calculating work done
  p141/907  SAVED  Chapter 5: Work, energy and power | Work done by a force
  p142/907  SAVED  Chapter 5: Work, energy and power | Work done by a force at an angle
  p143/907  SKIP  The extracted text only presents a problem statement without the necessary force values or diagram required to compute work done. No complete explanation or worked example can be provided.
  p144/907  SAVED  Chapter 5: Work, energy and power | 5.2 Gravitational potential energy
        Supabase error 409: {"code":"23505","details":"Key (subject, form, topic, concept_title)=(AL-Physics, AS-A2, Chapter 5: Work, energy and power, Gravitational potential energy) already exists.","hint":null,"message":"dupl
  p145/907  DB-ERR  Chapter 5: Work, energy and power | Potential energy
  p146/907  SAVED  Chapter 5: Work, energy and power | 5.3 Kinetic energy
  p147/907  SAVED  Chapter 5: Work, energy and power | Kinetic energy
  p148/907  SAVED  Chapter 5: Work, energy and power | 5.4 Gravitational potential to kinetic energy transformations
  p149/907  SAVED  Chapter 5: Work, energy and power | 
  p150/907  SAVED  Chapter 5: Work, energy and power | 5.5 Down, up, down: energy changes
  p151/907  SKIP  Page contains only questions and a figure caption, no explanatory content.
  p152/907  SAVED  Chapter 5: Work, energy and power | 5.6 Energy transfers
  p153/907  SAVED  Chapter 5: Work, energy and power | Conservation of energy
  p154/907  SAVED  Chapter 5: Work, energy and power | 
  p155/907  SAVED  Chapter 5: Work, energy and power | 5.7 Power
  p156/907  SAVED  Chapter 5: Work, energy and power | Moving power
  p157/907  SAVED  Chapter 5: Work, energy and power | Power and human power
  p158/907  SAVED  Chapter 5: Work, energy and power | Power and efficiency
  p159/907  SAVED  Chapter 5: Work, energy and power | 
  p160/907  SKIP  Page contains only exam-style questions, no conceptual teaching content.
  p161/907  SKIP  Page contains only practice questions, no new conceptual content.
  p162/907  SAVED  Chapter 5: Work, energy and power | 
  p163/907  SKIP  Page contains only a self-evaluation checklist, no new teachable content.
  p164/907  SKIP  Page contains only learning intentions, introductory context, and a motivational paragraph; no specific concept explanation, worked example, or formulae to structure as a teaching unit.
  p165/907  SKIP  (only 21 words)
  p166/907  SAVED  Chapter 6: Momentum | 6.1 The idea of momentum
  p167/907  SAVED  Chapter 6: Momentum | 6.2 Modelling collisions
  p168/907  SAVED  Chapter 6: Momentum | Defining linear momentum
  p169/907  SAVED  Chapter 6: Momentum | Conservation of Momentum
  p170/907  SKIP  (only 5 words)
  p171/907  SAVED  Chapter 6: Momentum | 6.3 Understanding collisions
  p172/907  SAVED  Chapter 6: Momentum | 
  p173/907  SAVED  Chapter 6: Momentum | Inelastic collisions and solving collision problems
  p174/907  SAVED  Chapter 6: Momentum | 
  p175/907  SAVED  Chapter 6: Momentum | Collisions
  p176/907  SAVED  Chapter 6: Momentum | 6.4 Explosions and crash-landings
  p177/907  SAVED  Chapter 6: Momentum | Conservation of Momentum
  p178/907  SAVED  Chapter 6: Momentum | 6.5 Collisions in two dimensions
  p179/907  SAVED  Chapter 6: Momentum | Components of momentum
  p180/907  SAVED  Chapter 6: Momentum | Momentum in two dimensions
  p181/907  SKIP  Page contains only a problem statement without numerical data or explanatory content. No teachable material.
  p182/907  SAVED  Chapter 6: Momentum | 6.6 Momentum and Newton's laws
  p183/907  SAVED  Chapter 6: Momentum | 6.7 Understanding motion
  p184/907  SAVED  Chapter 6: Momentum | A special case of Newton?s second law of motion
  p185/907  SAVED  Chapter 6: Momentum | Newton?s third law of motion
  p186/907  SAVED  Chapter 6: Momentum | 
  p187/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p188/907  SAVED  Chapter 6: Momentum | Elastic and Inelastic Collisions
  p189/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p190/907  SKIP  Page contains only a question (Question 14) without explanatory content or data for worked example. No teachable concept to extract.
  p191/907  SKIP  Self-evaluation checklist with no explanatory or worked content.
  p192/907  SKIP  Page contains only learning intentions and introductory text, no specific concept explanation.
  p193/907  SKIP  Page contains only introductory text and a discussion prompt for bungee jumping, with no specific teachable concept, equation, or example.
  p194/907  SAVED  Chapter 7: Matter and materials | 7.1 Density
  p195/907  SAVED  Chapter 7: Matter and materials | 7.2 Pressure
  p196/907  SAVED  Chapter 7: Matter and materials | Hydrostatic pressure
  p197/907  SKIP  Page contains only end-of-chapter questions, no teaching content.
  p198/907  SAVED  Chapter 7: Matter and materials | 7.3 Archimedes? principle
  p199/907  SAVED  Chapter 7: Matter and materials | 
  p200/907  SAVED  Chapter 7: Matter and materials | Compressive and tensile forces
  p201/907  SAVED  Chapter 7: Matter and materials | Hooke's law
  p202/907  SAVED  Chapter 7: Matter and materials | Elastic behaviour and springs combination
  p203/907  SKIP  (only 38 words)
  p204/907  SAVED  Chapter 7: Matter and materials | Stretching materials
  p205/907  SAVED  Chapter 7: Matter and materials | The Young modulus
  p206/907  SAVED  Chapter 7: Matter and materials | 
  p207/907  SAVED  Chapter 7: Matter and materials | The Young Modulus
  p208/907  SAVED  Chapter 7: Matter and materials | 7.6 Elastic potential energy
  p209/907  SAVED  Chapter 7: Matter and materials | Elastic potential energy
  p210/907  SAVED  Chapter 7: Matter and materials | Elastic potential energy and work done
  p211/907  SKIP  (only 0 words)
  p212/907  SAVED  Chapter 7: Matter and materials | 7.5 Stress, strain and the Young modulus
  p213/907  SKIP  Page contains only exam-style questions with no teaching content.
  p214/907  SKIP  Page contains only exam-style questions, no explanatory or conceptual content.
  p215/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p216/907  SKIP  Page contains only practice questions with no explanatory teaching content.
  p217/907  SAVED  Chapter 7: Matter and materials | Density and Pressure
  p218/907  SKIP  Page contains only a self-evaluation checklist, not teachable content.
  p219/907  SKIP  Page contains only learning intentions and a pre-task checklist, no substantive teaching content.
  p220/907  SKIP  Page contains only introductory context and motivational content about the importance of electricity, with no technical physics concepts, equations, or worked examples.
  p221/907  SKIP  Page contains only a figure caption and a discussion question, no teachable content.
  p222/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 8.1 Circuit symbols and diagrams
  p223/907  SKIP  Page contains only introductory commentary on the term 'electricity' and a figure caption, with no specific teachable physics concept, equation, or worked example.
  p224/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 8.2 Electric current
  p225/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Charge carriers and the nature of current
  p226/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Charged particles
  p227/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Quantisation of charge
  p228/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 8.3 An equation for current
  p229/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Current and drift velocity
  p230/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Drift velocity of electrons
  p231/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Mean drift velocity
  p232/907  SAVED  Chapter 8: Electric current, potential difference and electromotive force | 8.4 The meaning of voltage
  p233/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Electromotive force (e.m.f.)
  p234/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 8.5 Electrical resistance
  p235/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Determining resistance
  p236/907  SKIP  (only 29 words)
  p237/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 8.6 Electrical power
  p238/907  SAVED  Chapter 8: Electric current, potential difference and power | Power and resistance
  p239/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Calculating electrical power and energy
  p240/907  SAVED  Chapter 8: Electric current, potential difference and resistance | Summary
  p241/907  SAVED  Chapter 8: Electric current, potential difference and resistance | 
  p242/907  SAVED  Chapter 8: Electric current, potential difference and | Current in electrolytes and electron flow
  p243/907  SKIP  Page contains only exam-style practice questions; no conceptual teaching content to structure.
  p244/907  SKIP  (only 0 words)
  p245/907  SKIP  Page contains only a self-evaluation checklist, not new teachable content.
  p246/907  SKIP  Page contains only learning intentions and introductory context, no substantive teaching content.
  p247/907  SKIP  The page provides only contextual information about CAD software and general references to Kirchhoff's laws, without any substantive teaching content such as definitions, equations, or examples.
  p248/907  SAVED  Chapter 9: Kirchhoff?s laws | 9.1 Kirchhoff?s first law
  p249/907  SAVED  Chapter 9: Kirchhoff?s laws | Kirchhoff?s first law
  p250/907  SAVED  Chapter 9: Kirchhoff?s laws | 9.2 Kirchhoff?s second law
  p251/907  SAVED  Chapter 9: Kirchhoff?s laws | Kirchhoff?s second law
  p252/907  SAVED  Chapter 9: Kirchhoff?s laws | 9.3 Applying Kirchhoff?s laws
  p253/907  SAVED  Chapter 9: Kirchhoff's laws | 
  p254/907  SAVED  Chapter 9: Kirchhoff's laws | Conservation of energy
  p255/907  SAVED  Chapter 9: Kirchhoff's laws | 9.4 Resistor combinations
  p256/907  SAVED  Chapter 9: Kirchhoff's laws | Resistors in parallel
  p257/907  SAVED  Chapter 9: Kirchhoff?s laws | Solving problems with parallel circuits
  p258/907  SKIP  Page contains only questions and figure caption; no new concept explanation or worked example.
  p259/907  SAVED  Chapter 9: Kirchhoff?s laws | Ammeters and voltmeters
  p260/907  SAVED  Chapter 9: Kirchhoff?s laws | 
  p261/907  SAVED  Chapter 9: Kirchhoff's laws | 
  p262/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p263/907  SKIP  Page contains only exercise questions, no explanatory content.
  p264/907  SAVED  Chapter 9: Kirchhoff's laws | Series circuits and potential divider
  p265/907  SKIP  Page contains only exam-style questions, no explanatory teaching content.
  p266/907  SKIP  Page contains only a multi-part exam question without explanatory content; incomplete diagram prevents meaningful worked example.
  p267/907  SKIP  The page contains only a self-evaluation checklist, no new teachable content.
  p268/907  SKIP  Page contains only learning intentions and a brief note on superconductivity, not a full teaching concept.
  p269/907  SAVED  Chapter 10: Resistance and resistivity | Superconductors and their applications
  p270/907  SAVED  Chapter 10: Resistance and resistivity | 10.1 The I?V characteristic for a metallic conductor
  p271/907  SAVED  Chapter 10: Resistance and resistivity | I?V characteristics of resistors
  p272/907  SAVED  Chapter 10: Resistance and resistivity | 10.2 Ohm?s law
  p273/907  SAVED  Chapter 10: Resistance and resistivity | 10.3 Resistance and temperature
  p274/907  SAVED  Chapter 10: Resistance and resistivity | Thermistors
  p275/907  SAVED  Chapter 10: Resistance and resistivity | Diodes
  p276/907  SAVED  Chapter 10: Resistance and resistivity | Light-emitting diodes (LEDs)
  p277/907  SAVED  Chapter 10: Resistance and resistivity | The light-dependent resistor (LDR)
  p278/907  SAVED  Chapter 10: Resistance and resistivity | 
  p279/907  SAVED  Chapter 10: Resistance and resistivity | 10.4 Resistivity
  p280/907  SAVED  Chapter 10: Resistance and resistivity | Resistivity of common materials
  p281/907  SAVED  Chapter 10: Resistance and resistivity | 
  p282/907  SAVED  Chapter 10: Resistance and resistivity | 
  p283/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p284/907  SKIP  Page contains only exam-style questions without explanations or teaching content.
  p285/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p286/907  SKIP  Page contains only exam-style questions and no explanatory content.
  p287/907  SKIP  Page contains a self-evaluation checklist, no new teaching content.
  p288/907  SKIP  Page contains only learning intentions, introductory activities, and historical context; no detailed concept explanation or worked examples.
  p289/907  SKIP  Page contains only historical background on batteries, no rigorous A-Level physics content.
  p290/907  SAVED  Chapter 11: Practical circuits | 11.1 Internal resistance
  p291/907  SAVED  Chapter 11: Practical circuits | Internal resistance and terminal potential difference
  p292/907  SAVED  Chapter 11: Practical circuits | Internal resistance
  p293/907  SAVED  Chapter 11: Practical circuits | Internal Resistance
  p294/907  SAVED  Chapter 11: Practical circuits | 11.2 Potential dividers
  p295/907  SKIP  (only 5 words)
  p296/907  SAVED  Chapter 11: Practical circuits | 11.3 Sensors
  p297/907  SAVED  Chapter 11: Practical circuits | Thermistors as sensors
  p298/907  SAVED  Chapter 11: Practical circuits | 11.4 Potentiometer circuits
  p299/907  SAVED  Chapter 11: Practical circuits | Using a potentiometer to compare e.m.f.s and potential differences
  p300/907  SAVED  Chapter 11: Practical circuits | Potentiometer circuits
  p301/907  SAVED  Chapter 11: Practical circuits | 
  p302/907  SKIP  The page contains only exam-style questions with no explanatory content or worked examples.
  p303/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p304/907  SKIP  Page contains only exam-style questions, no explanatory or conceptual content.
  p305/907  SKIP  Page contains an exam-style question with incomplete context, not teaching content.
  p306/907  SKIP  Page is a self-evaluation checklist with no new teachable content.
  p307/907  SKIP  Page contains only learning intentions and a 'before you start' activity, no actual teaching content or explanations.
  p308/907  SAVED  Chapter 12: Waves | Vibrations Making Waves
  p309/907  SAVED  Chapter 12: Waves | 12.1 Describing waves
  p310/907  SAVED  Chapter 14: we will look at | 
  p311/907  SAVED  Chapter 14: Oscillations and Waves | Determining frequency and amplitude from an oscilloscope trace
  p312/907  SKIP  Page contains only exercise questions and a conversion hint, no conceptual explanation.
  p313/907  SAVED  Chapter 14: Waves | 12.2 Longitudinal and transverse waves
  p314/907  SAVED  Chapter 14: Waves | Phase Difference
  p315/907  SAVED  Chapter 12: Wave motion | 12.3 Wave energy
  p316/907  SKIP  (only 16 words)
  p317/907  SAVED  Chapter 14: Waves | 12.4 Wave speed
  p318/907  SKIP  Page contains only a calculation step and questions, no substantial teaching content or concept explanation.
  p319/907  SAVED  Chapter 14: Waves | 12.5 The Doppler effect for sound waves
  p320/907  SAVED  Chapter 14: Waves | Doppler effect for a moving source
  p321/907  SAVED  Chapter 14: The Doppler Effect | Doppler effect for sound: source moving towards observer
  p322/907  SKIP  Page contains only historical background and no teachable physics content (laws, equations, or calculations).
  p323/907  SKIP  (only 23 words)
  p324/907  SAVED  Chapter 14: Electromagnetic Radiation | 12.7 Electromagnetic radiation
  p325/907  SAVED  Chapter 12: Electromagnetic Waves | Orders of magnitude
  p326/907  SKIP  Page contains only exercise questions, no instructional content.
  p327/907  SAVED  Chapter 14: Electromagnetic Waves | 12.9 The nature of electromagnetic waves
  p328/907  SAVED  Chapter 12: Waves | 12.10 Polarisation
  p329/907  SAVED  Chapter 14: Polarisation | 
  p330/907  SAVED  Chapter 14: Polarisation | Malus's law
  p331/907  SAVED  Chapter 14: Polarisation | Malus's Law
  p332/907  SAVED  Chapter 14: Progressive Waves | 
  p333/907  SAVED  Chapter 14: Polarisation | Malus's Law
  p334/907  SKIP  Page contains only exam-style questions, no explanatory content to structure into a teaching unit.
  p335/907  SAVED  Chapter 14: Waves | Doppler Effect
  p336/907  SAVED  Chapter 14: Polarisation | Plane Polarised Light
  p337/907  SKIP  The page contains a self-evaluation checklist for Chapter 12, not instructional content suitable for a teaching unit.
  p338/907  SKIP  Page contains only chapter learning intentions and introductory text, no detailed concept explanation or worked example.
  p339/907  SAVED  Chapter 13: Superposition of waves | 
  p340/907  SAVED  Chapter 13: Superposition of waves | 13.1 The principle of superposition of waves
  p341/907  SAVED  Chapter 13: Superposition of waves | 
  p342/907  SAVED  Chapter 13: Superposition of waves | 13.2 Diffraction of waves
  p343/907  SAVED  Chapter 13: Superposition of waves | Diffraction
  p344/907  SAVED  Chapter 13: Superposition of waves | Diffraction of radio waves and microwaves
  p345/907  SKIP  (only 17 words)
  p346/907  SAVED  Chapter 13: Superposition of waves | 13.3 Interference
  p347/907  SAVED  Chapter 13: Superposition of waves | Explaining interference
  p348/907  SAVED  Chapter 13: Superposition of waves | Interference and Path Difference
  p349/907  SAVED  Chapter 13: Superposition of waves | 
  p350/907  SAVED  Chapter 13: Superposition of waves | Interference of light and microwaves
  p351/907  SAVED  Chapter 13: Superposition of waves | Coherent Sources
  p352/907  SAVED  Chapter 13: Superposition of waves | 13.4 The Young double-slit experiment
  p353/907  SAVED  Chapter 13: Superposition of waves | Path difference and interference pattern
  p354/907  SAVED  Chapter 13: Superposition of waves | Double-slit interference
  p355/907  SAVED  Chapter 13: Superposition of waves | Double-slit interference experiment
  p356/907  SKIP  (only 0 words)
  p357/907  SAVED  Chapter 13: Superposition of waves | 13.5 Diffraction gratings
  p358/907  SAVED  Chapter 13: Superposition of waves | The diffraction grating
  p359/907  SAVED  Chapter 13: Superposition of waves | The diffraction grating
  p360/907  SAVED  Chapter 13: Superposition of waves | Diffraction gratings
  p361/907  SAVED  Chapter 13: Superposition of waves | 
  p362/907  SKIP  Page contains only exam-style questions, no explanatory content.
  p363/907  SAVED  Chapter 13: Superposition of waves | Diffraction grating
  p364/907  SAVED  Chapter 13: Superposition of waves | Double-slit interference with water waves
  p365/907  SKIP  Page contains only a self-evaluation checklist with learning objectives, no new teachable content.
  p366/907  SKIP  The page contains only learning intentions and a motivating anecdote, no substantive physics explanation or worked example to structure as a teaching unit.
  p367/907  SKIP  (only 17 words)
  p368/907  SAVED  Chapter 14: Stationary waves | 14.1 From moving to stationary
  p369/907  SAVED  Chapter 14: Stationary waves | 14.2 Nodes and antinodes
  p370/907  SAVED  Chapter 14: Stationary waves | 14.3 Formation of stationary waves
  p371/907  SAVED  Chapter 14: Stationary waves | 
  p372/907  SAVED  Chapter 14: Stationary waves | 
  p373/907  SAVED  Chapter 14: Stationary waves | Practical determination of wavelength and resonance
  p374/907  SAVED  Chapter 14: Stationary waves | Stationary waves in air columns
  p375/907  SKIP  Page contains only figure captions and end-of-chapter questions, with no explanatory teaching content.
  p376/907  SAVED  Chapter 14: Stationary waves | Fundamental frequency and harmonics
  p377/907  SKIP  (only 30 words)
  p378/907  SAVED  Chapter 14: Stationary waves | 14.4 Determining the wavelength and speed of sound
  p379/907  SAVED  Chapter 14: Stationary waves | Stationary sound waves
