Processing: C:\learnova_app\textbooks\F4 Biology.pdf
Subject: MY-Biology  Form: 4  Pages: 11-323 of 323
  p 45/323  SAVED  Bab 2: Organisasi Sel | 2.4 Organisasi Sel dalam Organisma Multisel
  p 46/323  SAVED  Bab 8: Lukis struktur sel epidermis yang dapat diperhatikan dan lab | Sistem dalam Tumbuhan
  p 47/323  SKIP  This page contains only a self-reflection summary and practice questions, no new teachable Biology content.
  p 48/323  SKIP  Page contains only review questions, no new teaching content.
  p 49/323  SKIP  The page contains only practice questions and no new teachable Biology content or explanations.
  p 50/323  SKIP  Page contains only introductory questions and no substantive biology content or explanation.
  p 51/323  SKIP  Page contains only learning objectives/outcomes, no explanatory or example content to teach.
  p 52/323  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | 3.1 Struktur Membran Plasma
  p 53/323  SAVED  Bab 2 | 
  p 54/323  SAVED  Bab 2: Biologi Sel dan Organisasi Sel | Sifat Ketelapan Membran Plasma
  p 55/323  SAVED  Bab 3: Pergerakan Merentasi Membran Plasma | 3.2 Membran Plasma
  p 56/323  SAVED  Bab 2: Pergerakan Bahan Merentasi Membran Telap Memilih | Eksperimen: Pergerakan bahan merentasi membran telap memilih
  p 57/323  SAVED  Bab 2: Pergerakan Bahan Merentasi Membran Plasma | Aktiviti 2.1 / 3.2: Mengkaji pergerakan bahan merentasi tiub Visking menggunakan osmometer ringkas
  p 58/323  SAVED  Bab 2: Pergerakan Bahan Merentasi Membran Plasma | 3.2.3 Eksperimen Osmosis Menggunakan Tiub Visking
  p 59/323  SAVED  Bab 2: Biologi Sel | 
  p 60/323  SAVED  Bab 2: Biologi Sel dan Organisasi Sel | Pergerakan Merentasi Membran Plasma
  p 61/323  SAVED  Bab 2: Struktur Sel dan Organisasi Sel | Pengangkutan Aktif
  p 62/323  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | 3.2.4 Persamaan dan Perbezaan antara Pengangkutan Pasif dengan Pengangkutan Aktif
  p 63/323  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | 3.3 Pergerakan Bahan Merentasi Membran Plasma dalam Organisma Hidup
  p 64/323  SAVED  Bab 2: Sel dan Organisasi Sel | Larutan isotonik, hipotonik dan hipertonik
  p 65/323  SAVED  Bab 2: Membran Biologi | Kesan larutan hipotonik, hipertonik dan isotonik terhadap sel haiwan
  p 66/323  SAVED  Bab 2: Struktur dan Organisasi Sel | Kesan Larutan Hipotonik, Hipertonik, dan Isotonik terhadap Sel Tumbuhan
  p 67/323  SAVED  Bab 2: Sel sebagai Unit Asas Hidupan | Mengkaji kesan larutan hipotonik, hipertonik dan isotonik terhadap sel haiwan
  p 68/323  SAVED  Bab 2: Pergerakan Merentas Membran Plasma | Eksperimen: Mengkaji kesan larutan hipotonik, hipertonik dan isotonik terhadap sel tumbuhan
  p 69/323  SAVED  Bab 2 | 
  p 70/323  SAVED  Bab 3: Movement of Substances Across a Plasma Membrane | 3.3 Osmosis
  p 71/323  SAVED  Bab 3: Pergerakan Bahan Merentasi Membran Plasma | 3.4 Pergerakan Bahan Merentasi Membran Plasma dalam Kehidupan Harian
  p 72/323  SAVED  Bab 2: Pergerakan Bahan Merentasi Membran Plasma | 
  p 73/323  SAVED  Bab 2: PERGERAKAN BAHAN MERENTASI MEMBRAN PLASMA | 
  p 74/323  SKIP  Page contains only practice questions (Praktis Sumatif 3), no new teaching content or explanations.
  p 75/323  SAVED  Bab 10: Pergerakan Bahan Merentasi Membran Plasma | 
  p 76/323  SKIP  Halaman ini hanya mengandungi soalan pengenalan dan objektif pembelajaran, tiada kandungan biologi yang boleh diajar sebagai unit pengajaran.
  p 77/323  SKIP  The page contains only learning objectives/standards for the chapter on biomolecules, not teachable content.
  p 78/323  SAVED  Bab 4: Komposisi Kimia Sel | Sifat dan Kepentingan Air dalam Sel
  p 79/323  SAVED  Bab 4: Komposisi Kimia dalam Sel | 4.2 Karbohidrat
  p 80/323  SAVED  Bab 1: 2:1 dan formula kimia (CH2O)n | Disakarida
  p 81/323  SAVED  Bab 4: Komposisi Kimia Sel | Polisakarida
  p 82/323  SAVED  Bab 9: Nutrisi dan Sistem Pencernaan Manusia | Protein
  p 83/323  SAVED  Bab 9: Nutrisi dan Sistem Pencernaan Manusia | 4.4 Lipid
  p 84/323  SAVED  Bab 9: Nutrisi dan Sistem Pencernaan Manusia | 
  p 85/323  SAVED  Bab 9: Asid Nukleik | Asid Nukleik
  p 86/323  SAVED  Bab 9: Asid Nukleik | Asid ribonukleik (RNA)
  p 87/323  SAVED  Bab 4: Komposisi Kimia dalam Sel | Asid Nukleik
  p 88/323  SKIP  Page contains only reflection and practice questions, no new teachable content.
  p 89/323  SAVED  Bab 9: Nutrisi | 
  p 90/323  SKIP  Page contains only introductory questions and chapter title, no detailed biological content to teach.
  p 91/323  SKIP  Page contains only learning objectives/outcomes, no explanatory content.
  p 92/323  SAVED  Bab 9: Metabolisme dan Enzim | Metabolisme
  p 93/323  SAVED  Bab 9 | Penamaan enzim
  p 94/323  SAVED  Bab 9: Enzim | Enzim intrasel dan enzim ekstrasel
  p 95/323  SAVED  Bab 9: Enzim | Mekanisme tindakan enzim
  p 96/323  SAVED  Bab 9 | Kesan suhu dan pH terhadap aktiviti enzim
  p 97/323  SAVED  Bab 9: Enzim | Faktor yang Mempengaruhi Aktiviti Enzim
  p 98/323  SAVED  Bab 9 | Mengkaji kesan suhu terhadap aktiviti enzim amilase
  p 99/323  SAVED  Bab 5: Metabolisme dan Enzim | Aktiviti 5.2: Mengkaji kesan pH terhadap aktiviti enzim pepsin
  p100/323  SAVED  Bab 5: Metabolisme dan Enzim | Faktor yang Mempengaruhi Tindakan Enzim
  p101/323  SAVED  Bab 5: Enzim | Aplikasi Enzim dalam Kehidupan Harian
  p102/323  SKIP  Page contains only a chapter summary and self-reflection checklist, no new teachable Biology content.
  p103/323  SKIP  Page contains only practice questions (Praktis Sumatif 5) with no new teaching content.
  p104/323  SKIP  (only 21 words)
  p105/323  SKIP  Page contains only chapter outline and learning objectives, no explanatory content to teach.
  p106/323  SAVED  Bab 6: Pembahagian Sel | 6.1 Pembahagian Sel
  p107/323  SAVED  Bab 6: Pembahagian Sel | Kitar Sel dan Mitosis
  p108/323  SAVED  Bab 6: Pembahagian Sel | Mitosis
  p109/323  SAVED  Bab 6: Pembahagian Sel | Fasa Mitosis
  p110/323  SAVED  Bab 6: Pembahagian Sel | 
  p111/323  SAVED  Bab 6: Pembahagian Sel | 6.3 Meiosis
  p112/323  SAVED  Bab 6: Meiosis | Meiosis I: Fasa-fasa
  p113/323  SAVED  Bab 6: Pembahagian Sel | Fasa Meiosis II
  p114/323  SAVED  Bab 1: Nyatakan aplikasi mitosis | Perbandingan dan perbezaan antara meiosis dengan mitosis
  p115/323  SAVED  Bab 2: Biologi Sel | Ketidaknormalan Semasa Pembahagian Meiosis
  p116/323  SKIP  Page contains only a summary and self-reflection checklist, no new teachable content.
  p117/323  SKIP  Page contains only practice questions without explanatory content.
  p118/323  SKIP  (only 37 words)
  p119/323  SKIP  This page only contains the learning standards and subtopic headings for Bab 7: Respirasi Sel, with no actual explanatory content or teachable biology material.
  p120/323  SAVED  Bab 5: Metabolisme dan Pengeluaran Tenaga | 7.1 Penghasilan Tenaga melalui Respirasi Sel
  p121/323  SAVED  Bab 5: Metabolisme dan Enzim | Respirasi Aerob
  p122/323  SAVED  Bab 5: Metabolisme dan Respirasi | Mengkaji respirasi aerob
  p123/323  SAVED  Bab 7: Respirasi | 7.3 Fermentasi
  p124/323  SAVED  Bab 7: Respirasi Sel | 7.3 Fermentasi
  p125/323  SAVED  Bab 7: Respirasi Sel | Fermentasi Asid Laktik
  p126/323  SAVED  Bab 5: Metabolisme | Aktiviti 7.3: Mengkaji proses fermentasi yis
  p127/323  SAVED  Bab 7: Respirasi Sel | 7.3 Fermentasi
  p128/323  SAVED  Bab 5: Respirasi Sel | Rumusan Respirasi Sel
  p129/323  SKIP  Halaman ini mengandungi soalan latihan sahaja tanpa penerangan konsep atau contoh kerja.
  p130/323  SKIP  Page contains only essay questions and enrichment questions, no explanatory content.
  p131/323  SKIP  Halaman ini adalah pengenalan kepada tema dan senarai bab, tiada kandungan biologi spesifik yang boleh diajar.
  p132/323  SKIP  This is an introductory page for Bab 8, containing only learning objectives and questions. It has no teachable Biology content.
  p133/323  SKIP  Page contains only chapter outline and learning standards, no teachable biology content.
  p134/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | 8.1 Jenis Sistem Respirasi
  p135/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia serta pembahagian | Struktur respirasi serangga dan penyesuaiannya
  p136/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | 8.1.2 Struktur respirasi katak dan penyesuaiannya
  p137/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Struktur respirasi manusia dan penyesuaiannya
  p138/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Mekanisme Pernafasan
  p139/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Mekanisme pernafasan ikan
  p140/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Mekanisme pernafasan manusia
  p141/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Membanding dan membezakan antara mekanisme pernafasan dalam manusia dengan haiwan
  p142/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Pertukaran Gas dalam Manusia
  p143/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Pengangkutan karbon dioksida dalam sistem peredaran darah
  p144/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Isu Kesihatan Berkaitan Sistem Respirasi Manusia
  p145/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia dan Haiwan | Rumusan
  p146/323  SKIP  This page contains only review questions (Praktis Sumatif 8) and no new teaching content or concept explanation.
  p147/323  SKIP  Halaman ini hanya mengandungi soalan latihan dan sudut pengayaan, tiada kandungan pengajaran baharu.
  p148/323  SKIP  Page contains only chapter title and introductory questions, no detailed content.
  p149/323  SKIP  Page contains only learning standards/objectives for Bab 9, not actual teaching content.
  p150/323  SAVED  Bab 9: Sistem Pencernaan Manusia | 9.1 Struktur Sistem Pencernaan Manusia dan 9.2 Jenis Pencernaan
  p151/323  SAVED  Bab 9: Pencernaan | Pencernaan dalam Mulut dan Perut
  p152/323  SAVED  Bab 9: Sistem Pencernaan Manusia | Pencernaan dalam Perut dan Usus Kecil
  p153/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Pencernaan Kimia dalam Usus Halus
  p154/323  SAVED  Bab 9: Sistem Pencernaan Manusia | Mengkaji Pencernaan Protein
  p155/323  SAVED  Bab 9: Sistem Pencernaan Manusia | 9.2.5 Mengkaji pencernaan lipid dalam sampel makanan
  p156/323  SAVED  Bab 9: Pencernaan Makanan | 9.2.5 Pencernaan Lemak oleh Lipase
  p157/323  SAVED  Bab 9: Nutrisi | 9.3 Penyerapan
  p158/323  SAVED  Bab 9: Pencernaan dan Penyerapan | Penyerapan Makanan Tercerna di Ileum
  p159/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Asimilasi
  p160/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Proses Asimilasi dalam Hati dan Sel
  p161/323  SAVED  Bab 9: Sistem Pencernaan Manusia | 9.5 Penyahtinjaan
  p162/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Gizi Seimbang dan Nilai Tenaga Makanan
  p163/323  SAVED  Bab 9: Makanan dan Sistem Pencernaan | Eksperimen Nilai Tenaga Makanan
  p164/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | 
  p165/323  SAVED  Bab 9: Nutrisi | Aktiviti 9.6: Mengkaji Kesan Suhu terhadap Kandungan Vitamin C dalam Jus Oren
  p166/323  SAVED  Bab 9: Nutrisi | Pengubahsuaian diet bagi individu tertentu
  p167/323  SAVED  Bab 9: Sistem Pencernaan | Isu kesihatan Berkaitan Sistem Pencernaan dan Tabiat Pemakanan
  p168/323  SAVED  Bab 8: Sistem Respirasi dalam Manusia | Isu-isu Kesihatan Berkaitan Tabiat Pemakanan
  p169/323  SKIP  Page contains only a chapter summary and self-reflection checklist with no new teachable Biology content.
  p170/323  SAVED  Bab 9: Sistem Pencernaan Manusia | Praktis Sumatif 9
  p171/323  SKIP  Halaman ini hanya mengandungi soalan latihan, bukan kandungan pengajaran baharu.
  p172/323  SKIP  Halaman ini hanya mengandungi soalan pengenalan bab, tiada kandungan pengajaran yang terperinci.
  p173/323  SKIP  The page contains only a list of learning standards and topic headings (content outline for Bab 10), not any explanatory or example-based content that can be structured into a teaching unit.
  p174/323  SAVED  Bab 10: Sistem Peredaran | 10.1 Keperluan Sistem Pengangkutan dalam Organisma Multisel Kompleks
  p175/323  SAVED  Bab 2: Sistem Peredaran Darah | Jenis-jenis sistem peredaran dalam organisma multisel
  p176/323  SAVED  Bab 2: Sistem Peredaran | Sistem Peredaran Terbuka
  p177/323  SAVED  Bab 4: Darah Beroksigen | Sistem Peredaran Manusia dan Amfibia
  p178/323  SAVED  Bab 4: darah beroksigen | Persamaan dan Perbezaan Sistem Peredaran dalam Organisma Multisel
  p179/323  SAVED  Bab 10: Sistem Peredaran Manusia | 10.2 Struktur Jantung dan Salur Darah
  p180/323  SAVED  Bab 4: Peredaran Darah | Struktur Jantung
  p181/323  SAVED  Bab 10: Darah dan Peredaran Darah | Komposisi darah manusia
  p182/323  SAVED  Bab 4: darah beroksigen | Ciri dan Fungsi Sel Darah
  p183/323  SAVED  Bab 4: darah beroksigen | 10.2.2 Leukosit
  p184/323  SAVED  Bab 4: darah beroksigen | Salur darah manusia
  p185/323  SAVED  Bab 10: Sistem Peredaran Darah | 10.2.3 Struktur dan Fungsi Salur Darah
  p186/323  SAVED  Bab 4: Darah Beroksigen | Mekanisme Denyutan Jantung (10.3)
  p187/323  SAVED  Bab 4: Pengangkutan dalam Manusia dan Haiwan | Pengepaman Jantung
  p188/323  SAVED  Bab 4: Peredaran Darah | Bunyi Jantung dan Aliran Darah dalam Vena
  p189/323  SAVED  Bab 10: Darah dan Peredaran Darah | Mekanisme Pembekuan Darah
  p190/323  SAVED  Bab 4: darah beroksigen | Isu kesihatan yang berkaitan pembekuan darah
  p191/323  SAVED  Bab 4: darah beroksigen | Kumpulan Darah Manusia
  p192/323  SAVED  Bab 4: Darah Beroksigen | Faktor Rhesus dan kehamilan
  p193/323  SAVED  Bab 4: darah beroksigen | Isu Kesihatan Berkaitan Sistem Peredaran Manusia
  p194/323  SAVED  Bab 10: Sistem Kardiovaskular | 10.6 Penyakit Kardiovaskular
  p195/323  SAVED  Bab 10: Sistem Limfa Manusia | Proses pembentukan bendalir tisu
  p196/323  SAVED  Bab 4: darah beroksigen | 
  p197/323  SAVED  Bab 4: Darah Beroksigen | Sistem Limfa
  p198/323  SAVED  Bab 4: darah beroksigen | Keperluan sistem limfa
  p199/323  SAVED  Bab 10: Sistem Limfa Manusia | Isu Kesihatan Berkaitan Sistem Limfa Manusia
  p200/323  SAVED  Bab 4: Pengangkutan dalam Manusia dan Haiwan | Rumusan
  p201/323  SKIP  Page contains only summary and practice questions, no new teachable content.
  p202/323  SAVED  Bab 4: Darah Beroksigen | 
  p203/323  SAVED  Bab 4: Darah Beroksigen | 
  p204/323  SKIP  (only 29 words)
  p205/323  SKIP  Page contains only learning objectives/outcomes, no explanatory biology content.
  p206/323  SAVED  Bab 11: Sistem Pertahanan Badan | 11.1 Pertahanan Badan
  p207/323  SAVED  Bab 11: Pertahanan Badan | Barisan Pertahanan Pertama
  p208/323  SAVED  Bab 4: darah beroksigen | Barisan Pertahanan Kedua
  p209/323  SAVED  Bab 4: Darah Beroksigen | Keradangan
  p210/323  SAVED  Bab 11: Sistem Imunisasi | Tindakan Antibodi
  p211/323  SAVED  Bab 11: Sistem Imun Manusia | 11.3 Keimunan
  p212/323  SAVED  Bab 4: Darah Beroksigen | Keimunan Aktif
  p213/323  SAVED  Bab 11: Keimunan | KEIMUNAN PASIF
  p214/323  SAVED  Bab 11: Sistem Imun | Perbandingan antara Keimunan Aktif Buatan dan Keimunan Pasif Buatan
  p215/323  SAVED  Bab 11: Sistem Imun Manusia | 11.4 Isu Kesihatan Berkaitan Keimunan Manusia: AIDS
  p216/323  SAVED  Bab 11: Sistem Imun Manusia | HIV dan AIDS
  p217/323  SAVED  Bab 4: Keimunan Manusia | 
  p218/323  SKIP  This page contains only summative practice questions (Praktis Sumatif 11) with no new biology content or explanation.
  p219/323  SKIP  Page contains only essay and enrichment questions, no teachable biology content or explanations.
  p220/323  SAVED  Bab 12: Koordinasi dan Gerak Balas dalam Manusia | 12.1 Koordinasi dan Gerak Balas
  p221/323  SKIP  Page contains only learning standards/objectives, not teachable content.
  p222/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | Kepekaan dan Gerak Balas
  p223/323  SAVED  Bab 4: darah beroksigen | Koordinasi dan Gerak Balas
  p224/323  SAVED  Bab 12: Sistem Saraf Manusia | Jenis-jenis reseptor
  p225/323  SAVED  Bab 12: Gerak Balas | Keperluan gerak balas
  p226/323  SAVED  Bab 12: Sistem Saraf Manusia | Sistem Saraf
  p227/323  SAVED  Bab 12: Sistem Saraf Manusia | Otak
  p228/323  SAVED  Bab 12: Sistem Saraf Manusia | Saraf Tunjang dan Sistem Saraf Periferi
  p229/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | Neuron dan Sinaps
  p230/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | Jenis-jenis Neuron
  p231/323  SAVED  Bab 12: Gerak Balas dan Koordinasi | Sinaps dan Penghantaran Impuls
  p232/323  SAVED  Bab 12: Koordinasi Saraf dan Gerak Balas | 12.4 Tindakan Terkawal dan Tindakan Luar Kawal
  p233/323  SAVED  Bab 12: Sistem Saraf Manusia | 12.4.2 Tindakan Terkawal dan Tindakan Refleks
  p234/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | 12.4.2 & 12.4.3
  p235/323  SAVED  Bab 12: Sistem Saraf dan Tindakan Refleks | Arka Refleks Dua Neuron (Refleks Sentakan Lutut)
  p236/323  SAVED  Bab 4: darah beroksigen | 12.5 Isu Kesihatan Berkaitan Sistem Saraf Manusia
  p237/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | Kesan penyalahgunaan dadah dan alkohol terhadap koordinasi dan gerak balas manusia
  p238/323  SAVED  Bab 12: Sistem Saraf Manusia | 12.5.2 Dadah dan Alkohol serta Kesan terhadap Sistem Saraf
  p239/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | 12.6 Sistem Endokrin
  p240/323  SAVED  Bab 12: Sistem Endokrin | Fungsi hormon yang dirembeskan oleh setiap jenis kelenjar endokrin
  p241/323  SAVED  Bab 12: Sistem Endokrin | 
  p242/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | 12.6.4 Penglibatan kedua-dua sistem saraf dan sistem endokrin dalam situasi cemas
  p243/323  SAVED  Bab 12: Koordinasi Badan | Sistem Endokrin
  p244/323  SAVED  Bab 12: Sistem Endokrin Manusia | Isu Kesihatan Berkaitan Sistem Endokrin Manusia
  p245/323  SAVED  Bab 12: Koordinasi Badan dan Gerak Balas | 12.7 Hormon Pertumbuhan
  p246/323  SAVED  Bab 12: Koordinasi dan Gerak Balas dalam Manusia | Rumusan
  p247/323  SKIP  Page contains only self-reflection checklist and practice questions, no new teaching content.
  p248/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | Neuron dan Penghantaran Impuls
  p249/323  SKIP  Page contains only essay questions and enrichment questions, no new teaching content.
  p250/323  SKIP  Halaman ini hanya mengandungi pengenalan bab dan soalan-soalan, tiada kandungan biologi yang boleh diajar.
  p251/323  SKIP  Page contains only learning objectives, no explanatory content.
  p252/323  SAVED  Bab 12: Homeostasis | 13.1 Homeostasis
  p253/323  SAVED  Bab 12: Homeostasis dan Pengawalaturan Suhu Badan | Pengawalaturan suhu badan
  p254/323  SAVED  Bab 12: Sistem Saraf dan Endokrin | Pengawalaturan Suhu Badan oleh Efektor melalui Cara Fizikal
  p255/323  SAVED  Bab 12: Endokrin dan Koordinasi Hormon | Pengawalaturan aras gula darah
  p256/323  SAVED  Bab 12: Koordinasi Badan | Mekanisme pengawalaturan tekanan separa karbon dioksida dalam darah
  p257/323  SAVED  Bab 13: Sistem Regulasi | Kawal Atur Tekanan Darah
  p258/323  SAVED  Bab 13: Homeostasis dan Sistem Urinari | 13.2 Sistem Urinari
  p259/323  SAVED  Bab 13: Sistem Urinari | 13.2.1 Struktur sistem urinari dan keratan rentas ginjal
  p260/323  SAVED  Bab 12: Air Kencing dan Perkumuhan | Nefron
  p261/323  SAVED  Bab 12: Sistem Perkumuhan Manusia | 
  p262/323  SAVED  Bab 12: Homeostasis dan Pengosmokawalaturan | Mekanisme homeostasis dalam pengosmokawalaturan
  p263/323  SAVED  Bab 12: Koordinasi dan Gerak Balas | 
  p264/323  SAVED  Bab 12: Sistem Ekskresi | 13.2
  p265/323  SAVED  Bab 13: Sistem Urinari | 13.3 Isu Kesihatan Berkaitan Sistem Urinari
  p266/323  SAVED  Bab 12: Homeostasis dan Sistem Urinari Manusia | Rumusan
  p267/323  SKIP  This page contains only a self-reflection checklist and practice questions, not new teaching content.
  p268/323  SKIP  Page consists of exam-style questions without explanatory content.
  p269/323  SKIP  Halaman ini mengandungi soalan sahaja, bukan kandungan pengajaran.
  p270/323  SKIP  Halaman pembukaan bab dengan soalan panduan sahaja, tiada kandungan biologi yang boleh diajar.
  p271/323  SKIP  Page is a listing of learning standards/outcomes (syllabus) without explanatory biology content.
  p272/323  SAVED  Bab 12: Sistem Sokongan dan Pergerakan | Jenis Rangka
  p273/323  SAVED  Bab 12: Sistem Otot Rangka Manusia | 14.2 Sistem Rangka Manusia
  p274/323  SAVED  Bab 12: Sistem Rangka Manusia dan Haiwan | Struktur Turus Vertebra Manusia
  p275/323  SAVED  Bab 12: Sistem Sokongan dan Pergerakan | Struktur dan Jenis Vertebra
  p276/323  SAVED  Bab 12: Sistem Rangka dan Otot | Sendi
  p277/323  SAVED  Bab 14: Sokongan dan Pergerakan | Sendi Bebas Bergerak
  p278/323  SAVED  Bab 14: Sokongan dan Pergerakan | 14.3 Mekanisme Pergerakan dan Gerak Alih
  p279/323  SAVED  Bab 12 | Pergerakan Lengan dan Kaki oleh Otot Berantagonis
  p280/323  SAVED  Bab 12: Mekanisme gerak alih dalam haiwan | IKAN
  p281/323  SAVED  Bab 12: Sokongan dan Pergerakan dalam Manusia dan Haiwan | Mekanisme Pergerakan Menggunakan Otot Antagonis
  p282/323  SAVED  Bab 12: Sokongan dan Pergerakan | Pergerakan Haiwan
  p283/323  SAVED  Bab 12: Sistem Otot Rangka Manusia | Isu Kesihatan Sistem Otot Rangka Manusia
  p284/323  SAVED  Bab 14: Sistem Otot Rangka | Isu Kesihatan Sistem Otot Rangka
  p285/323  SAVED  Bab 12: Sistem Otot Rangka | Amalan untuk menjaga kesihatan sistem otot rangka
  p286/323  SAVED  Bab 14: Sistem Otot Rangka | 14.4 Penjagaan Kesihatan Sistem Otot Rangka
  p287/323  SKIP  This page is a chapter summary and self-reflection, not introducing new teachable content.
  p288/323  SAVED  Bab 13: Pergerakan dan Sokongan | 
  p289/323  SKIP  Page contains only essay questions, no explanatory content or worked examples.
  p290/323  SKIP  Halaman ini hanya merupakan pengenalan bab dengan soalan panduan, tiada kandungan biologi untuk diajar.
  p291/323  SKIP  The page contains only a list of learning objectives and subtopics for Chapter 15, not actual explanatory content or teachable Biology material.
  p292/323  SAVED  Bab 15: Sistem Pembiakan Manusia | Sistem Pembiakan Manusia
  p293/323  SAVED  Bab 15: Sistem Pembiakan dan Pertumbuhan | Sistem Pembiakan Lelaki
  p294/323  SAVED  Bab 12: Sistem Reproduktif | Gametogenesis Manusia
  p295/323  SAVED  Bab 15: Reproduksi Seks | 15.2.2 Spermatogenesis
  p296/323  SAVED  Bab 12: Pembiakan | Oogenesis
